date,converted_date,rating,average,review
1/8/2019,20190108,5,5.0,The juices are amazing! She has everything that you need if you want something refreshing or if you're trying to go through a detox! I love the service that I get once I'm in this place. It's small and quaint! If you haven't tried it I highly recommend doing so! She also has snacks and other things for purchase. My favorite juices are purple rain and morning glory!
1/11/2019,20190111,4,4.5,Had the green juice. Very refreshing. No aftertaste. Will be going back for more.staying healthy in 2019 is one of my goals. Replace meds with green juice.
2/4/2019,20190204,1,3.33,"Terrible customer service! The woman that works there, I believe she is the owner, has a terrible attitude. The store was empty when I arrived and yet I had to wait while she finished a personal phone call in order to place my order. I was in the store for over 20 minutes for one juice, I will not return."
2/24/2019,20190224,4,3.5,"I would technically give it a 4.5 stars if I could. LOVED the ambiance and the decor. As a vegan, loved that she had a vegan food option. She had about 4 drink choices, tea, and snacks. I hope as her business does well she adds more drinks and food options to her menu.y juices were awesome. I got two different kinds. Also, the best part? If you return the glass jars she gives you a discount. This is awesome for the environment and I am sure saves her some money also! The only negative I could foresee is that the sign on the door says ""by appointment only"". She just so happened to be there when we were but I can see this potentially being a problem in the future if I wanted to stop by unannounced when running errands for example. It could be because she is starting up a business and needing to hire additional staff once it gets up and running.Her business is a breath of fresh air on the south side !"
3/13/2019,20190313,5,3.8,Incredibly cute place to start your day out healthy. I literally must have the purple rain..... soooo good with ingredients I dont see in any juice bars even downtown! So excited to have this healthy option on the south side. The owner is a sweetie
5/13/2019,20190513,5,4.0,I've been drinking this juice since before the owner opened and its always so fresh and yummy. The ambiance is zen and the street parking is always pretty easy. My favorites are the lean green and morning glory. Bottoms up!
6/11/2019,20190611,5,4.14,"I ordered their Lean Green cold pressed juice while dining at Majani's and finally made it to the actual shop. This place is so charming! I love seeing young business owners execute things well. All of the items that I ordered were fresh, not too sweet, and presented nicely, while the service was friendly and professional. I will be back for sure!"
10/3/2019,20191003,5,4.25,Such an amazing addition to Beverly. The juices are healthy and delicious. The owner is a hardworking woman who truly believes in the power of nutrition in our health. Definitely check this spot out - you will not regret it. Support small businesses!!
2/24/2020,20200224,5,4.33,Bani made me this plate of Scrambies on a croissant. She put some Beet-infused hot sauce it and it was outta this world.I got on the metra shortly thereafter and began my day drinking expedition.
6/25/2020,20200625,5,4.4,"Friendly service, great juices! Love to shop local so this place is great. Definitely try the Morning Glory and Lean Green"
