date,converted_date,rating,average,review
5/25/2012,20120525,4,4.0,"Thanks Thrillist.com...saw their review about Berries & Batter's opening day today. Stopped by to see about some French Toast. Tried their French Toast Sampler -Delicious! also got a side order of their very tasty patty sausage, which I will recommend as well. See photos."
5/26/2012,20120526,3,3.5,"JL and I decided to try this place for brunch and overall, it's a nice addition to the neighborhood. The menu is not quite as extensive as many of the other popular places to brunch, and that may be why the options available try to seem a cut above the standard fare. You won't find a regular omelet on this menu, as all of the omelets are ""deconstructed"". What is a deconstructed omelet, one may ask, and I was set on finding out. JL, SL and I each ordered a deconstructed omelet - one spinach and swiss, one broccoli and cheddar, and one chicken and peppers. When the food arrived, I have to say, I was a little disappointed because it looked just like a plain old omelet. The only difference might be that the cheese and some of the other ingredients were on the top, but they were on top of (drum roll please) a plain old omelet! By not having the cheese inside, I actually felt that the omelet itself was a bit dry. SP had the Cluck and Gravy - a dish that was described as ""chicken and corn muffins...topped with chicken sausage gravy"". All his favorite things! During the wait for our food, he mentioned several times that he could not wait to eat. I guess he was hungry. When his dish came out, we were all expecting a decadent plate of chicken, muffins and gravy, but nothing could be farther from the truth. His dish consisted of mostly hash browns, with a little square sauce dish that contained 3 half dollar-sized biscuits, topped with a couple tablespoons of gravy. Alas, there were no corn muffins, nor was there any chicken. The size of his main dish could literally fit in my cupped palm. Now, was it yummy? It certainly wasn't bad. It just wasn't what a hungry man would expect. The ""corn muffins"" were unique in that they were neither muffin nor biscuit, but something in between. Soft, moist little tiny morsels studded with corn. The gravy was also flavorful without being overly rich, and the amount of gravy was not so much that it would ruin the texture of the muffin/biscuits. In a nutshell, this was biscuits and gravy without the guilt (or the heart attack). Lucky for SP, we ordered the french toast flight to share, so most of my omelette made its way into his plate while I happily dedicated my attention to the carbs.Now onto the french toast. I don't eat french toast all that often, because most of the times it is drowned in butter and syrup. Some will say that that's just how french toast should be, but I disagree. French toast should consist of bread that has soaked in the goodness of the egg and other flavorings, without being overwhelmed by it. It should be custardy, not soggy, and each bit should satisfy the taste buds without sending your blood sugar to alarming levels. This french toast was just that. The lemon was absolutely divine, topped with what looked like candied lemon zest that made it taste like lemon frosting. The caramel was topped with candied walnuts and caramel sauce and again, was so delicious without being overly heavy or cloying. This was french toast that you could eat everyday. Overall, I think what stood out to me the most was that all of the dishes seemed to be fairly healthy. There are sweet potato hash browns in addition to regular hash browns and neither had the typical tell-tale signs of having been doused in butter and oil. All of the dishes enabled you to taste the ingredients first and foremost, without masking it in the (delicious) taste of butter. Brunch without the guilt? Why not?"
5/26/2012,20120526,5,4.0,My sister and I heard about this place on thrillest and decided to check it out. I have to say the food was so good that we came back for breakfast and lunch. I had the chicken deconstructed omelet and OMG was it good!!! The vegetables and chicken that were on top were not only really well seasoned and tasty but were very fresh. My sister tried the cluck-n-gaufre. I Had a few bites and I have to say it was very interesting. It had the most amazing sweet and savory taste. The flavors married really well together. It was a sweet potato waffle with chicken stuffed inside with a maple butter. Unbelievable! For lunch I ate breakfast again and tried the banana nut waffle which was so good I didn't use any syrup. It had caramelized bananas on top of a waffle that reminded me of banana pudding. YUM!!! My sister had the salmon sliders. I noticed that this dish was very tasty yet light. On top of the good food the service was great as well along with their decor. I would definitely recommend this place. Great addition to Lincoln Park!!!!!
5/27/2012,20120527,3,3.75,"If you want good pancakes, visit this spot. I had the Buckwheat pancakes - not a high level of buckwheat in the batter (I like that), but I could clearly taste the flavor. Nice fruit accompaniments, a maple butter and maple syrup, which makes a difference to me.There was a mix of families with kids and adults. The staff was very nice, service was pretty quick and I enjoyed Sunday brunch. Next time I'll check out the omelets."
5/28/2012,20120528,5,4.0,"The French Toast was the best I've ever had. Didn't even need syrup!! I tried the flight of french toast which was a sample of four different flavors. I thought that the lemon flavor was the best. If you're a fan of french toast, you won't be disappointed."
5/29/2012,20120529,4,4.0,"They had me at chicken and waffles! In my opinion, there is truly a desperate need for chicken and waffles on the North Side. Thanks to Batter & Berries, I no longer have to venture far from my very own hood to get a taste of the goods. The description led me to believe it was a sweet potatoe waffle stuffed with chicken. I'm not sure if the waffle batter was sweet potatoe or if just the butter was somehow sweet potatoe flavored. Doesn't matter - all you need to know, it was scrumptious! The waffle actually had been stuffed with chicken!!!! My sister had a deconstructed spinach and mushroom omelet and it was excellent! My fiance had the steak and eggs and he was disappointed with the fact that his steak was overcooked, but you have to keep in mind that this restaurant opened up two days prior so there were some kinks yet to be worked out. For one, the kitchen is very open. Some people might like that, I personally don't. I prefer to live in ignorant bliss; where I do not necessarily need to see where my food comes from or how it got there - just so long as it tastes good, I don't need to be bothered with the details. So I suggest closing that off. They did not yet have any diet beverages, unfortunately. Our server was a bit odd. Not unfriendly or unhelpful, maybe a little blunt and rough in his delivery. Apparently orders are taken on ipad touches; but at first we thought he was just texting rather than taking our order. He also told us our son was cute - ahem, my daughter was wearing a dress and when I corrected him he said he doesn't pay attention to those things. Okay....didn't effect our experience, just an example of his rough exterior.They were able to accomodate 5 adults and 2 high chairs in a matter of minutes without a hassle - perfect! A nice touch having the owner and chef come around to the tables. Bravo, Batter and Berries! We'll see you again before too long!"
5/31/2012,20120531,4,4.0,"We came in for the chicken-stuffed sweet potato waffles topped w/ hot sauce & more fried chicken or muffins with chicken-sausage gravy raved about it the the Thrillist review, but they were out when we ordered. The chef told us that they were remaking the muffins, but we had already ordered by this point. I'm glad we did! The open-faced steak omelet with caramelized onions, mozzarella, and a beefy broth was delicious! The side cranberry muffin was so moist it made me want to try the ones that go with the friend chicken. The hash-browns were the best I've had - not burnt or dry like at Nookies. Chef Chris nails the sweet and savory taste that makes soul food so distinct. I will be dreaming about this breakfast."
6/4/2012,20120604,4,4.0,"5 of us including 1 child went for Sunday brunch. Hostess was very polite and accomodating. Space is cute and distance between tables is appropriate. Ample street parking on Sunday morning when we arrived.Between the 5 of us we ordered chicken sausage, hash browns, french toast flights, steak & egg omelet, fresh fruit, coffee and juice......and since we each love tasting food we tried it all!My opinion, the french toast flights are lovely....good flavor, good variety, perfect serving size. The steak & egg omelet was well flavored but mine was supposed to have swiss but ended up with colby cheese....didn't stop me from eating it one iota and it was still delish. The fruit was fresh and presented nicely and the beverages were fine. My one odd moment was the chicken sausage and hash browns. The sausage has some of the best seasoning I've had in a long while but because it's not encased in skin and I miss the snap you get from biting into sausage. Just a personal preference and not a negative especially if you like patty sausage.However, my hash browns were flavorless and required large amounts of salt and pepper to taste like anything......hopefully it'll be better next round.I didn't have a chance to taste the pancakes, but I'll be back and will go for it soon....real soon."
6/4/2012,20120604,3,3.89,"Just opening up but the place is decent. They still need to work on a couple of kinks.Serve breakfast and lunch all day. *Lemon French Toast: Yes! If you like lemon, get it. The french toast looks like normal french toast but the inside is super moist with almost a creamy lemony center. Lemon zest on top, served with walnuts (tasted like candied walnuts) and lemon maple butter. My only gripe was that it wasn't warm by the time we got it. I think they timed it wrong since it came out at the same time as our other dish (which was warm) but this would have tasted better if they had found a way to keep warm until they brought it out to serve.*Tempura battered Fish and Chips:Light and crisp outside, very flavorful, big hunks of fish cooked well. The fries had a little too much seasoning for my taste but I enjoyed whatever they used to season them Not my #1 brunch place but I would definitely go back...especially for that lemon french toast."
6/9/2012,20120609,5,4.0,"We live in the area and were excited that there is a new cute brunch spot in the neighborhood! We went for breakfast today and the food was incredible. I got the lemon french toast which was fantastic! Very moist and great flavor! My husband got the spinach/mushroom decontructed omlette, which was also incredible! It was very fresh and had a unique mushroom/spinach puree which brought out more flavor! Even the hash browns and bacon were great!It's a very bright and cheerful environment with a lot of beautiful paintings/pictures on the walls. Also I love the island that they have in the center of the place for big groups! The waitress was very friendly and great for giving out her recommendations and the chef came over to introduce himself and make sure everything was good. So overall a great spot with far better food than a lot of brunch spots that I've been to, with none of the waiting (at least yet). Definitely check this place out!"
6/9/2012,20120609,5,4.09,"I too attended the grand opening. I ate the Rylon Salad which was quite delightful with shrimp and mushrooms. My dining partner ate The Arthur, a chicken breast sandwich which she greatly enjoyed (I enjoyed nibbling from it as well, lol)! The decor is bright, pretty, and inviting; I will be back!"
6/10/2012,20120610,5,4.17,"There aren't a lot of restaurants in life that you really want to tell your friends about, well, this us one of them. I was so impressed with the taste! OMG, the chicken and waffles were wonderful and the variety of French Toast, remarkable! I now understand why they said you don't need syrup.A great place for a date, business meeting, a meal with friends or in my case, family friendly. This place is a hit and I encourage you to try."
6/10/2012,20120610,4,4.15,"A new breakfast spot around the corner from our house, glad to see it especially since Salt & Pepper diner still (never? who knows) isn't open. We arrived at 8am (we have a early-rising toddler) and were warmly greeted. It has a cheery atmosphere with good light towards the front. My husband ordered the flight of french toast and he LOVED it. So good. I ordered the bacon/cheese/egg sandwich and I also really enjoyed it. I was most impressed by the side of fruit I ordered for my daughter - it was so nicely displayed I almost didn't want her to eat it! The mint garnish was a nice addition and it was a really lovely fresh fruit variety. Not just a bunch of cantaloupe and melon that usually comes with a fruit side at other breakfast spots. I think the waiter ordering on the ipod was a bit weird; I knew he was taking our order but it instinctively made me feel like he was texting or not paying attention (though I knew he was). I think I'd rather than remember the order or write it down old school. That's just me. Not a complaint just thought it was kind of odd. They had nice quality table toys/games to hand out to the many families that continued to walk in after us. Nice addition to the neighborhood. We'll go back."
