date,converted_date,rating,average,review
4/7/2019,20190407,5,5.0,"The name speaks for itself. I had the ""Who Betta Burger"" I thought I was actually eating meat. This burger is delicious. If you're trying to wean yourself off of beef. Give this place a try. The burger was so good wished I'd ordered two. The experience was great. Friendly cashier, the owner was great and her mom gave me a big hug. Support them because the food is delicious."
4/9/2019,20190409,5,5.0,The absolute best no meat burger I've ever tasted! But mostly what won me over was the impeccable customer service from all of the people that worked there. Especially the mother of the owner! She was such a sweetheart that she would come and check on the people in line to ensure a warm experience and to give updates on wait times. I will definitely be back and I will spread the word of this most wonderful place!
4/14/2019,20190414,5,5.0,"Finally got the chance to try this place after passing by seeing tremendously long lines outside day after day. It was well worth the wait! I have been vegan for a few years now and I must say this place has had some of the best vegan food I've ever tasted! I had the pizza puff with vegan cheese and a philly cheese steak. The flavors took me back to my meat eating days when I could actually enjoy these types of things. The texture was also amazingly meat like, unlike vegan meat substitutes you'd find in most places. They also have dairy options available. If I could give it more stars I would, will be returning!"
4/15/2019,20190415,5,5.0,The food and service was excellent! I ordered The Who Betta burger and Cookie Monster shake - it was DELICIOUS and well worth the wait!! The beautiful staff was very friendly and accommodating! I can't wait to go back and try something different.
4/18/2019,20190418,3,4.6,"I like call myself a Flexatarian, leaning towards Vegetarianism. So I was so excited to see another vegetarian option in Hyde Park!After waiting 45 minutes for our meal, (sheesh!) the burger did have a delicious meat flavor that I enjoyed. But it's REALLY hard for me to justify paying $14 for ONLY a ""burger"" with no fries and/or soda! Really?My hubby did not like the taste or texture of the ""meat"" in the Pizza puff or Philly cheese steak.Will I support them again, maybe. But no time soon. I wish them well though!"
4/18/2019,20190418,5,4.67,The who betta burger is GOOD A+ but the regular fries is tooo pricey. its just a fries a regular fries.
4/19/2019,20190419,3,4.43,Ok so I finally got their hours right and decided to have lunch today... Walk in nice vibes music playing I order lasagna(you're given option of vegan cheese or dairy) I choose vegan. She says 35-40 minute wait I said ok...an hour goes by I ask about my order the cook says it's cooked fresh it's coming out the oven now. Ok.The food... It's not lasagna it's pasta or spaghetti with vegan cheddar with bowtie pasta! I HATE BOWTIE PASTA and it's not worth $16. Nothing Italian about it oh and not piping hot out of even either. I will have to give them another try but this was a fail.
4/19/2019,20190419,3,4.25,"Stopped in there today I had the pizza puff with diary cheese it was good. My friend got the Philly cheese steak, but she or I wasn't impressed. It wasn't much vegetables nor meat on there. They was very stingy with the quality size of the sandwich. The fries was not hot. Only took 25 mins for the order."
4/20/2019,20190420,5,4.33,I Ordered The Who Better Burger & Shake..... They Really Out Done Themselves.. Awesome Job. FOOD IS AMAZING!!!!
4/23/2019,20190423,5,4.4,"I had the opportunity to visit and order some food from this restaurant today. I was not disappointed. I ordered the watta burger. It was so good. The seasoning and preparation of this meatless burger was outstanding. If you are in the Hyde Park area in Chicago area looking for a vegan restaurant, this is it. This is a carryout restaurant only."
