date,converted_date,rating,average,review
11/3/2019,20191103,5,5.0,"Lizzy J Cafè is a true treat on the north side. The views are absolute perfection facing the Wells park. Right along the bus route. The parking was easy to find. But to the real treat: the phenomenal service and impeccable food. The people treat you like family. They are so nice and explain everything on the menu to you in great detail. I have a shellfish allergy and they worked with me and created the most delicious food. The French toast was fluffy yet packed with so much flavor. The strawberries were even seasoned but not overdone. My husband loved the crab Benedict. So much so that he ordered 2! I even had to get the salmon and grits to go. The food was soooo good! Don't skip this place when coming to Chicago. This is a foodies haven. Also that tea was incredible. This is one of the best brunch places on the weekend. Heads up, they close at 3pm!"
11/5/2019,20191105,5,5.0,"AMAZING!!! Between the warm environment, amazing service and delicious food this is definitely going to be a regular spot for me. I have lived in Chicago for a almost two years and have not seen brunch done well until I came to Lizzy J's. It was so good I came two days in a row. The french toast is to die for. The shrimp and grits came from heaven and the crab cake Benedict made this east coast girl almost shed a tear. I'm already planning to bring my entire bridal party to check this amazing gem out. Everything tasted like I was getting a hug. I could truly taste the care and love that goes into this food."
11/7/2019,20191107,5,5.0,"Limited menu but so good! I had Freddy's Favorite - a delicate sweet potato waffle topped with a perfectly seared boneless thigh of chicken, a good quality maple syrup that didn't overwhelm the other flavors. Very friendly people there and i wish them the best. I'm coming back to try the Shrimp and Grits next time."
11/9/2019,20191109,5,5.0,"Just opened in the neighborhood and thought we'd check it out! Yummy warm drop biscuits with butter and jam, and flavorful breakfast bowl with grits, cheese and and eggs on top. They even greeted us with a complimentary mimosa on opening weekend. Warm, cozy, yummy."
11/9/2019,20191109,5,5.0,"If you want a warm, inviting and homey feel, this is the place. Chef Jamie, Freddie and the entire staff were welcoming and lets not forget the food. Oh my, the food was spectacular! I ate my food too quick to take a picture, because I just wanted the taste of mascarpone stuffed blueberry-lemon brioche french toast in my mouth. You know when you have every bite that is perfect? This was it! Plenty of blueberries for the right amount of french toast. Perfect balance of flavors and no syrup required. My hubby had shrimp and grits which he also said was the best he ever had. No skimping on the shrimp here! This place is worth coming back to many times, try everything! Food here is prepared with love and care, you taste it!"
11/9/2019,20191109,5,5.0,Excellent food and service! I've been 3x since they've opened and have yet to be disappointed. The Crab Benny is and the French toast is amazing!!
11/16/2019,20191116,5,5.0,"First allow me to tell you, this is my newest brunch, lunch and breakfast spot to go. I had the shrimp and grits. OMG .. Amazingly delicious. Best I had. Yes, it's 10am and I'm having shrimp and grits, don't be jealous! We also had the ""Frenchy"". That's some perfectly drench thick sliced bread with warm bourbon vanilla sauce blanketed over served with the option of fresh strawberries and homemade whipped cream... Drop the mic! Need I say more? MmmmmThey have a kids menu too so that's a bonus. We love this place and will be back real soon.... is tomorrow too soon?!"
11/16/2019,20191116,5,5.0,Great addition to the neighborhood. Just opened 2 weeks ago and the food is delicious. The French toast is to die for and the quiche was awesome (lots of crab!). I cant wait to come back and try other dishes. Shrimp and grits or biscuits and gravy here I come. Yay!
11/16/2019,20191116,5,5.0,Omg soooooooooo good! I got the shrimp n grits and the Frenchy and I'm stuffed!!!! Soooooo good
11/17/2019,20191117,5,5.0,"Update: We came back the next day! We had their chicken and waffle. We each had the white and dark meat chicken plates. Check out the pics! Chicken were juicy, tasty, tender, and crispy on the outside. The waffles were hearty and had some sweet potatoes bits. Delish!"
