date,converted_date,rating,average,review
1/30/2015,20150130,5,5.0,"We are lucky to be participating in Luella's friend's and family trial meal today. The official opening is Feb. 3. So excited to have this casual southern restaurant in the neighborhood (Ravenswood/Lincoln Square). Tried the Braised Short Rib Mac & Cheese, very cheesy and delicious, huge portion; Kale Ambrosia salad used baby kale and fresh fruit segments, toasted coconut added sweetness, served with goat cheese and toasted pecans, perfect lunch entree and large enough to share. Loved it. Crispy Catfish Tacos were heavenly. Corn flour coating was light and nicely spiced. Shrimp and Grits were amazing in a spicy New Orleans BBQ sauce. 2 huge shrimp and cream grits, perfect."
2/6/2015,20150206,5,5.0,"Wow. Can't help but eat and Yelp. Chicken is rock solid, waffles have my toddler son begging for more."
2/8/2015,20150208,3,4.33,"I really wanted to like this place but it fell short. They are new though so, hopefully, can make some tweaks. 1) The wait - In a small space, they need to figure out a system to seat people and accommodate waiting customers. We were standing in the middle of the floor for 20 minutes and the hostess finally moved us to the wall in front of the kitchen. This should be the system going forward.2) The portions are tiny! I ordered the catfish tacos and sweet potatoes. I am glad a got the potatoes as otherwise I would have been hungry in an hour. My friend order shrimp and grits and it was basically an appetizer.3) Flavor - Season your food better. A little salt and pepper can fix this problem. I put hot sauce on the fish and it made it more tolerable but for the price, this should not be necessary. The potatoes were perfect though.4) Roll your silverware. Picking it from a drawer isn't very sanitary.The staff was great so I will try it again but not on a Saturday night. I hope they can make some tweaks as this place could be a neighborhood staple."
2/8/2015,20150208,4,4.25,"We just tried this new restaurant for brunch and already want to back to try other dishes. It hasn't been open long but they seem to be working things out and the space looks really nice now. I had the ambrosia salad and thought it was a decent size for the price, especially considering the ingredients, and very tasty. The fried chicken was huge and juicy."
2/8/2015,20150208,2,3.8,"I'm from the South and the promise of some good southern food was enticing, but the tiny portions were surprising and disappointing. My 18 year old son ordered the french toast (an entrée) and it was basically an appetizer portion. His food arrived first and he is now sitting politely as we all wait for the rest of our food to arrive (25 minutes and counting) The fried chicken portion looks substantially larger. Just don't order the french toast if you're hungry.One order just arrived. 14 year old says the Pimento Burger is good.  Hubby says the fried chicken is good (and my sweet husband passed one of his pieces to my starving teenager! I'm still waiting for my salad... Salad just arrived, also very small, ""side salad portion"" that took forever to arrive. If they will work out these kinks, they should do well.Coffee is $4."
2/9/2015,20150209,1,3.33,"Surprised at any good review for this place. Won't be going back. They brought my extremely small Southern Benedict out without my partner's meal. After a few minutes, thinking his meal would arrive, I cut into the eggs...overdone. Sent back-they brought new one, just redoing the eggs. Pork was now cold. His burger arrived 10 minutes later...without the fries. Requested refund for mine after I sent back the 2nd time. Female employee (hostess?) came back, plopped down $12.02 in cash and said ""there you go."" No apology from any staff. My partner said his burger was just okay, nothing special. He had 2 bites left when the fries finally arrived. Frozen fries from a bag...not fresh. This unremarkable restaurant needs to step it up when there were a total of 4 other diners for a Sunday brunch at 9:45am. Ridiculous. Should get zero stars."
2/14/2015,20150214,5,3.57,"The hubby and I went for brunch with couple of our friends on a Saturday and had an excellent experience! We ordered a little bit of everything to share like it was recommended by the staffs and by far here are our favorites. 1- the banana pancakes. It was delicious, soft and just the right amount of maple syrup and banana on top. 2- the hubby had the chicken gumbo, at first I was a bit apprehensive since I'm not much of a fan of anything gumbo but when it came out, it was by far the best chicken gumbo I've had! I love the spices and it had just the right amount of hot pepper. 3- the French toast! Now there's something wrong with anyone who thinks Luella's French toast aren't good. The hubby and I don't order French toast from many place because not many restaurants can make it right. Our usual and favorite go to place for French toast is Mexique but we were really surprise and please with Luella's French toast. It tasted just like the one we were used too! It was so delicious! We finished it so fast like no one's business!4- the fried chicken. The chicken was buttery, soft and was well seasoned! It left us wanting for more! Oh and did I mentioned the sauce for the chicken was a great compliment to it! We grabbed some hot sauce from the counter thinking we will need it for the chicken but nope, we didn't. The sauce was a great compliment!5- the Mac & cheese. When we ordered it, our expectations were low, thinking it was going to be like any other but boy were we surprise. It was moist, well seasoned with chunks of ribs and very cheesy, and to top it off we love the fact that they use the soft shell pasta.6- The milk chocolate bread pudding. This should be put on the regular menu and not just the brunch menu. If you're a dessert lover like me, there's no meal without a dessert. Love the fact that it's soft, not too sweet, just the right amount of ice cream and strawberry cream sauce!I'm giving this place a five start cause it met all my expectations on the food, not only that for the fact it's counter service, they spaced out each dish to arrived at the perfect time so that we were not overwhelmed. The staff were awesome and very friendly. Lastly, not sure what others experience were but the silverware were rolled and the portions were well proportion. We also read a little about the chef and he came from a background of fine dining at the Conrad, so the portions will be a bit smaller because the quality of the food is better then what the average restaurant use. Plus don't forget this place is a counter service and the dishes are made when ordered. Also, the place had a very rich and homie ambiance and to mention we love the design, it was perfect for the southern theme. We definitely will be coming back again!"
2/14/2015,20150214,1,3.25,"I was excited to try a new spot in the neighborhood. It was a diastourous meal.Went in for brunch around 1pm on a Saturday. A very limited menu, and we were told we could not order off the main menu until 3PM.No waiter service, we had to get our own silverware and water.We ordered fried chicken, biscuits, fries and a coffee.For $12, we got 4 small pieces of chicken. 3 dark meat, and a half breast..It reminded me of the fried chicken you get in a Swanson TV dinner.Coffee was $4! Biscuits (2) small ones, were ok and the fries were under seasoned.We had to ask for ketchup, and butter for the biscuits.We spent $27 total for this meal. It was not worth it .I could have got a 14 piece at Popeyes for the same price, it would be better.Thank goodness Flirty cupcake is down the block. That saved my brunch."
2/14/2015,20150214,4,3.33,"We really enjoyed the food, though the service still needs to come together. We went for brunch on a Sunday. Not bad service, but seems like it was still a little disorganized. Will definitely come back and try some of their other dishes.The fried chicken was very tasty and they did a good job with the space. Hope they do well."
2/15/2015,20150215,1,3.1,"I was going to give this place 2 stars and then the food arrived and I thought okay maybe 3 but then this happened so it gets 1 star and that's only because 0 stars are not possible: - An order of fries was $4 and the portion was extremely small and not all the fries were cooked thoroughly - The girl who took our order could've been nicer, a smile and a hello would've been enough- The sweet iced tea it's definitely iced because half of the glass was ice. NOTE: Stir the tea before drinking it, the sugar sits at the bottom. - The waiters don't know where they are taking the food, you gave us a table # for a reason, learn how to use it. - Fried chicken is tricky to make, I get this, but if you are going to sell it in your restaurant, then please learn to cook it correctly. My husband took a bite and blood oozed out. It was very unpleasant to say the least. - The burger was strangely over cooked in the middle and undercooked on the edges, which is strange, please clean your fryer. To be fair, after letting the manager or owner or whatever they were know what happened, they refunded our entire meal. The least they could do. Needless to say we will not be going back."
2/17/2015,20150217,5,3.27,"This location went through some very sad versions of a Mediterranean restaurant, it seemed like they would do well but never did. The long, skinny and mostly dark room just didn't seem to be very inviting. The new owners got rid of the tile and put some warm wood on the walls. And they make you use the whole space by walking up to the counter in the back and ordering. I think that might just break the spell of isolated diners, you have to use the whole room.I was here for lunch on Saturday. My husband ordered the shrimp and grits which I thought was a little pricey at $22 so, not to be outdone, I ordered them too. The portion looked small but the shrimps were very large. It was a perfectly adequate meal and I'm glad it wasn't bigger as the sauce was delicious and I would have kept on eating until it hurt. All the staff were friendly but yes, you will have to get your own silverware."
2/18/2015,20150218,3,3.25,"The owner or manager replied promptly to this post. That was encouraging.  If they listen to feedback and work on fixing what's wrong, they can do well."
