date,converted_date,rating,average,review
3/1/2015,20150301,4,4.0,"Opening day was successful for Peach's on 47th & MLK drive. A great start of support from the community with many people sharing great praises to management. Youthful staff, great customer services, seasoned management, well prepared great taste for morning menu. Fair neighborhood prices. A thumbs up for the community."
3/2/2015,20150302,5,4.5,"Very friendly staff, Rachel was great! Bright and open floor plan made for an atmosphere conducive for enjoying this wonderful breakfast. The food was fantastic!  The peach-infused coffee... was, in my opinion, a HIT! My only comment regarding the coffee is that I would have liked a saucer instead of using my napkin for my used spoon.This location is situated on a historic corner in the history of the community. Hopefully they will stay here for a very long time."
3/4/2015,20150304,5,4.67,"Excellently prepared breakfast items, especially the stoneground cheese grits. Decor is bright and open. Lunch menu is in the planning. I'll be back. Good job Cliff Rome"
3/10/2015,20150310,5,4.75,"Excellent spot!... Roomy,friendly, and CLEAN! A must try!! I had a full stack w/peach bourbon compote... GREAT!... & they have duck bacon, very unique..this is now my new hang out for breakfast or lunch!"
3/10/2015,20150310,3,4.4,I had the pleasure of visiting Peaches restaurant just the other day. It just opened this month and I must say it's good to have a sit down breakfast and lunch place on the Southside at 47th.st located on the northwest conner at King Dr. It's very convenient if you are taking the EL downtown and want to stop and have something to eat or a coffee before you make the trip. Unfortunately if driving parking could be a concern since there is no parking lot. The French toast was excellent the omelets were a nice size and very good. The other breakfast dishes are very delicious and inviting however it seems somewhat pricy for breakfast. The waiting staff is pleasant and fast. I'll have to try the lunch menu next time I go.
3/12/2015,20150312,4,4.33,"The staff is amazing! I was greeted as soon as I entered, everyone had a smile on their face and it made me feel welcomed. The food was ok, nothing I would rave about however, the coffee was exceptional. This is a new establishment and there are a few kinks that need to be ironed out. I believe if the restaurants keeps the motivation high they are sure to succeed. I give Peach's 4 stars solely on the customer service."
3/24/2015,20150324,3,4.14,"The restaurant is ample in size with a 6-8 person counter. It's bright and airy, clean. The waitstaff were pleasant. The biscuit with peach compote was delicious as was my egg white omelet. If you like your pancakes crepe thin, you'll like these. Good, solid breakfast with little fuss. A nice and needed addition to the neighborhood."
4/4/2015,20150404,4,4.12,The service was great and the food was pretty good. I especially enjoyed the duck bacon. I appreciate the attentive management who kept the obvious newbies buzzing around earning their stripes. We had a great time without waiting too long on a crowded Sunday morning. The prices were appropriate for the meal.
4/5/2015,20150405,1,3.78,"I had so much hope for this establishment. However when I visited with my mother and grandmother all hope faded. The only reason they received 1 star from me was due to being seated fast. That was the last service that came in a timely manner. After sitting for 10 minutes I asked for a server. The young lady finally came and stated she will be back shortly. Up in her return maybe 5 minutes later she took our order. The waitress repeated our order 3 times , bust still came back to the table 10 minutes later asking what type of meat I want. At that time I should have been alarmed. We continue to sit there and sit there and sit there and sit there and sit there lol ( 25 minutes went by) . Finally my grandmother ( who has short term memory loss) noticed we been sitting for a while. I asked the manager/owner where is my food because people who came after us has their food, and almost done eating. She stated it will be out shortly and do want some more water?! Uhhhhh NO I would like my food lol. After waiting another 15 minutes for some scrambled eggs we just left. So basically my trip to the city was going terrible until I went down the street to Ms. Biscuits!!! I will NEVER SUGGEST OR VISIT THIS LOCATION EVER AGAIN! The guy at the door was smug when I informed him we never had the chance to eat after all that time."
4/19/2015,20150419,2,3.6,"Ordered two eggs scrambled with cheese as a side order to a special. Here's how they rang it up. Eggs X 2:   3.90Cheese X 2: 1.50That's right folks. Two eggs scrambled w some American cheese is $5.40 at Peaches. Do they know how many eggs I can get for $5.40???I could see if there was some culinary interpretation, fancy garnish or artistic presentation. But no, this was two eggs w American cheese as served at every diner, dive and greasy spoon found anywhere in the country. Plain as plain can get. I'm calling shenanigans."
4/19/2015,20150419,3,3.55,"Tried Peach's today, I was interested because they serve duck bacon, you have to try a place with duck bacon. It was thick and tasty. The home style potatoes are seasoned well and eggs cooked perfectly. The pancakes were just ok, the duck bacon is why you should try them. Nice sized restaurant that can seat a large amount of people and parking wasn't too bad you can park on king drive or 47. The staff was nice and friendly."
4/21/2015,20150421,3,3.5,"I stopped in with very little time on my hands so I stuck with a safe order: bacon egg and cheese on sourdough and coffee. They carry Stivers coffee which is good. The sandwich was okay. The place is bright, the prices are fair, there is plenty of seating and the staff is very very friendly. I plan to return when time isn't an issue."
4/26/2015,20150426,4,3.54,"The food is very good. I tried duck bacon for the first time. It was great! Our order came to the table quickly. The waitress was very professional, nice and always had a smile She made very helpful food suggestions. Overall, the restaurant was clean and inviting. A very pleasant experience."
4/30/2015,20150430,4,3.57,Peach Bourbon compote on everythaaaaang
5/5/2015,20150505,5,3.67,Great food... Try the DLT. Peach coffee is really good and strong. The service was great. I will be back soon to try the salmon croquettes and cheese grits :)
5/10/2015,20150510,5,3.75,"Today was our first time there, my mother-in-law told us about, so my husband and I went to check it out for ourselves. The hostess was very friendly and asked if it was our first time and we said yes. A waiter brought us water as soon as we sat down and informed us that he would not be serving us but he gave us the name of the waitress that would be. She was very friendly told us that they had just opened March 1st. She took our order and it arrived in a timely manner. I had the Peach's special scrambled eggs with cheddar cheese and home potatoes with green peppers and onions sprinkled with paprika, sausage links and pancakes with Apple Bourbon Compote Delicious!! My husband had Salmon patties with cheese grits also Delicious!! I also had Peach coffee which was very flavorful. I will definitely go back again and recommend my family and friends give it a try!"
