date,rating,review
6/3/2022,5 star rating,Love the jerk salmon wrap and smoothies. They also have good cakes! Jerk Salmon Wrap!
7/5/2021,4 star rating,"Came here for the first time and the food was pretty good. I got a BLT on a croissant and my friend got the jerk chicken wrap she couldn't stop raving about.4 stars instead of 5 because customer service was lacking. Like I said it as my first time and the lady at the counter seemed annoyed when we asked questions (Like when I asked for a BLT she said ""so turkey bacon lettuce and tomato?"" I thought she meant did I want turkey lunchmeat on my BLT and I said ""no"". Then she just stared me down. Then I realized she must mean they only serve turkey bacon. I said my realization aloud and said ""Oh okay, that's fine"". But how hard would it be for her to have simply said ""We only serve turkey bacon, not pork bacon. Is that fine?"")Anyway, as I said the BLT I got was good-turkey bacon nice and crispy and veggies were fresh. I would go back for the food and nice prices but they could benefit from a warmer staff, especially when you're a small business and you have folks experiencing your place for the first time."
6/10/2021,5 star rating,"Andy is so great! Her pop up ""Andy's Sunflower Cafe"" is inside ain't she sweet in the Pullman/Beverly Hills/Oak Lawn area. It's women and black owned, Some of the best lattes/coffee hot and iced I've ever had. On a mission to try them all! They have punch cards now!"
11/27/2020,5 star rating,My order was placed via grub hub .. which may warrant a different experience if placed in person... grub hub estimated the wait time to be about 45 min during the 1230-130 lunch hour.Upon arrival there was a wait for the in store orders and pick up orders so I suggest planning ahead. Their online menu corresponded with what was available in store i ordered the garden veggie panini. I was on the fence about ordering the tomatoes soup only to be surprised that my sandwich came with a small portion which was perfect.  I was able to eat half of my sandwich & the soup and save the rest for a second meal This business is also black run i was happy to find it while in town
3/31/2022,5 star rating,I've been coming here for years and they never miss. The jerk wrap and bowl is amazing as well as the weight watchers smoothie. I love that they give you an option of chips or fruit with your warps and they have lots of other great menu items as well. I definitely recommend.
5/1/2021,5 star rating,"This is one of my fav spots on the Southside. Not only is the food fresh and delicious, but this place is a whole vibe. The owner is a Delta, still works the counter, and don't be thrown off if she doesn't greet you with a big smile, she appreciates your business, she's just probably tired lol. The conversation you'll undoubtly strike up with the many cool customers waiting will more than make up for that. There's Black Art on the walls. Everyone is happy. And the jerk salmon wrap on spinach is lit!"
8/24/2021,1 star rating,"My friend and I ordered the jerk chicken bowl with salmon, we were charged and extra $4 a piece, mind you we didn't check our food prior because we arrived as soon as they were closing, and didn't realize that we had gotten chicken instead of salmon (what we asked for and paid for), my friend said that this has happened to her several times before. So we were charged a total of $8 and didn't get what we asked for, so to everyone please check your food before leaving, because clearly they're not paying attention or trying to rip people off"
12/6/2020,5 star rating,"This was my first time trying this place out. I was very pleased with my food! They have a lot of options on the menu to give people a variety. Because of Covid, they are takeout only. You can walk in and order or call over the phone for pickup. The staff was quick and very nice. I waited around 5 minutes for my food to be done after I placed my order. I ordered the jerk salmon wrap. It was soooo good! I loved the spice level. It was had a kick, but it wasn't overwhelming. I could taste the flavor still. The salmon was moist and flaky. They give you options of tomato, flour, spinach, or wheat wrapping. I got the spinach and it was good! Overall, 10/10 experience. Definitely will be returning. Black owned!"
2/11/2022,5 star rating,Food is always great and fresh I would highly recommend this place. The jerk salmon wrap is the best along with the tomato soup
1/30/2020,4 star rating,"Chilllllee! I have drove past and heard about this place  for years now. I would always forget to go in. As a SAHM (Stay at Home Mom) and a full time student I don't always feel like cooking lunch so Grubhub was my friend yesterday and Ain't She Sweet cafe was my BFF!!!!!!! My order came within the time frame on the tracker. The lady who brought my food to my house was prompt, pleasant and courteous. When she handed me my bag and my smoothie I had a feeling that it was going to be delish!!I ordered the Da Steve (which was turkey ham, turkey bacon, oven roasted turkey, cheddar cheese, lettuce, tomato, red onion, mayo and mustard on a buttery croissant for a $1.00 extra I added the soup of the day (you must call first to see what it is) I didn't because I wanted to be surprised. I was! Their tomato basil soup is sooo good!! I mean you could pour it on a leather shoe and have a great meal!! Loll!! It was that good! I also ordered a Tropical Breez. It had  a scoop of raspberry sherbert, blended with  peaches, pineapple, mangos and strawberries in it. Sooo goood. ****I only gave them four stars because I ordered a rum cake slice and was given a Lemon pound cake slice. It was nice and moist just not what I ordered. Check them out if you are in the Bronzeville area! They are worth it!!"
