date,rating,review
6/4/2022,5 star rating,The store is decorated so nicely and the food taste great. Everything is made so freshly and there is a whole fridge of fresh fruit in the back. Comes in the perfect container for on the go.
3/20/2022,5 star rating,I was visiting family in town and had the pleasure of trying these pressed juices. Omg! Everything I tried was absolutely delicious. I thought the space was super cute and the aesthetic was right on point. I wish I was able to travel home with my juices. I will definitely be back the next time I'm home in Chicago
11/30/2021,5 star rating,I was visiting family in town and had the pleasure of trying these pressed juices. Omg! Everything I tried was absolutely delicious. I thought the space was super cute and the aesthetic was right on point. I wish I was able to travel home with my juices. I will definitely be back the next time I'm home in Chicago.
5/28/2021,5 star rating,"This Sis right here has figured out the beat and made a full mix!!! 2nd stop on my May 2021 Chi-Town tour. We ordered via UberEats for some morning munchies. We ordered two order of Avocado Toast, Blueberry Beet Smoothie and the Beet It Juice. Delivery was prompt and the smoothie was still thick!So let me just tell you that this Avocado Toast gave me life!!! The mixture of spring mix, radish, cilantro, tomato, red onion, mozzarella, lemon, balsamic, and jalapeño is absolutely priceless. The radish and jalapeño give a nice crunch, the lemon a splash of citrus, and balsamic never disappoints. I honestly wished I had another slice! LolMy Blueberry Beet smoothie was yummy! The fruit blend with the almond butter and flax seeds gave it a smooth and nutty flavor which blended well with the blueberry, mango and apple...and thankfully I couldn't even taste the beet! Now the Beet It Juice...I'm going to say it was awesome since my breakfast partner drank all 8oz in one gulp and I didn't see it after blinking nor was I allowed to taste it. Lol!P.S. Sorry no pics...I was hungrier than I thought! Definitely order here...you won't be dis disappointed!"
2/10/2022,3 star rating,"I heard about this place through a friend! I was excited to start my health journey! I've purchased their pressed juices from Vegan restaurants so I was excited to go to the store! Unfortunately, my in-person experience was not great. Great products but due to bad customer service I will not return."
12/11/2021,5 star rating,She's so sweet and those smoothies really get me going in the morning by far one of the best places in the city I really love this place and highly recommend it
2/24/2020,5 star rating,Bani made me this plate of Scrambies on a croissant. She put some Beet-infused hot sauce it and it was outta this world.I got on the metra shortly thereafter and began my day drinking expedition.
8/9/2021,1 star rating,"This place deserves five stars for its products but I'm giving it a whopping one stat due to the nasty attitude of the people working behind the register. I don't know if they're unhappy or what, but I repeatedly experience customer service that is subpar. They act like I'm wasting their time or want to see me good and dead. It's honestly appalling. To whoever made me feel like crap today for simply wanting to buy a six dollar juice, I hope you experience the shitty feeling back so you understand how AWFUL you can make a person feel just because you're annoyed to be at work. I won't be coming back."
3/5/2021,5 star rating,Great start to my morning!! The packaging is the perfect size for transporting and the juice tastes great. 10/10  I will be trying more items on the menu. Do yourself a favor and check out Banis Beets
8/17/2021,5 star rating,"After taking my morning walk today I decided to visit Bani's Beets. They had been on my list of local black owned businesses to visit for a while. Upon arriving I walked into a clean and neat environment which for me was an immediate plus because I have a compromised immune system. A dirty entrance and waiting area is an immediate red flag for me. All three women were friendly, attentive and wearing masks! A second plus for the business. I ordered the Avocado Toast, 8 oz. Morning Glory Juice for me and the Blueberry Beet Smoothie for my mother. There was a minimal wait time and everything was made fresh. I will definitely be returning!  The Avocado Toast was absolutely delicious. It was fresh, light, with just the right amount of heat from the jalapeños and the combined textures of the ingredients made it totally satisfying. The Morning Glory Juice was refreshing and a perfect after walk replenishment. And my mother who turns her nose up at anything healthy, and only wants milkshakes loaded with ice cream, drank every last drip of her smoothie and kept commenting on how good it was. That was when I knew we had found a new favorite. PLEASE keep doing things professionally and purposefully. So many businesses start skimping on the integrity of ingredients and slack on customer service once they have an established customer base. Thank you for bringing such healthy and wonderful food to our community. I hate it took me so long to visit. But I will definitely be back for more!"
10/13/2020,5 star rating,Deliciousness served with a side of great customer service!!! I always receive great service from Banis.
4/9/2021,5 star rating,"Bani's beets is great! It's nothing but natural ingredients. Smoothies, healthy shots, salads, smoothie bowls, juice!! She has it all. If you struggle eating healthy come here and have it made for you with love."
6/11/2019,5 star rating,"I ordered their Lean Green cold pressed juice while dining at Majani's and finally made it to the actual shop. This place is so charming! I love seeing young business owners execute things well. All of the items that I ordered were fresh, not too sweet, and presented nicely, while the service was friendly and professional. I will be back for sure!"
1/10/2021,4 star rating,The avocado toast was the best I've had in a while! I've tried it at other locations and this was by far the best I've had. The mild jalapeño spice along with the dressing and greens was delicious. I'd definitely go back just for the the toast. I also ordered the blueberry beet smoothie which was also delicious and had me feeling full long.
