date,rating,review
4/30/2022,5 star rating,"A hidden gym in the heart of the east side. I had the Spicy CHICK'N tacos. They were so good and filling. It comes with two tacos but one is literally enough to have you full. It came with sweet potato wedges, I normally don't like sweet potato anything but I tried them anyway and they were BOMB! Warm and soft. The tacos had a smoky flavor paired with guacamole, a cucumber sauce I think, tomato and lettuce! I would def recommend giving this place a try if your into vegan food, even if your not into it you will be after eating here!"
4/26/2022,5 star rating,"Everything was super hot and delicious! We got the gumbo, lentil soup with cornbread and sweet potato cookie. My stomach was sooo satisfied:)"
4/23/2022,4 star rating,"Good food. Some dishes are best served fresh as opposed to take out. Food was very tasty, although I didn't get the sauces in my to go order (which I was looking forward to trying) my husband and I placed a large order and maxed."
4/22/2022,5 star rating,Customer services was excellent and food is delicious! 10/10 would recommend. The portions are great too! Bang for your buck.
4/14/2022,5 star rating,"My top 3 vegan restaurants in Chicago. Food made with love is always made to serve. Great flavors and unique options. Allergens perfectly placed on menu, so you can what to avoid. Great people great food."
2/23/2022,3 star rating,Love this place as a solid option for vegan eaters. Not the worst but not the best. The fried polenta is very good
2/17/2022,5 star rating,"Jerk Tofu Wrap with roasted sweet potatoes was delicious. Extra garlic sauce ots set it off. Greens and cornbread. Their collard greens are great but I thoroughly dislike that dry cornbread. I think it's hot-water cornbread, which was a staple in African American homes decades ago. Some like it, others, like myself, do not. There was a potato corn chowder soup special one day and it was amazing. I wish they'd make it a regular menu item. Last but not least, there's this strawberry lemon cake that is one of the most amazing vegan cakes I have ever had. I definitely need them to make me a wedding cake with these flavors, even if there's no groom: just me and this beautiful cake."
2/12/2022,2 star rating,Food sometimes really good sometimes not -- like Forest Gump you never know what you're going to get. Service people rude.
2/1/2022,4 star rating,"I am not vegan but decided to check it out with a friend who is. I think they are closed to dining in but they allowed us to stay and eat but they're was no one to serve us so we ordered at the counter. Our food canned in delivery containers also. This meant also no water for us which was not ideal. We ordered the falafel fritters and oyster mushrooms. I thought they were both delicious, flavorful and crispy. Slight earthy taste to the mushrooms but not overpowering. I'd definitely recommend if you're looking for a tasty vegan place, just don't expect to dine in. Street parking was available but scarce."
1/28/2022,3 star rating,"The food was OK to good. I liked the fried okra and the oyster mushroom tacos. The combo platter with greens, beans and cornbread was ok, but not worth the price of $19. And I had to return because they forgot the cornbread.But the biggest challenge is the man at the front counter. He has no people skills and was barely attentive at all. The chef in the back was friendlier and redeemed the experience a bit. This turned my 4 into a 3."
6/2/2021,4 star rating,"Tried this new vegan spot with my friend today. He comes here often and raves about the ""chicken sandwich"". He ordered it again and mentioned it was delicious but kind of greasy. According to him the sandwich is not as flavorful as he would like but it balances out with the crunchiness and barbecue sauce. I had the Buffalo cauliflower and thought it was great all around. The flavor of the sauce was tasty and it had the crunch factor to it that made me forget it was actually cauliflower."
