date,rating,review
5/26/2022,5 star rating,The customer service was amazing ! I'm new to the city and called ahead to order food. She offered to explain vegetarian sides on the menu which was helpful. The food . BOMB . I just moved from LA on the 11th. Soulé is 5 minutes away I'll definitely be back. I'll be bringing friends and family for sure. Thanks!!!
6/2/2022,2 star rating,Hi I ordered from Uber eats because I wanted some soul food I ordered the shrimp and grits came with 5 shrimps tasted bland and overly greasy Mac and cheese was okay lacked flavor too much grease Sweet potatoes were the best dish not greasy not to sweet I definitely recommend the sweet potatoes from this placeI hated the banana pudding it wasn't sweet lacked bananas and banana flavor the nilla wafers was good supply I was charged extra for the Uber delivery it was worth it The soule punch can be skipped over because it tasted like Hawaiian Punch nothing special I'm not used to so much greasy food after eating here my stomach hurts
5/9/2022,4 star rating,"Small venue so please make a reservation. Paid street parking available. $10 cork fee so it is byob. Non alcoholic options were a sweet tea and punch. Sweet tea was delicious. Fried green tomatoes: super thinly sliced . It's as if I was enjoying the batter more than the tomato itself.Catfish: very flaky and came out hot! Would order it there instead of to go, feel like it wouldn't carry well.Greens: they were okay. Missing a smoky flavor. Mac and cheese: cheesy and creamy. Lamb chops: delicious. Very flavorful Cream corn: was the highlight of the meal."
3/20/2022,1 star rating,"We learned about the restaurant and visited their website. The restaurant appeared to be appealing. I called the reservation line, and the person who answered the phone was unfriendly and sounded as if I had woken her up from a nap. This place is a very small establishment which is why they require reservations.We tried fish and grits, shrimp and grits, lollipop lamb chops, mac & cheese, sweet potatoes, and drizzled chicken, all of which were served after an hour. The honey-drizzled fried chicken was tasty, but the Mac & cheese was bland. The sauce they use makes the macaroni clumpy and way too creamy. Sweet potatoes, on the other hand, were delicious.There are numerous reasons why I cannot give it a perfect 5 or even 4 stars. One of these reasons is the SERVICE, which was extremely slow and ineffective. The owner keeps telling customers to wear masks, which we understand is necessary. But why do the staff working here don't even wear masks or follow the COVID health protocols? This is some sort of joke. It was my first visit here, and I didn't expect to be so let down.Also, to avoid losing customers, I recommend they hire someone who sounds enthusiastic to book potential customers. The one on the phone is particularly vexing."
4/30/2022,5 star rating,"Highly recommend getting a reservation! They were very kind and sat us anyway, because there were a handful of open tables when we came in (mid-afternoon), but it filled up quickly.The food was all delicious. We had fried green tomatoes, New Orleans style bbq shrimp, fried chicken, shrimp and grits, and a bunch of different sides. EVERYTHING was delicious and comforting.The atmosphere in this place is awesome. Homey. Friendly. Great music and incredible art.Don't miss out on Soulé - you won't regret coming in."
1/24/2022,4 star rating,"Since moving to Chicago I've been looking for a good comfort/soul food spot and I think I found it! I checked out Soulé on a Saturday evening and they did not disappoint. The staff was super friendly and they were BUSY (good for them!)I had the fried catfish plate with mac&cheese and greens. My friend had the white meat chicken plate with sweet potatoes and asparagus. We also shared the jerk wings and the banana pudding!! The catfish was DELISH! I haven't had catfish this good since moving from New Orleans. And the sweet potatoes were to die for!The price for the amount of food was just right compared to some other souls food spots I've been too!I forgot to get pics of some of the food before we started eating, but that just tells you how good it was!I suggest making a reservation if you want to eat in as the space is not very large, but they also do carry out orders if you want to go that route!The only reason I did not give a 5 is because you knew the food was prepped ahead of time because it was served within a few minutes of ordering. Not a big deal, especially because of how busy they were but just a noticing!"
1/17/2022,5 star rating,"I don't know many soul food restaurants in Chicago, so I'm grateful to have come across Soule. The energy from the staff is great and keeps the energy up. All the food was amazing, including the veggies and all for a reasonable price! Their banana pudding is a must have to end the meal! It was delicious! I love the variety from the menu and it was perfect on a rainy day to eat! I wanted to try all the sides on the menu as they all intrigued me. I loved the fried green potatoes and creamy garlic shrimp! We almost ordered more because they were very good! We loved all our foods and it was still good as leftovers too!I can't wait to come back because the food was amazing and I want to eat it again but also try other items!"
3/20/2022,2 star rating,Food was salty I had greens salty Mac&cheese was dryLamb chops okFired green tomatoes tasteless Very $$$ for your portions
5/17/2022,1 star rating,"I ordered the lamb chops , greens & dirty rice ! All three where SALT LAKE CITYYY HUNNNY COULDNT even enjoy it not even a lil bit the greens was the saltiest like whewwww the dirty rice was salty tooo and the lamb chops was dry with a sweet barbecue but salty asl like what's going onnnn. ! The second thing I got was the macaroni , sweet potatoes and catfish for my son the sweet potatoes was good I guess cause you can't add salt to them ! The macaroni was dry but it was alright and the catfish was good not salty the banana pudding was good and my son said the peach cobbler was 10/10 bussin he can't stop eating it (he 7) but them greens was so damn salty I'm mad asl so was that dirty rice that  was unacceptable"
3/18/2022,5 star rating,"Okay so I'll start here. I always take food pics. This time I did not....You walk in and are met with a familiar smell and feeling, it's called family. We were quickly sat at our table and the service was great. Chanika (Girl, forgive me if I spelled it wrong) got us some cold water and my soul punch which was great. The music, 90's RnB sets the tone for what's to come.I got the blackened and fried catfish with grits. Baby, these other restaurants could NEVER! It literally transported me to being 10years old in my granny kitchen. My hubby had the blackened catfish with dirty rice. He ate everything including the silverware lol. Honestly this is the best soul food I've had since moving back north because; A. The meat is seasoned not just the batterB. The service is amazingC. It's like being a child again waiting for your plate.Customer for life or as long as I'm in Chicago!"
