date,rating,review
2/9/2022,4 star rating,"A solid South Loop destination for all your burger, fry & wing cravings (which I have often :) Located just below W 18th & State St, it was fairly easy to get via CTA bus. They are currently open for takeout orders & delivery only. I got the sampler (which comes with a classic 4 oz burger, 3 wings and handcut fries). It was decent sized meal for the price, and I enjoyed being able to taste both the burger and wings. Wish I would've gotten dipping sauce on the side for the wings, but appreciated the different variety of sauces + dry rub options. Burger point also has a lot of unique, curated burgers with fun toppings and sauces on their menu as well. Everything was fresh and the meat is grass fed. Much better than going to a fast food joint, and it's locally owned!"
2/20/2022,1 star rating,Ill just let the picture speak for itself.  Double patty with $2 extra for 5 year aged cheddar (let me know if you can see it cause I couldn't)
11/2/2011,2 star rating,"!!!PLEASE ADDRESS THE AWFUL SERVICE!!!The burger here was too good to be ruined by under par service. The place already has an open kitchen and it doesn't help that customers walk in to see a kitchen (already too small for the amount of workers back there) that looks like a carnival filled with kids who were just released from school after overdosing on sugar.    Overall, food was good.  I was extremely surprised to have carry out food so delicious.  Especially with them being burger and fries, which do not mesh well with the amount of time it has to sit in a car.  Burger joints in the city are becoming the new craze like sushi was 10 years ago.  If the service here does not improve I give this place 10 months before it becomes another statistic in the, already hard to succeed in, restaurant industry."
1/22/2022,4 star rating,"I got takeout from this place the other night, and I was really happy with my order. It's really nice to have found a local burger place to support that meets all of my burgery needs!Last night my partner and I each got a burger and a combo with a large fry - with tip, it was between 30-35 bucks. Not too bad to support local.I got the mushroom burger and added lettuce, tomato, onion, and pickles on it because I do like the traditional toppings array. I wish I would have noticed that the burger didn't come with any condiments, but luckily I was eating it at home so I could add mustard and stuff. Just something to make sure to add next time! The burger was well cooked, a nice size for getting a single (6oz), and I was definitely full afterwards!The fries were also tasty, but I'm looking forward to crisping them up a bit more when we rewarm the leftovers :)Overall, solid burger place and I'm looking forward to trying something different when I return!"
11/30/2021,5 star rating,"One of Chicago's absolutely best burger places also has a great chicken sandwich? What more do you really need to know? I could tell you that there burger is award winning, but you should already know that. I could tell you're they're all grass fed, but come on, you should already be there let's be honestThe classicSoon to be famous buttermilk chicken sandwichInsta: @holi_ravi_oli"
6/1/2022,5 star rating,Awesome food!!!. I had the crispy chicken sandwich with bbq sauce. It was very delicious.the hand cut fries were to die for. Seasoned well. Definitely I will be back. Very much highly recommend this place.
1/15/2022,5 star rating,"If you ask my favorite Burger place for vegetarians in Chicago, this is going to be my recommendation without any second thought. I have been enjoying the burgers from the last 5 years and have not found a better place since then. Highly recommended"
11/10/2019,5 star rating,Always love this place just because their veggie burgers are the amazing. The best part is they can modify any burger into the veggie one so a lot of options for vegetarian people. Their truffle fries are good. Highly recommend their Hangover burger.
5/16/2022,2 star rating,"While the food itself may hit the spot, customer service is a ""HUGE"" key component to whether or not I return to your spot. I went in yesterday for the free burger that is offered when you sign up for the birthday club. The guy at the register was not the friendliest sort. Didn't make me feel welcomed, and was short and clipped. No pleasantries when I expressed it was my birthday (not that everyone cares about your birthday), however if people sign up to for your birthday acknowledgement and they come in and tell you its their birthday, I would think as a representative of the establishment, you would wish the birthday patron well. Nonetheless, the burger was good, however, unless customer service becomes more appealing, I won't be returning anytime soon."
10/7/2021,5 star rating,"Foto doesn't do it justice, single patty (can make it a double) burgers, Cooked to order and modify if you wish. Had the classic & dirty south with fries. All made fresh to order. Support local."
