date,converted_date,rating,average,review
1/14/2020,20200114,5,5.0,Just enjoyed my first experience at Ivy. I have been waiting to try it for a few weeks here since noticing the development while walking by as I live 2 blocks away. Ordered the Ivy burger with an Atwater Dirty Blonde. My beer came within 2 minutes and my burger arrived in 5 minutes. The burger was perfectly cooked and was delicious. This area has needed a spot like this and I will definitely return soon!
1/20/2020,20200120,5,5.0,My second trip to Ivy Kitchen. The food is good and the service is great. They are still new and tweaking things but everyone is so hospitable that's you don't mind  I will be back
1/20/2020,20200120,5,5.0,"Truly enjoyed the grand opening this past Friday. The atmosphere was lively and fun. There was a mixture of people; all kinds of flavors. The buffalo cauliflower is a must try as are the wings. Absolutely loved the kale Caesar salad. I added shrimp to mine. The owner was a perfect hostess mixing & mingling with guests. The female DJ was spinning the hits and setting the mood. If there's anything that I'd d like to see done differently is the parking. That's a ""Detroit issue"". I wish them well and hope that they flourish it's a rough business to sustain. I did I mention I loved the Rusty Screw with Don Julio."
1/26/2020,20200126,5,5.0,"A cute hole in the wall. Please do yourself a favor and try the chicken wings, they are very delicious. They were saucy, a little crispy skin, and flavorful. I couldn't stop eating them. Ialso had the the blueberry rosemary mocktail tHat I added vodka to, and it was AMAZING! I definitely suggest for a happy hour or late nite eats."
1/31/2020,20200131,5,5.0,"Nice atmosphere, nice food, everything was good. It has a very different menu and the ambiance is very cool."
2/2/2020,20200202,4,4.83,"Great good with healthy options. Fun atmosphere. Interesting flavors. Bar area. Also offers brunch on Saturday and Sunday with chicken and waffles, salmon and eggs, & avocado toast."
2/2/2020,20200202,5,4.86,Amazing. Loved the food. Loved the service. Had a great selection of vegetarian options. Cocktails were also great!! Interior was comfortable. A hair on the sparse side. Needs a little warmth and personality. But I'm sure that will come with time. We were there on like its first day. We will be back.
2/9/2020,20200209,1,4.38,"We visited Ivy Kitchen with a group of six on a recent Saturday night. We had made reservations on a google site but there was somehow a mixup and the staff did not receive it. They were kind enough to seat us anyway, which we appreciated. I ordered a bottle of La Crema Chardonnay and was surprised when our server brought out a different brand of Chardonnay that I'd never heard of. The server presented the wine and I said that's not what I ordered. She said ""We're out of that one"" and impatiently asked if I wanted to try it. *A properly trained server would have informed me they were out of what I'd ordered and given me an opportunity to choose something else. We drank the new wine, it was fine and I didn't want to complain. We ordered the wings and buffalo cauliflower as appetizers. The wings were good but the cauliflower was average, I would not recommend. I noticed after we'd eaten appetizers that our server had neglected to put our wine on ice. I asked her for a cooler and she said they didn't have any! What kind of restaurant that serves wine doesn't provide something to keep it chilled??? Next we ordered entrees. My husband got the burger, he liked it. I ordered the buffalo chicken sandwich, which was meh. Max & Ermas buffalo chicken is far better. Our fries arrived cold. And the person in our party that ordered the salmon did not receive his food until the five of us had finished ours. He asked if they would adjust the bill. *Instead of taking cost of salmon off our bill they charged us half price. We really wanted to love Ivy Kitchen but sadly we would not recommend nor return. They are clueless regarding basic customer service."
2/10/2020,20200210,5,4.44,"IVY KITCHEN & CocktailsWell it pains me to write a review on this fine establishment. This is the type of place I grew up in and on in the city of Detroit long ago . It's intimate and comfortable and off the beaten path . Not the new normal . I love IVY KITCHEN and wanna keep it all to myself but that's probably bad for buisness so if youwant something something different and outside of Downtown, check them out ."
2/14/2020,20200214,3,4.3,So it's my first time here! As I'm walking up the lights on the front were all wrong. Fluorescent lights send the wrong vibe... could have been really sexy. We were directed to a two top that was by the window but it was directly under the outdoor fluorescent lights from the outside../moved to the bar to air and it was way too bright! That could have also been sexy... and if that wasn't enough the light from the kitchen was the first thing you saw walking in! 1st recommendation.....dimmer!.So that's my initial impression Appetizer of grilled carrots was really good!So dinner was the short rib stroganoff. It was good not hot....but still good... on a black plate which is never good because it shows every wipe on the plate... it was tasty. Short ribs were really good!Ok next we're sitting at the bar looking for a bartender....!?! So apparently he left!! The food was good...pasta in the stroganoff was cold but otherwise it was good.The service was good and everyone was friendly but things went a bit awry when the bartender dipped out! The bill came and it was a little bit of sticker shock compared to the caliber of the restaurant. The drinkers were way to expensive for what you getSo overall 1-10.... 6. There's room for improvement!The place has great potential...
