date,converted_date,rating,average,review
8/22/2018,20180822,5,5.0,"Everyone was friendly/helpful, the service was great and the food was good. I tried a little bit of everything -- codfish balls, beef patties, chicken pelau, coocoo & callaloo (only thing not pictured) and mango tango for dessert. Everything tasted fresh and was seasoned well. They didn't have any doubles, so I will definitely be back to try those soon. The owner was very nice and you can tell they are all doing their best to pay attention to details and feedback so they can make whatever changes are necessary to have a successful business."
8/24/2018,20180824,5,5.0,"I loved this new place in town! Just opened last week, and I couldn't wait to try it as I haven't had really good Caribbean cuisine since I was in Jamaica. I sat outside on a beautiful evening in the nice patio area, and was almost immediately greeted by the owner who was working his way around the tables saying hello to everyone and making sure that all was well. That was nice. Everyone working here was very welcoming and friendly, and for a busy night in a new restaurant everything ran smoothly and the service was great.I started with one of the specialty cocktails, Sorrel and rum, made with Sorrel flowers (a type of hibiscus, which is used in Jamaica traditionally for Christmas drinks), clove, cinnamon, and rum. It had a nice flavor, and a good punch. Don't drink more than one, haha.. I ordered the jerk chicken wings app, and though they were very good and cooked perfectly, I was really hoping for a much spicier jerk seasoning than what was here. But I also understand that restaurants need to please the masses, and since the crowd here was mostly white and Grosse Pointe.. Yeah, better not make it too spicy.For the entrée, I ordered the curry goat.. I couldn't wait to have this dish, as it's damn near impossible to find decently prepared goat outside of the islands - and this dish did not disappoint. I was in heaven.. The meat was tender, perfectly spiced, and served on a bed of jasmine rice. I absolutely loved every bite. I'm still dreaming of it a day later. The fried plantains on the side were a nice traditional and tasty touch, too. I really wanted to try a dessert - they have three choices, all made with local Wally's frozen custard, but I just didn't have the room for another bite. Next time.. because I'll definitely be back to this wonderful little restaurant. Another tip to the owner - I love a good cup of coffee after dinner, and was wishing that you served Jamaican blue mountain, but was told that you do not. Maybe someday?"
8/29/2018,20180829,5,5.0,"Lester's brick and mortar expansion from his famed food truck is a hit! The space is an extension of his family's culture and traditions. While I haven't had everything on his larger menu yet, the goat curry and chicken pelau are fantastic. The vegan curry and doubles are awesome too. Also has Batch Brewing on tap! Dang ma bang!It is also worthy to note that he is still amidst a run of soft openings (as of August 28) to fully train BOH and FOH. Maybe an unorthodox method for the rare Trinidadian joint in Jefferson Chalmers, but hey I'm thankful to be along for the ride."
9/2/2018,20180902,2,4.25,"My heart hurts to leave this review. It took a long time to open up and I had been counting the days.  They had two soft openings and I went at 9pm on their hard opening, which was a Tuesday night. Interesting and fun colors and design. Not tacky Caribbean.  The menu was small, but whatever. There were 4 of us and we had several items on the menu. Beef patties, jerk chicken wings, fish balls for apps. The beef patties were delicious and well priced. Everything else was cold. Not warm. Room temp cold. I asked and only the patties were cooked to order. When I pointed out the apps were cold I was essentially met with shrugs and the comment 'We are doing what we can.' We had Curry chicken, goat and jerk chicken sliders mac and cheese and chicken pelau for our entrees. The goat was good. The rest was just okay. Again, nothing was piping hot. And with the exception of the goat particularly flavorful. The curry chicken and pelau had almost no chicken. Literally about 2 tablespoons of chicken bits.  Jerk was a dissapointment. It is supposed to be hot and spicy. It was literally not. Oddly, there was not jerk chicken entree option. It was the hard opening and our entire stay in this West Indian restaurant they played house music. Good soulful house, but not soca, dancehall or reggae.  It all felt like their target demographic is people who have never had or are brand new to west indian food.  They have 2 dessert options. 2 different styles of ice cream which were delicious. Their sorrel cocktail made with rum was Also well done. I figured it was new and give it some time. I love West Indian food and perfection takes time. I returned again 2 weeks later this past friday at 9:40pm with a kid and another adult. We are greeted at the door by a friendly host. We turn down the offer of a seat as we are interested in take out... Only to he informed they do not do take out and they are more of a sit down place.  I know they have take out containers as we used them last time. The place has a full bar but only 2 tables in house so they are not slammed. The description here says they do take out. So we left confused... and hungry to go somewhere else.  My final assement is the place is great for a drink to start the night out or meet a first date. Or for those looking for something different for dinner. But if you're looking for traditional west indian fare or spicy jerk this is not the place. Basically, hipster West Indian."
9/4/2018,20180904,2,3.8,"Food was OK, but I think I'm been spoiled by Jamaican restaurants. They did a great job inside, decor is lovely. When I walk in hostess greeted me promptly and I say I'll sit at the bar. I sit down and when bartender comes over I ask to order, she informs me ""we're not doing carry out yet"" hahahah who said anything about carry out?So I say well I was going to eat here at the bar, while looking around at the two other people who were sitting there I ask if that's OK?I ordered the curry chicken and it was the strangest version I've ever had. I've eaten this dish for years, all different Caribbean styles and never anything like this semi vegetarian style with barely any chicken at all, just a few shreds, and a ton of chick peas. I'm glad I ordered a side of plantains because the meal comes with just three slices. I asked for hot sauce which they don't have, so bartender brought me a tiny portion of a spiced sauce that was OK, but why so skimpy?I wish them well, but I probably won't go back."
9/13/2018,20180913,5,4.0,"Dishing in the D had a great dinner here on September 14th. The food was delicious! We had a group of 14, so we tried everything on the menu, from the oxtail sliders to CooCoo and Callaloo, curry goat and chicken, chicken pelau, and the soft-serve (with rum and with mango). The service was terrific. The staff is warm and welcoming, and they know the menu. The craft cocktails are really tasty. The jerk chicken wing appetizer had just the right amount of heat, with a dipping sauce to add the extra zip you might want. The CooCoo and Callaloo is polenta with an okra/spinach sauce - don't let that fool you, the polenta is meltingly tender and creamy, the sauce smooth and unctuous - even okra haters loved it. Cod fish balls were also a hit. Doubles are a Trinidad street food - fried bread around spiced chickpeas - with a terrific tamarind sauce. The building itself is beautiful - a great job renovating it for the restaurant. This spot is well worth the stop - they will make you feel at home, and you'll be well fed and happy."
9/16/2018,20180916,5,4.14,Went here last night! Everything was SO AMAZING tasting! The Mac and Cheese is to die for! Very pleased!!
9/18/2018,20180918,5,4.25,I had the jerk chicken sandwich to go. The jerk chicken itself tasted great but I wish the bun had been toasted. I'm looking forward to going back and trying more!
9/19/2018,20180919,1,3.89,"Customer service was good that definitely made up for the food, vibe was stale, the most inauthentic Trinidad food ever, please take the doubles off the menu until u find someone who can make it properly that bara was hard and lacked flavor, the Channa unseasoned, tambrand sauce bitter just all bad, not a good representation of my country's food at all. The Mac n cheese was bland and lacked seasoning. Only customers who haven't tasted the real deal would remotely enjoy the food. Then no soca like really? I was very excited to finally have a Trini spot in the city but was left highly disappointed."
9/21/2018,20180921,4,3.9,"I ordered the cod fish balls, vegan curry medium spice which is not pictured, and mango tango custard. The cod fish balls were a little on the salty side but I did like the sauce that comes on it. My curry was good the medium spice has some heat to it so be warned if you don't like spicy foods. Other foods pictured are chicken peleau and goat curry which was order medium spice but wasn't spicy at all."
