date,converted_date,rating,average,review
9/20/2015,20150920,4,4.0,"Previously named The Grill Midtown, The Block has a new menu and décor. We were there for Detroit restaurant week and enjoyed their short menu for this special week. We enjoyed the wing appetizer, a vegetarian entrée of sweet potato chips, carrots, artichokes and a creamed cheese spread all over a couple of slices of nut bread. It was very good. Others had "" Rockin"" chicken or steak. There were two dessert options--a apple taco filled with ice cream (everybody loved it) and a bacon brownie(a little weird and spicy----- some loved it but others hated it)) Everyone was happy with their meal overall. The wines were good ,a Bollini Pinot Grigio and a 1865 Malbec. Service by Solange was perfect. We will definitely go back and explore their regular menu.One point to know is that they have free parking in a parking structure in the side street just west of the restaurant. There is also some street parking."
9/20/2015,20150920,4,4.0,"Previously named The Grill Midtown, The Block has a new menu and décor. We were there for Detroit restaurant week and enjoyed their short menu for this special week. We enjoyed the wing appetizer, a vegetarian entrée of sweet potato chips, carrots, artichokes and a creamed cheese spread all over a couple of slices of nut bread. It was very good. Others had "" Rockin"" chicken or steak. There were two dessert options--a apple taco filled with ice cream (everybody loved it) and a bacon brownie(a little weird and spicy----- some loved it but others hated it)) Everyone was happy with their meal overall. The wines were good ,a Bollini Pinot Grigio and a 1865 Malbec. Service by Solange was perfect. We will definitely go back and explore their regular menu.One point to know is that they have free parking in a parking structure in the side street just west of the restaurant. There is also some street parking."
9/28/2015,20150928,5,4.33,"This place has changed for the better! Me and a group of friends went on a Saturday night during Detroit Restaurant Week and we truly enjoyed our meal...so much that I had to write a review about it. This three course meal for $25.00 (with the restaurant week discount) was the best meal I'd eaten all year. First Course: My husband decided to get a little funky and order the Watermelon BBQ wings, which were outstanding! The sauce on those wings made me feel like it was the fourth of July in my mouth. With a great melody of sweet barbecue sauce and the faint taste of watermelon, it was phenomenal. I ordered the shrimp with with chili sauce, which was perfect. Other friends order the Kale caesar salad, which was so good that we've dreamt about it everyday since...Second Course: Everyone including my husband ordered the tenderloin, which they all loved. I ordered the pan seared glazed salmon with a twice baked potato and parmesan corn on the cob. The pan seared salmon gave me so much joy, it was perfectly seared and the glaze acted as a sweet cherry on top. Third Course: If you Love bacon & brownies like I do, the bacon brownie will blow your mind.  I appreciate great meals and this place does not disappoint. Make sure that you get Michelle as your waitress...she's the bomb! Thank You for the great meal ""The Block"" - Kesha McKinney"
9/28/2015,20150928,5,4.5,"This place has changed for the better! Me and a group of friends went on a Saturday night during Detroit Restaurant Week and we truly enjoyed our meal...so much that I had to write a review about it. This three course meal for $25.00 (with the restaurant week discount) was the best meal I'd eaten all year. First Course: My husband decided to get a little funky and order the Watermelon BBQ wings, which were outstanding! The sauce on those wings made me feel like it was the fourth of July in my mouth. With a great melody of sweet barbecue sauce and the faint taste of watermelon, it was phenomenal. I ordered the shrimp with with chili sauce, which was perfect. Other friends order the Kale caesar salad, which was so good that we've dreamt about it everyday since...Second Course: Everyone including my husband ordered the tenderloin, which they all loved. I ordered the pan seared glazed salmon with a twice baked potato and parmesan corn on the cob. The pan seared salmon gave me so much joy, it was perfectly seared and the glaze acted as a sweet cherry on top. Third Course: If you Love bacon & brownies like I do, the bacon brownie will blow your mind.  I appreciate great meals and this place does not disappoint. Make sure that you get Michelle as your waitress...she's the bomb! Thank You for the great meal ""The Block"" - Kesha McKinney"
10/4/2015,20151004,4,4.4,"I would give The Block 3 1/2 stars..We started with the alfredo potato skins which were AMAZING. Highly recommend this as a starter. We then ordered boneless wings in rock n rye, sweet chili, parmesan/garlic, and bacon/bourbon. The sweet chili definitely stole the show. The food was great, the service was the issue...I asked for a moscow mule with valentine vodka - the server didn't know a mule could be made with vodka and also wasn't familiar with the available vodkas-also, we ordered 20 boneless wings thinking they would be similar to the size of the boneless wings found at buffalo wild wings - instead they were more like chicken tenders (which was fine) but the boneless wings come with more than 5 wings which was not mentioned to us until the dishes were brought out leading to WAY too much food for 2 people to consume.TLDR: Food is great, definitely try the potato skin appetizer - stole the show. Service needs A LOT of work."
10/4/2015,20151004,4,4.33,"Nice, casual atmosphere with great waitstaff, and apparently they validate parking (I parked in a free spot on the street). The crab artichoke dip was great, and the kale caesar salad and cornbread side were good as well. I hadn't been to the Grille Midtown, so can't speak to whether the new place is better or worse. There wasn't a whole lot on the menu that I'm dying to go back and try, but would definitely consider this place a solid dinner option in the future."
10/4/2015,20151004,4,4.29,"I would give The Block 3 1/2 stars..We started with the alfredo potato skins which were AMAZING. Highly recommend this as a starter. We then ordered boneless wings in rock n rye, sweet chili, parmesan/garlic, and bacon/bourbon. The sweet chili definitely stole the show. The food was great, the service was the issue...I asked for a moscow mule with valentine vodka - the server didn't know a mule could be made with vodka and also wasn't familiar with the available vodkas-also, we ordered 20 boneless wings thinking they would be similar to the size of the boneless wings found at buffalo wild wings - instead they were more like chicken tenders (which was fine) but the boneless wings come with more than 5 wings which was not mentioned to us until the dishes were brought out leading to WAY too much food for 2 people to consume.TLDR: Food is great, definitely try the potato skin appetizer - stole the show. Service needs A LOT of work."
10/4/2015,20151004,4,4.25,"Nice, casual atmosphere with great waitstaff, and apparently they validate parking (I parked in a free spot on the street). The crab artichoke dip was great, and the kale caesar salad and cornbread side were good as well. I hadn't been to the Grille Midtown, so can't speak to whether the new place is better or worse. There wasn't a whole lot on the menu that I'm dying to go back and try, but would definitely consider this place a solid dinner option in the future."
10/11/2015,20151011,3,4.11,"it was decent, I guess my expectations were just a little high. we had the rock and rye wings, and I had a chili devil beer, eh not the best, but definitely not the worst. this place has potential, but one thing I noticed... our server read off the beers to me, ive been in restaurants for 3 years, and a server for a year, and I know that's a no-no. menu and beer menu should be memorized, but atleast she was nice, and prompt 3 stars. minus 1 star for not knowing the menu, and minus a star for the food selection and theme. There called ""The Block"" but the only 2 things that give me a ""Block-ish"" feel, was there sign (awesome sign btw) and the menu on a clipboard."
10/18/2015,20151018,2,3.9,"After hearing the ratings and doing my research I decided to give this place a try and sadly to say that I am giving the Block a 2/5 stars. I made a reservation for a party of 15 and the staff sounded really pleasant and adjusted to what I needed, to make my party feel welcomed. But don't let that nice personality fool you! As my guest started to arrive, we only received ONE menu for the whole table until they realized us sharing that menu. Once everyone ordered, we waited for a very long time ( about 20-30 minutes) before the food came out. I understand that we have a big party but the restaurant was not busy. The only reason why this restaurant is getting any stars is because of their food. Although they had a limited amount of choices on their menu, their food was delicious and had a variety of flavors. Throughout the night we consistently received bad service from the waitresses. They would come to our table and asked if we needed anything. When we told them what we needed, they never came back with it, even when we told them multiple times. For example, when my guests ordered drinks, they waited over 30 minutes to either remind the waitresses or receive their drinks and by that time my guests finished eating. Soon my guests and I became agitated after the consistent bad service and I informed the waitress that I wanted to talk to their manager. When the manager came, I told him what had happened and that we were unsatisfied with their service. He apologized and asked what we needed which was nice but nothing was done about the service besides the restaurant giving one free slice of cheesecake to me. In addition, each of my guest were automatically charged for 20% gratuity, I'm sorry to say but that the waitresses did not even deserve that much of tip.I have mix feelings about this restaurant but I probably will not be eating at the Block again."
