date,converted_date,rating,average,review
7/27/2017,20170727,5,5.0,We tried Narrow Way for the first time today and LOVED it. Top notch coffee-my iced latte was amazing and definitely kept up with the quality of other local favorites like Red Hook and Astro. Also loved the decor- really nice spot to sit and relax. Owner Sabrina was sweet and approachable. We'll be returning soon!
7/27/2017,20170727,5,5.0,We tried Narrow Way for the first time today and LOVED it. Top notch coffee-my iced latte was amazing and definitely kept up with the quality of other local favorites like Red Hook and Astro. Also loved the decor- really nice spot to sit and relax. Owner Sabrina was sweet and approachable. We'll be returning soon!
7/31/2017,20170731,5,5.0,"What a beautiful space! The coffee is delicious! They serve Rishi teas. They do smoothies. This is exactly what we need on Livernois. Plus they open at 6 am weekdays. While you're there, check out the gorgeous bathroom."
8/5/2017,20170805,5,5.0,"All I can say is WOW!!!! This place is impeccable and is such a breath of fresh air. Upon walking I was immediately greeted by Micah and David. They were so pleasant. I knew that I would love David no matter what because he was rocking a Michigan shirt. So I am usually a corporate coffee connoisseur (lol) but in the last few months I have found a new love for local owned coffee shops. This place is giving me Portland meets Detroit vibes. I will definitely be a new face at such a dope coffee shop this place is one of a kind. They make smoothies, tea, and all types of coffee. Also their music choice is amazing. Another great business filling in the gaps of the city. Making Detroit a place to be!!!!"
8/5/2017,20170805,5,5.0,"This is a very good coffee shop in the growing Livernois Avenue of Fashion area. I stopped here with my dad while waiting to be seated at Kuzzos right next door. The staff is extremely nice. We walked in and were instantly greeted by many members of the staff. I had the cortado and it was very good. There wasn't a ton of options however there are enough for a new shop. The entire ambiance of the shop is very trendy. This is a very good place to come hang out, have a drink, and help support the community"
8/5/2017,20170805,5,5.0,Stopped by today and got the Iced Caramel Mocha. The drink was tasty and I was very tempted to try a pastry. I'll try one next time I visit because I will definitely be back again! Great customer service and an overall good vibe.
8/15/2017,20170815,5,5.0,"Super dope decor, creating a great ambiance! I already have menu favorites- two being the Island smoothie, and the spinach brioche roll for baked goods!"
8/21/2017,20170821,5,5.0,"Today is my first day. I really enjoyed this place. I had two Mocha for a little over $4 each. It was delicious and kept me energized as I studied. The staff was friendly and professional. If I needed time to myself to focus on my work, they respected my space, but if I wanted to be social they were engaging (which is awesome). They greeted me at the door. The interior decor is modern, stylish, & simplistic. The signage is very nice. It is a small cozy environment with wifi. The glass window opens up as a outside seating area (very nice surprise). Despite closing early during the week, they still get a lot of traffic/business. They also serve a small selection of pastries. I do wish they had some green leafy options available, but outside of that I do like the venue and intend on coming back. Oh and their bathroom is really nice!"
8/21/2017,20170821,5,5.0,"I was immediately drawn to the aesthetic of this place! The tile is beautiful, there are succulents lining the bench seats (so cute!), the women's bathroom is absolutely gorgeous, and the garage window that opens brings in so much light and a nice breeze! As someone who does not drink coffee regularly, I found there are a lot of non-coffee options on the menu (smoothies, tea, baked goods, etc.) which I love and appreciate! Their smoothie selection is incredible and each time I walk by the bakery case I want to try EVERYTHING in there! Some of my favorite menu items are the mango-strawberry smoothie, an iced chai latte, the spinach brioche roll, and the samosa strudel. Also, the customer service here is top notch! Everyone is super friendly and they really seem to take the time to get to know their customers. What put this place way over the top for me is that I received a 10% off FOR LIFE during their Grand Opening, how amazing is that!! Narrow Way has instantly become my favorite go-to coffee shop near my work! Everyone needs to check this place out!"
8/28/2017,20170828,5,5.0,First time here. Cool space. Good service. High quality pastry and coffee based drinks.
9/12/2017,20170912,5,5.0,"All I can say is THANK YOU! An excellent addition to the University District area. Mellow atmosphere, fresh pastries, and great Cappuccinos! Love that they offer non-dairy alternatives and a retro-modern decor. This cafe's a winner. So grateful that it's right around the corner... perfect place to ""work from home"". :*)"
9/18/2017,20170918,5,5.0,"This is THE coffee spot in Detroit.Interior design is on point, modern and clean without being pretentious or overly trendy. They serve Zingerman's coffee, so you know it will always taste good. They rotate light, medium, and dark roasts. My friend ordered an Americano, the only coffee drink she ever orders, and said it was one of the best Americanos she's ever had. I have yet to try to pastries but they serve Avalon products, so you know their food in on as well. Service is always excellent and there are outlets with both regular sockets and USBs next to every table. They also have a small bar style table at the front window that opens if it is nice out, so you can work outside and/or choose to stand and work.This business began as a coffee shop operating at the owners' church (about 4 miles from the new shop). They saw so much success, they decided to open a full brick and mortar to better serve their neighborhoods. They were awarded a Motor City Match grant to contribute to their opening. I learned this the first day I went to Narrow Way. I was working there in the morning, and one of the co-owners sat down with me to just chat and ask for my feedback about the place. Super friendly!Location is great for me, on the Livernois Ave. of Fashion, which is centered between Bagley and University District, with UDM and Ferndale nearby. I work here twice a week with my business partner because it's such a wonderful place and a business we are proud to support. The only ""problem"" is every time I go here I am so tempted to eat at Kuzzo's and now I have to actively stop myself from eating delicious chicken and waffles twice a week, lol."
10/6/2017,20171006,5,5.0,"A new coffee shop as good as it could get. Staff is super friendly. You can tell people enjoy working here. I enjoy coming here now and then. Pastry is very good and fresh. Out of the available savory options, Samosa is mind blowing. My other favorite in sweet section is this squared cake with almond paste on top of it. I wish this shop was closer to my home, so I wouldn't have to look for an excuse to drive here for 25 min."
