date,rating,review
5/22/2022,5 star rating,"We have been fans of Baobob Fare since we first tried their food at a Frame popup back in 2018. Last night we dined at the restaurant for the first time and it was a great experience!We ate a fairly early dinner (5pm) since it didn't appear reservations are taken. We had our choice of tables, but by time we left the place was full. The decor inside is light, bright and cheery. The casual restaurant is exceptionally clean and uncluttered. My husband started with an African spiced coffee, which he enjoyed and I chose the flavorful, iced hibiscus tea. For dinner we shared two dishes.The Samaki (fish) was perfectly cooked and the spices were so flavorful. The meal came with a generous portion of fried plantains, stewed yellow beans, spiced pilau and corn salad. Every bite was outstanding! We also loved the Intore Stew (eggplant) with coconut rice, peanut-stewed spinach and fried plantains. Both meals were delicious!From the service to the food to the atmosphere, we really enjoyed our meal at Baobob Fare and are so happy to see how this vision we first heard about years ago has become a successful and fantastic dining destination!"
5/21/2022,4 star rating,"The D still has it's challenges with spots rising and others falling but the gentrification seems to be creeping up Woodward. The former commercial center of Grand River and Woodward is trying to join the fray. Baobab Fare is a relative newcomer that's clicking with the hipster/office and food tourist crowd. Bright open space with a slick decor welcomes you. A long dining room was filled on a nice spring day. The African fare was delicious. I had fish, as the goat stew had to stew a bit more. It was like Mexican food prepared by an Indian restaurant. Very interesting. Now the only fault and the missing star comes from the cost. No lunch menu or pricing and you felt it. Lunch for two with no alcohol ( they don't serve it) was $50! A splurge to say no the least. All in my a very good experience just bring your wallet.Baobab Fare... Fair enough...Go!"
3/7/2022,5 star rating,"This place was sooooo delicious! I was in Detroit from out of town and was recommended this place by the dance studio I was visiting. We placed a carry out order and it was prepared accurately which as many of us know...doesn't happen all the time.I ordered the Nyumbani which as stated on their menu means ""home"" and it certainly felt like that. The meat was so tender, the flavors of the sauce were marinated to perfection and the combination of coconut rice and sweet plantains balanced my desire for savory and sweet flavors.I highly recommend this place."
4/2/2022,5 star rating,Amazing!!! First time trying east African food and I loved it. Our table tried almost one of each on their menu. Everything was so flavorful and cooked really well. My favorite dishes were the Kumuhana and Mbuzi. For rice get a mix of the coconut and spiced pilau. Would definitely come back!
10/30/2021,5 star rating,"One of, if not the best,  fish dishes in the Detroit metro area! (Called Samaki on the menu). $20 and enough for two- the fish is perfectly cooked and comes with your choice of rice (I prefer the coconut rice), plantains and white beans.  No idea what the flavors are in here but it's amazing!!! Like, A-Ma-Zing!And of course the other DO NOT MISS a menu item is the tamil.  It's base is avocado but that's all I've got for you other than you'll not find this anywhere else in Michigan and it's to die for- thank goodness was they give you one serving ($7) because I could eat it by the bucketful! The entire place is beautifully decorated and has such a wonderful atmosphere- try to dine in if you can.  And order the passionfruit juice as well- very special."
9/15/2021,5 star rating,"This restaurant is amazing! The East African cuisine is so flavorful and delightful. Our dining experience was quite fun. The ambiance is fresh - a gray scale palate with pops of yellow. The windows are plenty when lots of light shining into the restaurant. The food came out piping hot (plus) and the servings were plentiful! My mom and I left with ample leftovers. The Hibiscus tea is made fresh in house with all natural ingredients ( I could have drank two glasses is was so tasty). The food was beyond what we could have asked for - my lamb shank/Mbuzi was paired with rice, plantain, corn and yellow beans. My mom kept raving about how huge the lamb shank is that she couldn't keep her eyes off my plate! You must try this dish!  My mom ordered the Wednesday special, Mhogo, which was a yuca and chicken dish paired with cream spinach. You can't go wrong with either of theses entrees. I am looking forward to returning the Baobab Fare soon!!!"
5/7/2022,5 star rating,"Fresh, light urban decor and DELICIOUS food. We tried the fish, chicken, and eggplant dishes. All three were outstanding."
11/4/2021,5 star rating,"One of my absolute favorite places to eat in Detroit! It's located in such a great area, right on the corner of two iconic streets in Detroit - Woodward and Grand Boulevard - and serves as the gateway to the New Center district! The interior space at Baobab is so modern and open. It's such a fun vibe for everything casual, but also feels cozy and special for those times when you're looking for something a bit more upscale too.You cannot go wrong with anything you order on this menu, but I dream about the Samaki dish day in and day out. That's their flash-fried fish dish and they truly cook it to perfection. Pair that with their spiced rice pilau, the corn salad, the beans, the fried plantains - it is utterly DELECTABLE! It's the perfect meal (combine with the tart passion fruit juice YUM) and it is so much food that I definitely eat half and save the other half for another meal, which I love.But truly, there's something for everyone here. They have weekday specials as well, various different kind of meat-based dishes, but also are very vegan friendly as well! Everything here is delicious and it just makes perfect sense that they were rated the top restaurant in Detroit by Yelp! Congrats Baobab! Love you ALWAYS!"
2/3/2022,5 star rating,"I have wanted to check out Baobab Fare since I heard about an East African restaurant opening in Detroit. Due to COVID, it took me awhile to make it in, during that time the accolades grew, and for good reason. Large floor to ceiling windows let light into the simply decorated and comfortable interior. The bright yellow and red accents pair well with the otherwise monochromatic space. My friend and I went on a cold afternoon for lunch, their hot drinks were particularly appreciated. As others have mentioned, they do not serve alcohol. I had tea, and my friend had the spiced coffee. While my tea was good it was a bit too sweet for me, my friends coffee was outstanding. She said it was some of the best she had, the spices perfectly blended. At lunch, they do not offer all menu items. It is listed on their site when certain dishes are offered. My familiarity is with Kenyan cuisine, so I noticed some differences and similarities (my only disappointment was no chapati). The food is fantastic (so good they can get away with not serving alcohol). My friend and I debated and decided to order the Samaki (fish) and the Nyumbani (beef) to share, with recommendations from our server. The beef is cooked in a tomato sauce and is hearty and flavorful. And while it was great, the fish was one of the best things I've eaten in a long time. Lightly fried, topped with a light and flavorful sauce, and paired with fresh corn salad, fried plantains, stewed yellow beans and (we picked) coconut rice. The dish is both light, but incredibly full of flavor, and still filling. I like plantains, my friend was not a fan. I think they were well paired with the dish, adding texture. My only minor complaint would be some of the slices were a bit dry. Overall, this is a dish to dream about. We finished with the Tamu, smooth, sweet, and creamy pudding made from avocado and passion fruit, with a pleasant pop from the small seeds. My friend was apprehensive, but after having tried, it she wished she'd ordered her own. While Baobab offered me some nostalgia, it was a new experience for my friend she equally enjoyed. While I can not recommend Baobab enough, they do not take reservations, and once it's known just how amazing they are, it may be harder to get in."
9/12/2021,5 star rating,"Holy moly!!! Is this place even real? Everything was absolutely flawless. We ordered:Samaki, fish with corn salad, plantains, coconut rice and yellow beansNyumbani, tomato stewed beef with peanut spinach and coconut riceAvocado pudding with passion fruit and chiaAnd a delicious spiced coffee with warming spices and ginger.We were literally speechless tasting these beautifully vibrant flavors, everything was perfectly seasoned and presented. We LOVED the comforting beef and the avocado pudding was just out of this world - so bright and fresh. I can't wait to come back, thank you for such an amazing experience!"
