date,rating,review
6/13/2022,5 star rating,"Incredible historic Motown experience. I would recommend that this place with all the Motown art be declared an historic protected location. Miller is the man! The bbq was next level Detroit orginal. I would highly recommend checking out Bert's Marketplace and all the shops that make up the block. The Piano bar with high end seafood steak house, the comedy club, the after hours bar, and catering takeout bbq joint, as well as the outdoor live events that are performed in front of the marketplace during weekends over the summer are worth the visit. That is before you taste the food which is the most amazing I've eaten in Detroit!"
6/1/2022,2 star rating,"I have conflicting feelings about Bert's. Part of the experience is 5 stars and part is unfortunately 1 star. The karaoke on Saturday's is unparalleled. I've been singing karaoke since 1997 and no place I've been to can rival the talent that walks through these doors. Many wonderful voices at Bert's. As for the food and service, it leaves quite a bit to be desired. First of all everything is expensive which isn't the issue but just brace yourself for high prices. Second the service is almost nonexistent. I came here for two weeks in a row. Karaoke starts roughly at noon and goes until 7 PM. So it's a long show. Got here both times when it started so our group could get a table. First week the service was decent and our waitress had our drinks out pretty fast considering how busy it was. I ordered the chili cheese fries and got a massive amount on my plate. It was $12 but I had more than half left to take home with me. My friend ordered the half slab of ribs with greens and Mac n cheese as sides. The following Saturday it took 20 min for a server to even take our drink orders then another 30 min to get the drinks even though the bar is close to all the tables. The food was dumped no front of us in to go containers. When I asked why it was in Styrofoam since we were dining in our waiter said we only do Styrofoam we don't do dine in. Funny because last week everyone was served on plates. It gets worse. The burger which is supposed to be a half pound and is $15 was no bigger than a McDonald's hamburger patty and well done (I ordered it medium). Like hockey puck well done although a hockey puck is much thicker so that would've been more welcomed. After waiting two hours to get our food we were just happy to have something in front of us. It was like one week to the next was night and day different. When it was time to pay it took our server 50 min to cash us out and run my debit card. Some one at another table we were chatting with could see how long this was taking and got up to find our waiter and get me back my debit card so we could finally leave. Totally unacceptable service. I think the answer, fellow Yelpers, is go to Bert's for the entertainment. The karaoke show alone is worth seeing. Skip the food and maybe sit at the bar for faster service or be prepared to wait a while to get drinks."
6/4/2022,1 star rating,The customer service for online orders is garbage. How can a business operate for sooooo many years and not know how to develop a process so that the customer does not have to wait an additional twenty to thirty minutes for their food? When the customer reaches the restaurant.....the food should be ready.......And they never greet you.....
4/30/2022,5 star rating,"I enJOYed the service, the food and the music. It's always wonderful to run into sorority sisters while I'm out and about. Fun times!!! Thank you Chan for your service"
5/28/2022,1 star rating,"Ok idk why the line is always long. It was a rip off and food was gross! I can make better bbq than that! Sauce tastes like vinegar and water. Pork was limp, fatty, and soggy. Everything was cold. Meat just sits out unrefrigerated. Sides all lukewarm and bland. Canned beans and green beans."
6/4/2022,2 star rating,"Let me preference this review by saying I love BERT's, and I also understand that all restaurants may be experiencing a shortage in staffing.  However, when you pay for something, you expect to receive it.  This the second time my order was not as expected.  But moreover, than the mediocratic food the serving of cake that I ordered was shameful.   Two pieces, mind you.  Don't lose your faithful customers by serving lousy food, striped down servings and a wait time that is more than an inconvenience.  I am going to give one more shot at patronizing this establishment, if things don't get any better, I will either keep my ducket's  or spend them somewhere else."
5/7/2022,1 star rating,"Food was cod when it came out, they took over an hour to come to our table and ask what we wanted just to try to claw the kitchen on us, very Poor customer service"
5/23/2021,5 star rating,My daughter got the Rib Tips with macaroni and cheese for me. This was a carryout dinner from there. I could not wait for her to bring it home to me. Everything was delicious. I got all kinds of positive comments from the picture on social media.
2/21/2019,5 star rating,A great place for jazz and the blues. Very good ribs. My eastern market favorite place to go.
7/26/2020,2 star rating,"So disappointing!1st this place is not kid friendly or family oriented. They don't have a kids menu, I had to order my toddler chicken fingers with fries which was $13 The fries were limp and SOAKED in grease. I can't believe the manger would allow food to leave the kitchen like that. I exchanged them for mashed potatoes which were chunky in consistency and topped with a very basic gravy.The quality of the food was not worth the price. It's seems like they're just churning out food to keep up with the high demand but the quality, taste, presentation just went completely out the window.I ordered chicken wings with a side of Mac n cheese and red beans & rice. It was a totally flavorless meals. The Mac was cheese was just pasta with cheese on top, no creaminess whatever so ever. The red beads and rice were dry and had no flavor at all. The chicken had a basic salt flavor.My companion didn't enjoy their food either. One star for getting through the long line of customers needing to order in a timely manner.Another star for churning out the carry out orders in a timely manner.However, the food was terrible, and they had no air conditioner so minus 3 stars."
