date,rating,review
5/10/2022,5 star rating,"This is an experience! An explosion of flavors in every dish. Go with an empty stomach and get ready to enjoy a delightful meal. The brussel sprouts, corn on the cob, chicken wings, fries  and cauliflower were all amazing."
5/3/2022,3 star rating,"Came here on a Sunday afternoon. This entire place is a great spot for sure. The vibe and music is very fun, chill, and comfortable. The variety of cultural food spots is awesome. And there's a bar which is also a plus! The inside is kept clean with industrial decor. Parking is a challenge though.That dirt and rock parking lot on the side of the building that's free, is EXTREMELY small. So be prepared to park somewhere on the street. From COOP, we ordered the fries, mac&cheese, Brussel sprouts, corn, curry shrimp, and wings to share. The best part of the meal in my opinion was the curry shrimp. Reason being is, I felt like some of my food was burnt (the wings, Brussel sprouts, and corn). Like it stayed on the grill a little too long for my liking. The flavor was good,  but I feel like I prefer the flavor of other nearby Caribbean restaurants."
4/30/2022,4 star rating,"Coop's Jerk Wings are excellent.  There was only one problem with the wings...I didn't order them.  I ordered ribs, but got wings.  The place was too busy and chaotic for me to bother returning to have it fixed.  This is the most popular spot in DSC and your wait will be longer than the other food stalls."
8/1/2021,3 star rating,"We got the jerk ribs and wings.  They are served with the same bbq sauce on top and I expected the chicken and ribs to be on the spicy side.  Nope, it wasn't spicy at all.  The wings were perfect, meat came off the bones with little effort.  The bbq sauce went very well with it.  The ribs were good as well, but the end pieces required bit more work.Next time I go, will have to try their spicy chicken sandwich, coconut curry shrimp and some of their sides."
12/6/2021,4 star rating,"Oh man, Coop has some amazing flavors! You're going to love anything you order from here, from fries to chicken. There is an option when ordering to pick up your food curbside but we've always eaten inside Detroit Shipping Co. Coop is my husband's favorite as he loves a certain level of spice in his food. I will say when ordering from Coop they have taken longer than initially planned. We've waited over an hour for our food before to find it sitting on the counter downstairs. It's certainly worth the wait, though, just plan accordingly."
9/30/2021,5 star rating,Came here after the Growler Gallup 10 mile run. Was about 7:30 on a Sunday. Decided to get the Chicken Fritters and Caribbean Fries. Both were delicious. Loved the aioli on the fries. The girl that took my order was really nice and pleasant and delivered our orders to the table. She also offered us complimentary crispy Brussels when they were shutting down. 5 stars for the service and good food. Will be back to try more menu items.
12/26/2021,2 star rating,"I hate giving bad reviews but this is definitely the majority American version of Caribbean food. I was really disappointed with everything except the plantains. I Brought the curry shrimp home to put it over rice. Unfortunately, the sauce is in the bag due to the cheap container. As much as this little dish cost ($16), they should be able to supply containers more suitable for saucy dishes. LOVE Jamaican food but this didn't fit the bill. Very disappointed."
10/9/2020,4 star rating,"I ate here a while back. They have an infusion of Caribbean like I have never had here in the D. I have tried their jerk wings and their Caribbean corn, both were quite flavorful and so tasty. I wanted more and more, that's how tasty they are. Give it a try. You won't regret it."
10/11/2020,3 star rating,"A friend and wanted to check out the Detroit Shipping Company, just Bc we had heard such good reviews about the options of multiple restaurants, and we knew there was outside dining to enjoy our food during the nice weather.  So we both decided to try COOP Carribean Fusion. I was really excited Bc I have tried the River Bistro a year or so ago, and the food was delicious!  So I was eager to try the food here.I ordered the Chicken Fritters and the Spicy and Crispy Cauliflower.  My friend ordered the Spicy Chicken Sandwich and the Caribbean Fries.! Once we received our food, upon first look, everything looked kind of sloppy to me, and overwhelming.  Once I tried the Chicken Fritters and Cauliflower, I just felt like it was so drenched with toppings that it make both dishes soggy.  Also, reviewing the menu, it says that the Fritters comes with plantain chips, but I didn't receive that.  However, I'm not sure if I looked at an older version of the menu.  But overall, I thought both dishes were ok, and I would like to go back to try other menu options, but my friend felt the same way about the Chicken Sandwich, very sloppy and not too impressed with the overall taste.  Overall, I would like to try COOP again and try other options!"
9/27/2020,5 star rating,"Coop Caribbean Chicken was SO GOOD! I would highly recommend getting any of the chicken there. The person who took my order was so friendly & helpful & I could tell she was really invested in making sure that she was giving people the most accurate knowledge she could. When I asked her how spicy the chicken sandwich I was planning to get was, she said it wasn't too spicy, but if I was nervous then they could remove the hot sauce that went on the sandwich. As I left, I heard her turn to the chef to ask if she could try the chicken to make sure she was gauging the spice level correctly. I really love & appreciate that! The food was delivered to our table so fast & my goodness, such quality chicken! My friend got the jerk wings & they were petite wings that had such juicy, fall-of-the-bone chicken & MY GOODNESS THE FLAVOR! It was so good.We both got the Caribbean corn, which was also packed with flavor & delicious. There are a ton of coconut shavings on top though, and I'm personally not a huge fan of coconut, but hadn't read the menu carefully to realize that's what came on top, so ultimately I still prefer Mexican street corn (elote) to this, but this was still tasty! For my main dish, I got the Motor City spicy chicken sandwich (without the spice) & holy moly, it was to die for! I'm actually really upset that I didn't get a picture of it! I really can't imagine it with the spiciness of the hot sauce, because it was already what felt like the perfect symphony of flavors without it! I feel like any spicy would have masked some of these delicious flavors, which would have been a shame. The sandwich was perfectly fried chicken meat, delicious coleslaw for some creaminess, bacon jam for some sweetness, all on a brioche bun to tie it together. I love it so much. It was definitely quite messy, so I ate it with a fork & a knife, but it worked out so well! I'm still thinking about this sandwich to be quite honest! This might be a little TMI, but after eating the sandwich I went to this event that required me to wear a face mask for several more hours & I could smell the flavors of this sandwich on my breath in my mask & it just reminded me of how good this sandwich was & how I wished I was still eating it LOL.Anyways...I HIGHLY RECOMMEND! :D"
