date,rating,review
3/20/2022,5 star rating,"Whenever I go home to Detroit this is a spot I like to visit.  This place is very nice and laid back as soon as you walk through in they greet you. Nice older crowd good music playing in the background.  Nice date spot also.  Drinks and food definitely on point. I have done a brunch and dinner.  Wing are nice and crunchy,  the green and Mac and cheese was okay,  but they had more options.  You just want to kick and enjoy good company good spot to visit."
9/30/2021,3 star rating,Catfish was good. The chicken needed flavor as well as the macaroni and cheese and yams
12/4/2021,5 star rating,I was visiting from Maryland and went to a birthday party at this restaurant. The food was outstanding!  It was delivered hot and seasoned very well. I didn't need any salt and pepper and felt like I was eating a dinner made by my mother!  The bartenders were attentive and I will definitely visit this place when I come back to Detroit!!
12/12/2020,4 star rating,Was more than happy to support a local business that is able to operate during COVID. My cousins and I ordered carry out from them. I had the Cajun Salmon with Mac & Cheese and Yams. My cousins had Chicken Stirfry and Grilled Ribeye with Loaded Mash and Mac & Cheese. We were very pleased with our meals. Everything was flavorful and well prepared. The only downside was not being able to have the complete experience in the bar itself.
2/5/2019,4 star rating,"I love it when a pro chef (OCC Culinary grad) has the confidence and budget to open a restaurant in a deserving and underserved neighborhood.I visited for lunch.  Not very busy, but I was hardly alone.  I took a seat at the lengthy bar with two others.  Tez was working bar and greeted me promptly with a welcome, water and menu. The lunch menu is typical bar food with a few surprises -  the catfish sandwich is a welcome surprise.  Plenty of salads. The half-pound burger is Angus ... and it is what I ordered.It is a pleasure whenever I order a ""medium"" burger and the kitchen delivers a properly cooked and seasoned burger on a grilled bun with fresh, crisp lettuce an damn fine slice of (winter) tomato.  I would have preferred a bit more sear on the patty and a second slice of cheddar. The fries were expertly prepared and served hot, crisp ... and not over-salted. The dinner menu looks much more interesting and includes lamb.  I will return.The venue has been professionally renovated. The furnishings are new, the restroom was clean, the parking is fenced and the WiFi is both free and fast.The neighborhood? Not the best; so the front door is secured by an electronic lock.  Tez buzzed me in about three seconds after I rang the bell."
8/14/2021,5 star rating,I love this place food is delicious and always made to order! The drinks are strong and it's black owned! The only downfall is that the food takes a minute to arrive! Nice atmosphere and friendly staff!
2/7/2019,4 star rating,"From the moment I walked in Fusion's had a welcome to our world. Chicken wings plain, grilled chicken breast, greens with onion & tomatoes, 1 mac & cheese and great dirty fusion martini.Tez & Larry thank you..."
12/9/2019,3 star rating,Fusion Flare I s an ok spot. It's local and looks nice on the inside. A bit pricey for the portions but hey I won't complain. Check it out you just might like it.
1/27/2020,5 star rating,"OMG! discovered this little hidden gem after church  on Sunday. It's tucked away on the west side of Detroit. They have full bar service and amazing food. The staff were friendly and efficient. I had the shrimp grits w/ scrambled eggs. We ordered the basket of wings, fried catfish and French toast. DE-LICIOUS!!!! Good, homemade cooking delicious. You'll see by my clean plate pic. Do yourself a favor and check them out."
9/21/2020,5 star rating,"Very friendly staff, good food, chicken seasoned to perfection! Clean atmosphere, I have visited before and after COVID. Staff is still welcoming and precautious. Highly recommended...."
10/16/2019,5 star rating,"This restaurant is definitely a GEM  They brought a sit down restaurant to an area that did not have one for over 20 years. Thank you for building up Detroit!I came with my mother and we both had the Lamb Chop Dinner with 2 sides. The Lamb Chomps were cooked to perfection, we ordered them Medium. Staff was very professional and polite and the Bartender Lexi made amazing cocktails  The owner greeted us and made sure our food was to our liking. I rated this restaurant with a 5 star rating for Food, service, cleanliness, and an overall amazing experience. I will definitely return and tell others."
6/25/2020,5 star rating,"Picked up lunch from here today and it wasDelicious. First of all, the food was hot and fresh. My wife asked me to make I tell the world that her onion rings were ""the best onion rings I have ever had!""  The fries were also super tasty. My wife got catfish and grits which she loved. I had a fried chicken sandwich which was excellent. Highly recommend."
