date,rating,review
6/3/2022,5 star rating,The BBQ tofu sandwich is amazing!! I do wish it was vegan though. They do have a good amount of vegan options.  The dine in is all tented and you order at the front and get a number and sit at your table.
11/18/2021,5 star rating,The food is great. I love all the vegan options on the menu. The tofu sandwich's are amazing! Midtown and Corktown both have different ones both equally amazing. The kitchen is quick so you get your food fast.
5/21/2022,5 star rating,My son recommended several items. I do not have the menu items memorized - I know one was a Pho dish with chicken - and it was excellent. The other was a dish with thicker noodles and pork which I loved!  I was able to get takeaway twice and I will go back. Highly recommend. Friendly good service as well!
4/24/2022,2 star rating,I've wanted to go here since they opened. We finally made it for lunch today. I was underwhelmed. I ordered the Tori Paitan Ramen with chicken and found it quite tasteless and was quite out off by the lunch meat. My partner had the Seafood Kimchi Ramen and he liked it very much. I tried his and found it quite tasty.
4/3/2022,4 star rating,"Super friendly staff, cool vibe and delicious comfort food for a chilly night... stopped in for dinner with some colleagues while in town on business... the food was great... very flavorful and priced right! We loved sitting in the enclosed outdoor space, complete with disco ball. I was so in the mood for a big bowl of ramen and this did not disappoint... I could barely make a dent in it! I'll definitely go back next time I'm in town! Stop in and go hungry!"
3/30/2022,5 star rating,"Friendly staff, great food This place never misses. Affordable A must stop for ramen in Detroit"
3/11/2022,3 star rating,"I don't feel like this is a very fair review as this place and the food just wasn't for me (or my friend). We were headed to the Fisher Theatre on Super Bowl Sunday to see a show. Little did we know, the place we intended to eat at was closed for a staff party. So was another restaurant we tried to visit. We begin to get desperate for food as we were hungry and didn't have much time before the show. Ima is a small place with tent type dining only. There were heaters running that evening but I was still chilly. I think the atmosphere would be a lot more fun on a warm day. Parking is street metered parking only but it was free on Sunday. I had no clue what to order because this was my first experience with Japanese food. I ordered what I thought was safest - Chicken Pho. But it was not my cup of tea. I ate as much as I could, but after a while I just couldn't stomach it anymore. This could be some of the best Japanese around but you'll have to count me out!"
3/10/2022,5 star rating,"Wow! We finally got to try ima & I am so happy with the experience! The patio is the ""dine-in"" area, so be prepared to dress for the weather. Patio dining in March at ima didn't even phase me! The delicious warm beef pho kept me warm the entire time! The portions were large, I even had a nice bowl of leftovers to savor later that evening. We started with a sparking blood orange San Pellegrino & a bowl of nicely seasoned edamame. Delicious! My daughter ordered the tofu pho- it looked amazing & the tofu was presented beautifully rested atop the perfectly cooked bowl of goodness. The curry udon looked amazing! I must get that dish the next time I come to ima noodles! I'm already looking forward to the next visit."
2/27/2022,4 star rating,"Really nice place to stop in for something warm when you're in the downtown Detroit area! Very friendly, great service and good portions!"
2/13/2022,3 star rating,"Star- for seating and ambianceStar- friendly serviceStar- pricing and portion sizeDishes are hit or miss depending on your orderI have been to ima before at another location and enjoyed the experience. I would say if you're into the udon noodle scene and try a broth base you would likely enjoy it more than ordering just the buttered noodle. The yaki udon noodles is what I had this go around and did not enjoy it, it had a bit of a fishy smell, likely because of the seaweed. All their udon noodle dishes have some form of seaweed base which the chef informed us about later on.If you want to be adventurous I would recommend this , its a hit or miss depending on the dish you order but the ambiance is amazing especially with the disco ball. We went around 8pm in mid February and were seated quickly in this outdoor heated tent which had a very cool vibe!"
2/12/2022,5 star rating,Tonight was my first time at ima. It's 10 pm on a Saturday and they're playing all the hits from the 80's! Lionel Ritchie and Michael Jackson. Great vibe. I got the yaki udon and would rank it as one best noodle dishes I've ever had. The pork belly will melt in your mouth.
2/10/2022,5 star rating,"The food here is great! I always order from doordash because of the pandemic, but the food always arrives tasty and hot. Probably some of the best ramen I've had in a long time, and they're great at seasoning the meat. The noodles are just the right consistency and the pot stickers are just as good as they look on the menu."
2/9/2022,4 star rating,Great take on Asian fusion food. Good food for a good price. Kudos to the chefs !!!!!
1/20/2022,4 star rating,"The noodles here are pretty good. I like the clams for an appetizer. The service is hit or miss though. I have been at times and gotten attentive staff then other times I've gotten a server that was very off. However, the quality of the food has been consistent. The bao burgers are also a favorite of mine. The noodles depend on what you are in the mood for. Personally I like the seafood soup with kimchi. You don't get that much of a variety in the seafood but the quality is good."
1/14/2022,5 star rating,"This place is a MUST try! I loved the esthetic of the place and the workers were so friendly. We got the steamed edamame which were so flavorful and the shrimp & scallion dumplings were perfect with the chili-black vinegar sauce. The beef pho was to dieeee for, I was craving some good pho and this did it for me. Tasted so fresh and was served right away piping hot. I will definitely be back again!"
1/9/2022,5 star rating,"This place had the absolute best Pho I have ever had from New Jersey, to Maryland, to Michigan! The broth was one of a kind and delicious, along with a unique and tasty edamame and kimshi! 5 Stars!!!!!"
1/9/2022,5 star rating,This restaurant was great! The food was delicious and the drinks were good! I got the Boombap with roasted tofu. For my drink I got the Nigori Sake and plum wine. Mixed together it's really good! I was very satisfied with everything. My partner got the Yaki Udon with  sesame chicken. For his drink he got the patio punch. He loved everything which is rare. I might've liked his food more than mine.! It was soooo good. The service was good and they have heaters. I would like to come back here and highly recommend it.
