date,rating,review
6/11/2022,1 star rating,"If I could leave 0 stars I would, I sat in here waiting on a takeout order for an hour only to be told they don't know how much longer it would be. The ladies applying her eyelashes at the front desk while people are waiting. Still never got my food had to be refunded and did not receive my tip back or any further compensation for my time wasted or the money I used to park for an hour. ABSOLUTE TRASH!!"
6/2/2022,3 star rating,First time visiting since they relocated from around the corner. At the previous location the fried chicken wings were crispy and delicious. That has not changed. The wings are tasty and excellent. I also had the gumbo with the buttered rice on the side. The rice was delicious. I cannot recommend the gumbo. I'd avoid it. Also had the buttermilk biscuit. Avoid that also. It was hard and tough. My guest had scrambled eggs which were fluffy and the spicy sausage which were thoroughly enjoyed.
5/24/2022,5 star rating,We loved the food I had some   and they were . I also went again and had the shrimp & salmon  Omelet. Which was also good. I added American cheese. That was a no no.But it was still delicious!We support Black Owned businesses!Keep up the the good food and great staff!
5/17/2022,3 star rating,I recently have been ordering from this place quite often and have recommended it to friends and strangers because I really like it...but my past couple of orders have been missing items and the customer service I received on one order was terrible. I know as humans we are bound to error but please don't make this a normal.
5/8/2022,5 star rating,"The food was delicious!  I had chicken and a waffle, and the waffle was fluffy, and tasty.  The chicken wings were seasoned well and very good.  I highly recommend this restaurant.  The place is always packed with people waiting in line, in the vestibule, or outside the door, and now I know why.  This was me and my husband's first time eating here as we were in from out of town for the weekend.  We tried to go back on Sunday but the wait was so long that they weren't even taking more names."
5/7/2022,2 star rating,"So my husband and I went for are Foodie trip to Detroit to try something new and stopped at Joe Louis Southern Kitchen.  We looked at the menu prior to going and was impressed by what we saw.  We had a 45 minute wait which wasn't bad for early Saturday afternoon.  The decor was very unique and enjoyable. Unfortunately, we were disappointed with what we selected. I ordered the Catfish and Gumbo. The catfish had decent flavor but had thick and very hard crust.  The gumbo was the worst. It looked like chicken and rice soup swimming in greasy butter.  I tried stirring it to get to the goodness but didn't work.  I only was able to eat half because my stomach began feeling upset from the grease.  The 2 stars are for the decor and the service.  The wait staff was very friendly.  Maybe it was a bad day and just what we ordered but I will not be returning."
5/6/2022,5 star rating,"This place is super cute AND it is black owned. It gives a classic, old school vibe which I absolutely loved. The restrooms are also very cutesie. I tend to never get juice/soda at restaurants but the option of strawberry orange juice peaked my interest and it was yum!Our waitress was very knowledgeable of the menu, prompt, and offered honest feedback and recommendations, which we truly appreciated. My main dish was the unique Southern Cobbler French Toast . I have never seen this on any brunch/breakfast restaurant menu that I have been to. It was definitely a pleasant, tasty first experience. WITHOUT syrup, these French toast were BOMB... now just take a moment to imagine it WITH syrup. Lol. I also had the seafood omelette (side note: it is definitely not called that on the menu). I think this was also my first time having a seafood styled omelette. My taste buds had to get acclimated to the blends, however, with each bite it got more scrumptious and more scrumptious. The potatoes were also a hit too. If ever in the city and area, I would definitely recommend you stop by and try them out."
5/6/2022,2 star rating,"The ambiance and decor is nice with a homey comfortable feeling but the food is not all that great. We arrived here in a party of two people around 10:00a or so and yes there is a awaiting list and line. We waited around 45 mins to be seated. Yes, there is parking on the street where we did run out of time and received a ticket, so get more than ample time on the meter. We were finally seated our waitress was efficient but not really welcoming. I ordered the shrimp and grits, something about the after taste on the sausages didn't set well with me. The grits were kinda thick and stiff and the dish didn't have a good taste overall. Orange juice was orange juice. I was looking forward to this being a great meal. The person I was with ordered the fish and grits and they said it wasn't great either. Both of us left food on the table. Maybe if I go back again I'll have a better experience."
5/1/2022,5 star rating,Amazing ambiance. Service was prompt and the food... wooooooThe banana fosters french toast is a winner!!!
4/26/2022,3 star rating,"Went on a Sunday was advised it was a 1-1:30 hour wait for 2 ppl which was fine gave the host my number for the list. 5 mins later I notice I never received a text indicating I was put on the list so I went and asked the host was I suppose to get a text she said no, you'll only get a text when the table is ready. After 45 mins went and checked she said it was still a wait after a hour and 30 mins past I asked her again. She had never put my name on the list but immediately sat us after I said something. Food was good however the process of actually being sat was not such a good experience"
4/19/2022,4 star rating,"The ambiance is really nice & the food is reasonably priced. My complaint is only with the service. As good as the food was, it came luke warm like it had been sitting & not delivered to us once it was ready. There were many other instances where there were issues with the service we received & the frequent delays from our waitress which further explains why our food came warm."
5/24/2022,5 star rating,We loved the food I had some   and they were . I also went again and had the shrimp & salmon  Omelet. Which was also good. I added American cheese. That was a no no.But it was still delicious!We support Black Owned businesses!Keep up the the good food and great staff!
6/2/2022,3 star rating,First time visiting since they relocated from around the corner. At the previous location the fried chicken wings were crispy and delicious. That has not changed. The wings are tasty and excellent. I also had the gumbo with the buttered rice on the side. The rice was delicious. I cannot recommend the gumbo. I'd avoid it. Also had the buttermilk biscuit. Avoid that also. It was hard and tough. My guest had scrambled eggs which were fluffy and the spicy sausage which were thoroughly enjoyed.
