date,rating,review
4/23/2022,3 star rating,"My husband and I visited 4/22/22 based on a recommendation. We called in for reservations and were easily accommodated, though the reservations really weren't needed at 3pm as there was less than 20 patrons upon our arrival. We were greeted and seated quickly and our server was really sweet. She was attentive and We appreciated it. Our appetizer of fried shrimp was okay. I like home style cornmeal and flour batter etc... but these were like beer battered cod etc but it wasn't bad. My husband had the burger but stated it was not really good, he's not one to complain much or waste so he ate it anyway lol. I had the chicken Alfredo Cajun style and it was good. As a suggestion, I think they should serve a garlic toast or knot with that particular entree. Overall, we had a good  time there for an early dinner. The ambiance and decor were cool, I'd assume it's a jumping spot on evenings and weekends. Last but not least cheers to the bartender who made a darn great top shelf Long Island!"
3/21/2022,2 star rating,"The curb appeal is lovely. The website offered Doordash direct. I used their website ordered and paid for my food. Drove to the location in route to work where I was told ""we don't do doordash, our doordash is down"" when I showed proff of payment I was told to request a refund because ""we out of turkey chops anyway."" Mind you I am headed to a 12 hour shift and I planned on having this meal for lunch. But the worse thing is that the man speaking to me was rude and borderline angry he offered no solution other than get my money refunded. No, anything else I could get you. Is there something else on the menu we could prepare...nothing. SAD."
3/6/2022,2 star rating,"Well, there's a lot to be desired but not fulfilled here. We anticipated and had high hopes. They went unfulfilled. We ordered 2 16oz Ribeyes that contained a good 4-5oz fat/gristle. They were not charred-grilled; they were flattop griddled with tomatoes on top. What?! No grilled onions. No mushrooms. Just very unsatisfactory at a whopping $55 a piece. No sides with the steak. Everything was all carte. So we ordered sautéed broccoli. So blahzé and luke- warm. We ordered garlic parmesan fries. We sent them back to be redone because they were over cooked. The waiter said, they would come out the same because of the grease. We had them taken off the bill. The Sloppy potatoes were just, blah. They were supposed to be topped with cheese, onions and peppers, but everything was underneath the potatoes. The whipped butter didn't even melt on them because they were cold. The reason they got two stars was because M-Dot tried to make it right by giving us a discount and a free drink. I appreciate that. Service was slow because the hostess was waiting tables. There weren't enough wait staff. I forgot that reservations were required but they use a service that never confirmed our reservation. My husband slipped M-Dot a $20 to get us seated, even though there were empty tables. ‍ Unbelievable, but true. Save your money and eat at home."
2/25/2022,1 star rating,"I should have read Yelp reviews before we committed! Quick review: Over-priced, poor drinks, sloppy dishes- and not in a good way, not clean behind the bar. Detailed Review: We went in on a Sunday evening as a party of 3. We sat at the bar. The decor seemed nice enough but there were enough red flags before we even ordered that should have made us walk right back out the door but I was determined to support this neighborhood business. There were wait stations in full view that were junky and unkempt and sitting at the bar, there was a sour smell that lead us to believe they were not cleaning behind the bar well. The bartender took our drink orders. Two of us ordered a Sloppy Old Fashion, which was featured on their drink specials menu. We received two bottom-shelf apple martinis. The bartender was so nice, I didn't have the heart to tell her. Nevertheless, those poor drinks were $12 a piece. My best friend opted for water after our disappointing round. Our second round of drinks were just as bad; a glass of vinegary tasting wine and a bottle of skunky Michelob Ultra. For dinner, we ordered lamb chops. My fiancé and I split an order and my BFF ordered her own. We ordered our chops medium; they came back well. Dinner tasted ok but I could have done better myself. The bill came and I almost fell off the stool! $170 which included a $26 tip...for a party of 3...at the bar! We won't be back and Sloppy Crab is off the table as well."
2/21/2022,5 star rating,"The food is delicious, each bite the food was better and better! A true hidden gem!  Service was amazing the server had us laughing every time she stopped and helped!"
1/30/2022,4 star rating,"Food delicious,  drinks okay,  wait for food loonnnggggg, people cool,  wait staff and manager really nice and personable"
1/20/2022,3 star rating,"This is a hidden gem. It is best to make a reservation in advance because the place was packed when we went. The ambiance is great they have an open kitchen you can see the food being made while h I love. The macaroni and cheese earned the title ""best mac n cheese."" It was delicious and the price wasn't bad at all. To be honest if I'm in the mood for food I would order just the mac n cheese and some drinks. The filet was over cooked so I wasn't impressed with it at all. I like my steak medium so to me it was like eating tough rubber. The seasoning wasn't impressive either. I did enjoy the surf n turf pasta. Just the pasta part though. Again the meat was g impressive. We ordered a bottle of wine and a few drinks. I did enjoy the patron margarita. I think I would give this spot another shot. I hope the cooks were having an off day because other than the steak not being good the rest was great."
1/12/2022,2 star rating,"I went twice. 1st time was cool but the 2nd time was super awful. Very disappointed that my experience was terrible from the hostess, food, not cheap, etc. Took over an hour to get food & part of our order was cold. Had to wait another 40 minutes. I always support these type of businesses, but im not going back."
1/8/2022,2 star rating,"The restaraunt is cute ,bathroom was pretty and clean but that's it! No heat, no customer service unbelievable. The waitress (Betheny) waited a party of 12 ppl by herself, no help from other employees not even the lady who said she was the manager of the restaraunt. I never been to an establishment where the manager did not pitch in to help . The air blowed the entire time and then one emoloyee started twerking he also said he was the manager, wow! We arrived here at 8pm with reservations and its 10p no food yet and they close at 10p. However, the rest of the staff ate their food and had drinks at the bar while we continued to wait for our food,  Make this make sense! I really wanted to rate this place higher to support Black owned business but I couldnt. Black business owners we have to do better. I don't care who own a business but customer service is ESSENTIAL! I guess customer service doesn't matter at this place because they automatically get 18% gratuity off every bill no matter the party size. Maybe we came on wrong day but it wasnt busy when we arrived."
12/7/2021,5 star rating,Let me first say I suck for not taking a pic of the food but hopefully others will come through. I couldn't let my picture skills or lack thereof prevent me from leaving a POSITIVE review of this establishment. Great adult beverages at a reasonable price. Friendly people and great service. Clean! Nice ambience and lighting. No super loud music where you needed or yell over one another. Open view of the kitchen...cause they know y'all funny actin and wanna see what's happening behind the curtain. And last but not least the food was really really good! Mac and cheese tastes like HOME! So nice to be able to support an establishment in the community that is clearly showing pride in their vision and showcasing their craft. Cannot wait to come go back!
8/17/2021,4 star rating,"Amazing!!!!!!!! I came to visit Detroit and this was one of the places I saw on the news that interest me. The food looked good and it was an area of town that I would not normally visit. When I called prior to arrival I was told a reservation was not needed so that made me feel good. We got there at around 630pm.  They close at 9 pm to be aware of the time.  The downfall is they are located on a corner and there is no actual parking lot so you will need to park on the street.  When we walked in we were seated in like ten minutes which was great. I was hungry so getting seated was important. Lol when seated it took over ten minutes fir someone to greet me but I'm hungry and patient. I looked at the menu prior so I knew I had to try the lamb chops.  What the waitress didn't say was that the lamp chops come with a small portion of mashed potatoes under it.  There is NO need to order another alacarte side of mashed potatoes. (FYI). Be ready to spend because everything is alacarte with an automatic gratuity included.   My friend ordered the pork chops and honey.......Amazing!!!!!!  The sweet potatoe casserole was good I don't think I liked the Mac and cheese.  I didn't drink this time cause I was so hungry but the drink combinations looked worth trying. Overall when I visit again I plan to come back and try something different. Service was good, food was amazing just just the parking could be an issue if a very busy day.  Give it a try it's wS worth the hype."
10/16/2021,5 star rating,Bethany and the General manager made you feel very comfortable and I felt welcomed! It was my birthday they provided me with this rich cheesecake it was soooo good! When in town I'll be back!!
2/21/2022,5 star rating,"The food is delicious, each bite the food was better and better! A true hidden gem!  Service was amazing the server had us laughing every time she stopped and helped!"
6/11/2021,4 star rating,Flew in to Detroit from Philly to dine in at the Sloppy Chops restaurant for dinner. I enjoyed the food however the waitress was forgetful about things which probably due to her having multiple tables to service. The food was good. I had the Veggie Spring rolls for an appetizer which was VERY good. For my entree I had the Blackened Salmon Pasta. I loved the Black owned Establishment. I would dine here again
1/12/2022,2 star rating,"I went twice. 1st time was cool but the 2nd time was super awful. Very disappointed that my experience was terrible from the hostess, food, not cheap, etc. Took over an hour to get food & part of our order was cold. Had to wait another 40 minutes. I always support these type of businesses, but im not going back."
9/7/2020,1 star rating,"Disgusting and overhyped. I can't trust you if you fuck up alfredo. The chefs clearly don't give a fuck about what they put out.Extremely bland, took one bite and trashed it.The sauce is definitely not from scratch and as a Chef, I was PISSED."
3/21/2022,2 star rating,"The curb appeal is lovely. The website offered Doordash direct. I used their website ordered and paid for my food. Drove to the location in route to work where I was told ""we don't do doordash, our doordash is down"" when I showed proff of payment I was told to request a refund because ""we out of turkey chops anyway."" Mind you I am headed to a 12 hour shift and I planned on having this meal for lunch. But the worse thing is that the man speaking to me was rude and borderline angry he offered no solution other than get my money refunded. No, anything else I could get you. Is there something else on the menu we could prepare...nothing. SAD."
7/19/2021,4 star rating,I really enjoyed my dining experience at Sloppy Chops!! The food was great and I really enjoy the Strawberry Hennessy!!! I would definitely go back and ask for my Phenomenal and very personable waiter Jason!!! Thanks again for excellent service!!!
4/27/2021,5 star rating,"I really enjoyed my visit at this restaurant. Everything was perfect  ; the service, food, and drinks were excellent. Even the bathroom was clean and modern. I would highly recommend this place. It feels great to get a great meal without driving out the city."
10/24/2021,2 star rating,The menu is alocart I'm not a fan of the options there was a long wait time and there is no order there I'm not sure who is in charge then the police came while I was there it was a uncomfortable environment for me
9/5/2021,3 star rating,"The strawberry cheesecake was AMAZING! I don't eat cheesecake, I wanted Seconds! I have been plotting and planning to visit this establishment since I came across it on Facebook a year or so ago. Went last Sunday. Made Reservations, arrived on time. Just Excited....... Only to leave Disappointed.  $55 for lamb chops Kool okay but naw chewy, burnt. I was holding my lamb chop and due to the bone being cooked more then the meat it broke right out my hand. The macaroni and cheese. I need who ever is cooking this to just STOP! I can come and teach on how to make a great Mac ! Green beans fresh but no flavor , I think they were supposed to have garlic butter but Nope. SweetMash potatoes was Stringy ! Like come ON. I also got the Salmon Cooked perfectly YET no SEASONING!! If the pineapple wasn't on my plate , there wouldn't have been any flavor. Customer service was good, manager was great.  I will try it again Only because , it could have been a bad night . Shit happens. But I've had better lamb chops from home cooks that sell dinners out the kitchen."
3/13/2021,2 star rating,I got a pasta from there. It was flavorful but the whipping cream could've been whipped a little better. It was VERY thick! Other than that it was ok. It was brought to me so I can't tell you if it was worth the $ but I wouldn't pay over $12-$15 for it.
9/8/2021,4 star rating,"Fine dining in the ""hood"" and the presentation is nice. No parking lot. You can park on 6 mile or the side street. Twin lobster tower looked amazing. The asparagus was great. It had a nice Parmesan sauce and wasn't over cooked. Lamb chops were delicious. And served on top of mashed potatoes. The smothered potatoes were the only dish that I can complain about. The drinks from the bar were good. The strawberry Hennessy was really good."
