name,display_name,categories,display_categories,description,address,phone,website,source,latitude,longitude,yelp_alias,yelp_api,yelp_id
27th street bakery,27th Street Bakery,Restaurants,Restaurants,,"2700 S Central Ave Los Angeles, CA 90011",323-233-3469,https://27thstreetbakery.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.01746,-118.25507,27th-street-bakery-los-angeles,true,9OKF6HVQp1TMkqf6syqZ1g
2nd healthy eatery,2nd Healthy Eatery,Restaurants,Restaurants,,"16203 Clark Ave Ste A Bellflower, CA 90706",562-281-9374,https://www.2ndhealthyeatery.com/home,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.88690295,-118.1342814,2nd-healthy-eatery-bellflower,true,m37pGf1rWwXmxvOHabR9Ug
3stakx kitchen,3Stakxs Kitchen,Restaurants,Restaurants,,"675 E University Dr Carson, CA 90746",,https://www.3stakxkitchen.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.831868,-118.28539,3stakxs-kitchen-carson,true,K-qfSrTOp3gXdBFPwbbCuA
5 star kitchen,5 Star Kitchen,Restaurants,Restaurants,,"2205 W Vernon Ave Los Angeles, CA 90008",323-316-8576,https://www.yelp.com/biz/5-star-kitchen,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.00382,-118.31775,5-star-kitchen-los-angeles,true,Z78z-cVDpkd4kn0aNmnnUQ
a beautiful life,abeautifullife jamaican cafe,Restaurants,Restaurants,,"216 S Spring St Los Angeles, CA 90012",213-972-9900,https://www.abeautifullifecafe.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.051078,-118.2459968,abeautifullife-jamaican-cafe-los-angeles,true,wDCB-CyI07fux_Bm93ejSQ
ackee bamboo,Ackee Bamboo Jamaican Cuisine,Restaurants,Restaurants,"Ackee Bamboo, 4305 Degnan Blvd. #100, Los Angeles, (323) 295-7275, ackeebamboojacuisine.com","4305 Degnan Blvd Ste 100 Los Angeles, CA 90008",323-295-7275,http://ackeebamboojacuisine.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.00574,-118.33183,ackee-bamboo-jamaican-cuisine-los-angeles,true,fDIERa8MupwJMTJ97upAPg
adams coffee shop,Adams Coffee Shop,Restaurants,Restaurants,,"5357 W Adams Blvd Los Angeles, CA 90016",,https://www.altaadams.com/new-page-3,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0326313,-118.3600423,adams-coffee-shop-los-angeles,true,XZwQtJ7A40OnN6j_L1qXUg
aduke nigerian cuisine,Aduke Nigerian Cuisine,Restaurants,Restaurants,,"1117 W Manchester Blvd Ste C Inglewood, CA 90301",213-261-0737,https://aduke-african-cuisne.business.site/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.960264,-118.3758422,aduke-nigerian-cuisine-inglewood-3,true,yjw63KRuSdCzMwyslNT5lA
airport royal cuisine,Airport Royal Cuisine,Restaurants,Restaurants,,"4956 West Century Blvd Ste 10B Inglewood, CA 90304",562-413-2294,https://www.yelp.com/biz/airport-royal-cuisine,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.94497,-118.36508,airport-royal-cuisine-inglewood,true,z-ov7rYczq0WmZ4xJWULyw
alex's fish market,Alex Fish Market,Restaurants,Restaurants,,"1451 W Martin Luther King Jr Blvd Los Angeles, CA 90062",323-298-4515,https://www.yelp.com/biz/alex-fish-market,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0110817,-118.3020248,alex-fish-market-los-angeles,true,16mqeTDSlhnWBnevNNibbg
