date,converted_date,rating,average,review
3/19/2010,20100319,4,4.0,"Already famous with a strong Farmer's Market following... COBBLERMANIA now has a stand that is open daily from 2-7 on the corner of Le Brea and Venice!!! My darling beloved stopped on his way home from work today to buy me a peach cobbler and so inspired me to put my love to words and write this review. The cobbler is delicious and sweetened with agava. That's as healthy as it gets while still being sweet, right?? The crusts are flaky and buttery and the fruit is plump and tender. Eat some cobbler... like they say ""its so good you'll want to slap somebody"""
4/6/2010,20100406,2,3.0,"As a peach cobbler lover, I was thoroughly disappointed in the entire cobbler. I really wanted to love and support this company, but it wasn't good at all. It did not have a homemade flaky crust that I love. I was excited about the strawberry peach cobbler but it didn't live up to the hype from the young lady that sold it to me. It tasted generic and bland."
5/1/2010,20100501,4,3.33,"They also have a stand at the Farmer's Market in Torrance (Wilson Park) ! I went with my dad and my boyfriend. My bf loves pies so I bought him one. The story of the young woman also inspired me, I love to support small businesses and she seemed genuine. We could not wait to take the pie home, heat it in the oven and eat it! It was delicious! The only part my bf was disappointed was there was alot of fruit juice a the bottom and he likes his pies a bit crispier. But it was very fresh and great for vegans! Will we buy another pie?! Absolutely."
5/4/2010,20100504,5,3.75,Loved the peach cobbler I purchased at the Culver City farmers' market. I am a sweet-a-holic and a baked goods appreciator and I found the crust delicious and the fruit fresh. Can't wait to stop by at their permanent stand at Venice & La Brea on the way home someday and get dessert! NOTE: The map on this page at posting date is incorrect. As far as I know they don't have a stand at Sunset. Check out the northeast corner of Venice and La Brea for Cobblermania.
5/10/2010,20100510,5,4.0,"I'd encountered Cobblermania at a few art fairs over the years and it was always a special treat. It is just outrageously good cobbler. Their sign says it's so good you'll want to slap somebody and that's about right.In the last few months, they've been at the downtown farmer's market at BOFA Plaza on Fridays. So now I have regular access to the cobbler and I'm afraid to bring it back to the office because I don't want to incite workplace violence."
6/4/2010,20100604,5,4.17,"I've been driving by Cobblermania for the last few months, but always after they were closed, until yesterday! I had the pleasure of chatting with the owner (one of the sweetest women I've ever met) and the even greater pleasure of two of the best cobblers I've ever had in my entire life. Seriously. These were no joke, agave sweetened, delicious, delectable treats. I bought two to take home to my girlfriends family and they were gone within the hour."
6/26/2010,20100626,5,4.29,"You must try these VEGAN cobblers. I've had the peach so far and absolutely enjoyed it. Not too sweet - no butter or dairy - AND agave is used instead of refined sugar.Can you believe it??They have strange business hours, but you can catch them at various farmer's markets and other events. You can also call them to place a special order.Super nice people running the operation so check them out!"
7/5/2010,20100705,5,4.38,The cobblers are delicious and there are a large variety of them. We tried the apple-blackberry. Thumbs up! The woman who runs the place is really sweet too.
8/6/2010,20100806,4,4.33,"My brother told me about Cobblermania so I went looking for it yesterday. When I got to the corner of Venice and La Brea I saw a small little building with some signs. So I guess it's more like a cobbler stand. I was on foot so it was easier for me to find but if you're driving by it and you see a gas station, a taco bell, and a mechanic place, you're there. It's on the NE corner.I talked to the lady operating the stand and she said they opened in November of 2009 and have been selling at farmer's markets and she's really hoping that word of mouth gets people out to the stand. It's hard to start a business in this economy so I'm really rooting for them. Go out and support these folks! Maybe it's not the usual neighborhood you'd go to and maybe buying cobblers from a stand seems odd to you but put your preconceptions to the side and give them a chance. Let's support the little guy who is just trying to put their love of cobblers out there!Now to the cobblers! They were having a special of 2 for $10 so I got the white peach and the apple-strawberry cobbler. They said they're still trying to figure out how to price them so prices are subject to change. Of the two, the apple-strawberry was the hit! So, so good. The peach was good too but it just didn't stand up to the awesomeness of strawberries with apples. That's just my personal preference.I'm excited to go back and try other flavors. I've never had rhubarb so I'm eager to try that one. Oh and the sweet potato sounds like magic so that's next on my list. Oh yes, and they are vegan. Really, VEGAN? Yes! And no, vegan doesn't mean tasteless cardboard. Baking is all chemistry so there are things you can do to still get great taste without animal products.So if you see them at a farmer's market or you see their stand, give them a chance."
8/14/2010,20100814,5,4.4,"We went right before they closed, and got a strawberry rhubarb cobbler and a sweet potato cobbler. Both were amazing! The woman at the stand was super-friendly and enthusiastic, and she was incredibly patient when we took at least seven minutes to decide what cobblers we wanted. We had a TON of cobbler left over, and it was just as delicious the next day. To be honest, I didn't even know it was vegan until I came on here to review it. It certainly doesn't taste like anything was left out or substituted. And it's true, it was so good we (wanted to) slap somebody. Definitely coming back, with more people. Must try all the cobblers."
