date,converted_date,rating,average,review
7/2/2010,20100702,5,5.0,"This business only serves snowballs.I first heard about this place from word of mouth but I took about three months before I actually stopped in. Now I zip by there at least twice, maybe three times a week. It's that good!New Orleans Snoballs are melt in your mouth delicious! Plus, there's no yucky aftertaste from the syrup which many other shaved ice vendors have. This place offers over 12 flavors to choose from. My favors are Tropical punch and Hawaiian.It's located on the corner of Slauson and Overhill."
7/2/2010,20100702,5,5.0,"This business only serves snowballs.I first heard about this place from word of mouth but I took about three months before I actually stopped in. Now I zip by there at least twice, maybe three times a week. It's that good!New Orleans Snoballs are melt in your mouth delicious! Plus, there's no yucky aftertaste from the syrup which many other shaved ice vendors have. This place offers over 12 flavors to choose from. My favors are Tropical punch and Hawaiian.It's located on the corner of Slauson and Overhill."
12/27/2010,20101227,5,5.0,it is as good as it gets in L.A with these snowballs... i had to get a group of friends together to go try these because i wanted people to believe how great they are here. First of all the owner gave us mardi gra beads as we walked in that was fun they have like 100 flavor or you can get eerrrrrrrrrrrrrrrrrrthing as it says on the menu...i went for the og strawberry and o my does it taste like strawberry every flavor was its own truly something to try in the summer o and must muss must must put vanilla ice cream in the cup first then the snow ball it is out of these world good you have to try it first before you say no!
12/27/2010,20101227,5,5.0,it is as good as it gets in L.A with these snowballs... i had to get a group of friends together to go try these because i wanted people to believe how great they are here. First of all the owner gave us mardi gra beads as we walked in that was fun they have like 100 flavor or you can get eerrrrrrrrrrrrrrrrrrthing as it says on the menu...i went for the og strawberry and o my does it taste like strawberry every flavor was its own truly something to try in the summer o and must muss must must put vanilla ice cream in the cup first then the snow ball it is out of these world good you have to try it first before you say no!
5/9/2011,20110509,5,5.0,"I have only tried the funnel cake so far, but delicious and perfectly made. I will be back to try every flavor of sno ball. This will take a while because the list is long, but they deserve every visit and penny."
5/9/2011,20110509,5,5.0,"I have only tried the funnel cake so far, but delicious and perfectly made. I will be back to try every flavor of sno ball. This will take a while because the list is long, but they deserve every visit and penny."
5/15/2011,20110515,5,5.0,"I usually go here on hot days, its amazing. Try the pineapple coconut flavor its amazing. Whenever you are in this area give it a shot!:-D"
5/15/2011,20110515,5,5.0,"I usually go here on hot days, its amazing. Try the pineapple coconut flavor its amazing. Whenever you are in this area give it a shot!:-D"
5/26/2011,20110526,4,4.89,"I am a transplant from Louisiana and one of my favorite things when I go home is a snowball (totally different from shaved ice) When I saw this place I thought I had died and gone to heaven. I was giddy all day becuase I was able to indulge in one of my favorite yummy treats. I got the ice cream flavor snowball with extra cream (condensed milk) As I am writing this , I am craving another one now. Next time I will try the funnel cake."
5/26/2011,20110526,4,4.8,"I am a transplant from Louisiana and one of my favorite things when I go home is a snowball (totally different from shaved ice) When I saw this place I thought I had died and gone to heaven. I was giddy all day becuase I was able to indulge in one of my favorite yummy treats. I got the ice cream flavor snowball with extra cream (condensed milk) As I am writing this , I am craving another one now. Next time I will try the funnel cake."
7/6/2011,20110706,5,4.82,"This place really needs more reviews! There's so many flavors it takes me forever to figure out what I want. Snoballs are the perfect treat for a hot day and the line is usually out the door when it's super hot. I've never tried anything else besides the snoballs, but I've heard other things are good too."
7/10/2011,20110710,4,4.75,"Mmmmmm, good stuff.  Even just the plain ice is yummy..."
8/22/2011,20110822,5,4.77,"This place gets five stars from me, I absolutely love funnel cake and couldn't believe a place right up the street from me was selling them. You can smell the sweet aroma from the parking lot. They were so tasty,and the snoballs looked delicious as well, I have yet to try them. I never write reviews so this place is petty special for me to take the time out to write one"
9/11/2011,20110911,4,4.71,"I love their snowballs! Sooo yummy! They let you mix flavors and you can even add ice cream to it. My favorite combination is cherry and tigers blood. They usually use way too much syrup which I'm not a fan of. But it's perfect for the sugar craver :)The guys that work here are always friendly and efficient. Their tip jar is a always pretty empty so tip em.I'd give them 5 stars but I've been here several times when their ""snow"" or ice cream machines are broken. So either you can't get a snowball at all that trip or you can't have it New Orleans style.I've yet to try any of their other treats but they look and smell good. They've finally expanded their hours which makes me happy. Parking is never a problem."
12/13/2011,20111213,5,4.73,"Its already been said, once u have a snow ball a snow cone wont cut it, its amazing. very soft and just sweet. I have tried their funnel cake and it was out of this world. My only complaint, and i doubt it even counts is that they close early for me, 7. That's just us however since we want a snowball late at night sometimes XD"
1/7/2012,20120107,4,4.69,Staff very friendly and kind and cute. Got a small 3 buck snow which was so good. Sat outside on the bench and ate it! I will return
7/9/2012,20120709,5,4.71,This place is AWESOME!!!! I have been looking for a snowball stand for a while now. My family and I use to go all the time when i lived in Louisiana... Keep up the great work. wishing this place all the sucess in the world...
7/29/2012,20120729,5,4.72,"Awesome. Would be a great snowball stand even in New Orleans.It would make a killing close to the beach in Santa Monica / Venice, but it's definitely worth the drive."
8/13/2012,20120813,5,4.74,Delicious! Delicious! Delicious! The ice is so soft and the flavors are good and yummy! Great place and the young eye candy isnt so bad either!
8/25/2012,20120825,4,4.7,Love the New Orleans style snowballs. I was just wondering if this place was still open or not? I drove past there a little over a week ago and it was closed. My cousin told me that she also hasn't seen it open when she goes by. I wish people would get together their business hours!
10/2/2012,20121002,5,4.71,"I used to think the guys who bike around with their block of ice making raspados were delicious. Boy, I was wrong!Ever since I tried this place out, courtesy of my sister/fellow yelper Zochi F. I fell in love with this place!With this never-ending heatwave this place is a must if you want to cool off with soft shaved ice. It's not rough or chunks of ice like the street vendors in the hood. It's really delicate that will immediately melt. I usually get green apple, watermelon and cotton candy which satisfies my sweet tooth. They also have a ton of other flavors that a street vendor would never think of.Trust me, you won't be disappointed!"
10/29/2012,20121029,5,4.73,"I absolutely LOVE this place. I hate that it's so far from my home but every time I'm near I make it a point to visit. On Sundays after church they are ALWAYS busy, but the quality of service and hard work of the young men to be pleasurable at all times makes it well worth it. I love the new Orleans style. OMG!!! If you have never been you MUST visit!"
11/10/2012,20121110,5,4.74,"SPECTACULAR SERVICE!I'm originally from the south (Texas to be exact), so little stands for Snow cones (AKA Snowballs) are on every other block. I am soooooo elated I found this place. It reminds me of home on a hot summer day.The fact that snow cone places are abundant back home $3.50 to $4 is reasonable for a large anything more would be considered outright crazy. Here it's $6. But hey, what can you do? Its the only place I know in LA that makes snow cones the RIGHT WAY! Soft soft soft ICE.The service here is GREAT!!!! Every single person that works here is always smiling and very friendly. I come here one to three times a week and I have never had a bad experience. They deserve tips. Sitting here writing this makes me want one now. If I lived one mile closer to this place I would probably come everyday. (Except for snow days, rain days and holidays........ well possibly holidays)."
12/7/2012,20121207,3,4.67,A-OK.They make shaved ice with flavored syrup. I don't think you can mess this one up. I did like that you can get froyo under your sugar ice. I guess I'd like it more if i liked eating pure sugar.
1/5/2013,20130105,5,4.68,"Great New Orleans style snoballs!!! Great gumbo!!!!!! Very tasty ice cream in the stuffed snoball.It's so nice to have a taste of home so close. Snoballs are really hard to find in LA.And the guy working the counter, Jason, was very friendly and professional.My only disappointment is they don't have chocolate syrup for the snoballs (or any cream flavors). This is a staple for stands in New Orleans and has always been my favorite. I'm hoping they work that out. In any case, the cinnamon is quite yummy."
1/24/2013,20130124,4,4.65,Really nice guys that run this place!!! :-) The menu is huge...I didn't know there were so many flavor choices for sno-cones or sno-balls.
3/15/2013,20130315,4,4.63,Great service and fabulous Sno Balls!!!!!!!Highly recommend this spot for a treat
7/4/2013,20130704,4,4.61,Venue : they are clean but small esp parking. Price : It's reasonable for the quality/tasteVarieties/Flavors : Great selection.. Can match up to 3 flavors. You can also add condensed milk or make it into the New orleans Style Sno Balls (with ice cream)Taste : awesome.. Must try!Will we go back? Definitely yes!
10/11/2013,20131011,4,4.59,"THE GOOD, THE BAD, AND THE UGLY The good thing: The Snoballs are just as I remember them to be; I'm a New Orleans native, born and raised. Snoballs are a highlight to my childhood. The prices are a bit higher than they are in New Orleans, I'm guessing because it's something different out here. A medium, in New Orleans would be $1.75, and $4.00 in LA. Which is no big deal, I still will visit often!The bad: The first time I came around, there was a guy working alone who seemed to be very professional and did an exceptional job with my order. Of course it's 'only' shaved ice and syrup. However, If the person making the Snoball isn't mindful of what they're doing the results can be dry and hard sections of flavorless ice. The shaved-ice needs to be drenched in the syrup to have it's best outcome, otherwise there's nothing to enjoy, just... Ice. I've been consuming Snoballs since age 4, I know when it's not made correctly. So... (before I make my official statement let me just say, it's not the prayoduct or location, but rather the individuals who were assigned to work this particular shift)I go in October 10th 2013 (3-5pm). The experience was much different from my initial visit; Extremely loud music playing by two guys chattering with their friends in the lot outside of the bldg (Music is blasting on what looked to be a surround sound speaker sitting on a top shelf) as if their Mother is out of town and the place is to themselves. Guy (Purple T-shirt) walks in as if im 'interrupting the flow' (ummm, you're at work'?) He asked what my order would be, I ordered. The other guy jets back out to the lot to 'hang out' eith whoever was in the black car parked in the parking lot. The guy that's making my order had 'ants in his pants' throughout the process so he could dart back to the parking lot where all the interest was at. When he handed the Snoball to me it was done a little too quick; it's a fast process but THIS was REALLY fast!. I left and realized 10 mins into eating that there's hardly any syrup in the cup; one part had none at all (just fluorescent white ice) I was PISSED OFF!!! I just paid $4 for a cup of dry ice. Mind you, I DO NOT LIVE CLOSE BY. I made my way over there with purpose, to get my favorite treat and THIS happends. I did my besy to NOT pre-judge the situation while walking in, but it was EXACTLY what I expected; Unprofessional and subpar, as soon as I heard the loud music and saw two young guys (mid 20's) darting in and out of the building I already knew what time it was. I did not go back and assert them because at this point I was HEATED. I knew by how they were conducting business it could possibly escalate into something completely unnecessary. So I continued home. I shpuld not have to to go back and complain about a cup with shaved ice and syrup that's so simple to make. Its not that difficult, it takes less than 3 minutes to hold a cup under a machine, collect the ice and drizzle syrup inbetween the ice until its done. How impossible could it be? I don't understand!!! The machine is doing all the work!!! All u have to do is dispense syrup from a bottle. I would be considered 'too harsh', 'cruel' or 'wrong' if I went back and addressed the issue even though my complaint was valid! They would've had attitudes, but im the one who's psychotic or confrontational had I gone back. Had they been less concerned with what was going on outside, my order couldve been completed the proper way. All I wanted was a medium snoball and only 1 basic flavor, that's it. Why must it be so difficult to walk-in, get a Snoball and leave? Dont come to work if youre not going to fall into form. If youre reading this, YOU KNOW EXACTLY WHO YOU ARE (purple t-shirt, basketball shorts and flip flops)"
10/17/2013,20131017,4,4.57,"These snoballs were gooood.. Filled with flavor yet not too sweet. If there is only one guy working, it may take a while if there are others in front of you, however it was worth the wait."
10/21/2013,20131021,5,4.58,"Friendly staff, and a wonderful treat to have with our good LA weather. Also I like supporting family owned businesses."
11/3/2013,20131103,3,4.53,"New Orleans it ain't, coz I've had the best there :)But, since it's hard to drive 1500 miles to the Crescent City, these guys will have to do. Nice people running the place, lots of flavors and choices.Sugar rush, here we go ..."
11/20/2013,20131120,5,4.55,"Through natural selection (I promise I tried to control it) I wandered from one eatery to another (yeah yeah there's only 2, but this place carries Gumbo on Sundays so they qualify) in this tiny, overpopulated, corner of the Earth. Hey works for me less walking means less chance of quickly burn off any heart attack chances (did I type that?) I mean calories. Anyway - this place has some good a$$ simple syrupy type sno cones. And yes...you just read all of that to find out they're amazing. Sachi House and Simply Wholesome reviews coming one day. You know I've burned this little 3 corner food area up."
12/29/2013,20131229,4,4.53,"Probably the best shaved ice, snoball, whatever you want to call it I have found in LA. Fair price, good toppings, and its kind of got a fun little vibe, always lots of activity and people milling about. I dig it."
1/18/2014,20140118,5,4.54,"I really like this place. I've been here many times but I wish they closed much later. Would be a great dessert place after going out to dinner. I think sometimes they close at 6:00 pm. My nephew got ""Evvvvvverything"".. all the flavors and with Condensed Milk drizzled on top. I have to say it was really good.The owner is really nice as well. Great customer service. The staff here are also very patient. I'm was super happy to see that they added funnel cakes. Yay!Their soft serve ice cream cone is definitely more wholesome than McDonald's"
1/21/2014,20140121,5,4.56,So good! And they're my go to place for helping me get over hangovers! Especialy when there is gumbo available too! OMG! **air hug**
1/31/2014,20140131,5,4.57,First timers to Snoballs. We let Jason hook us up w/ custom concoctions. Amazing and yes add the ice-cream! This place is really special. Came across it while we were killing time and ended up killing a couple of medium Snoballs. No problem. We will be back for the large ones soon! Thanks Jason!
2/4/2014,20140204,5,4.58,"Delicious!!!! Funnel cake heaven with homemade soft serve ice cream and strawberries!!!! Yummilicious!!!! Could become my next obsession! The sno balls are sensational! It's flavored snow!!! Soooo many flavors to choose from, I must same them ALL!!! Courteous service, wonderful desserts! I can say no more!"
2/25/2014,20140225,5,4.59,"OMG AMAZEBALLSi love when i can get treats in my own backyard while supporting local mom and pop businessesthere are so many choices that i had to ""woo sah"" just to decide..... but i digress !!i purchased a small which was three dollars & the flavors i picked were : hurricane, pineapple & tropical punch . it was ssssooo good ; & it never got watery even down to the last sip it was sweet ! i loved the mix i made but as soon as i get another sunny day i plan on going back & putting together a different mixture so that i can taste a variety of flavors PLUS they have funnel cakes so i will DEFINITELY be back.customer service was AWESOME."
4/20/2014,20140420,5,4.6,"Being from L.A I've passed this place a trillion times . I finally sucked it up and decided to try . That was the BEST decision I EVER made !!! I usually go to Get Shaved Ice but there is no competition when it comes to this place and their funnel cakes ! They offer a variety of flavors , funnel cakes with all the fixings , homemade ice cream and gumbo ! Sometimes the line is long , but I promise you it is worth the wait . Don't be afraid to drop a tip in the jar because the two handsome men work hard to get those orders up and running . Long story short .... This place is AMAZING, and you MUST give it a try ! U will not be disappointed !"
5/8/2014,20140508,5,4.61,"Amazeballs, literally! I crave this place. The menu is ridiculous, serving sizes are impressive, and the server was cool too. Mmm, too far away but gotta go back soon!"
5/17/2014,20140517,5,4.62,"Went to get snow ice yesterday but they had ran out of ice.. that must mean business was booming. The young employee came outside and ensured me that if I return tomorrow there will be ice. Well I did. Today we bought the yummiest flavored ice. . This was the most tastiest shaved ice in the world. The ice was so fine that it melted in my mouth. They had a lot of flavors to choose from. I got the pineapple, mango, watermelon flavor. The best ever!!!!!I will return.. This place exceeded my expectations"
5/30/2014,20140530,4,4.6,"Finally got my funnel cake fix. Taste was excellent, can't beat a fresh from the stove funnel cake. Got sugar & strawberries to top off the funnel cake. Friendly guys with great service. One of them actually got my trash out of the way seeing how i was looking for a trash bin even though he was on the phone."
6/3/2014,20140603,5,4.61,I found this amazing place because of my amazing friend. She mentioned it briefly and I said let's go right now! All the staff was nice here. It had a super good vibe.Only bummer is they have NOTHING sugar free!!!!  I don't think I will be coming here often because of it. The sugar content is so high. Although it was a nice treat and super refreshing I hope they can offer sugar free options for the diabetics out there.
6/12/2014,20140612,5,4.62,I can't believe this place has been around for 8 years and I've never seen it. They have the most amazing coconut shaved ice!!!!
6/15/2014,20140615,2,4.57,"I have had real Sno Balls from NOLA... this just doesn't cut it... Too much Syrup in the Sno Balls so it sometimes take away from the ice... just cold Syrup.. but I guess if you have never Had a real one.. you will say... ""Ahh Man this is the Shizzzzzz""The Homemade Ice Cream well...................... I miss Quick and Split"
6/17/2014,20140617,4,4.55,"I really like the concept and flavor of this phone booth size store producing big flavor that's delicious! I have drove by this place hundreds of times and have seen a line around the corner several times, and what I know about LA people is that will not enjoy a line unless it's worth it. So, I wanted to stop in after 2 years and see what they hype is about and I was blown away how something like shaved ice could be heavenly! Moreover, they have a huge flavor list and you can choose 3 floors to add. Furthermore, I picked tropical punch, bubblegum, and watermelon. Finally, I will be back a lot as it warms up outside! Keep up the great work!"
7/12/2014,20140712,3,4.52,"New Orleans Snoballs is 3.5-star proof that Ice Dreams do come true in the Bayou ... thanks to fluffy & light Shaved Ice with sweeter-than-sweet Syrups and Old-fashioned Soft Serve. This isn't an old-school Sno-Cone or Hawaiian Shave Ice. It's Nawlins-style Shave Ice with Vanilla Ice Cream in the middle ($0.75 extra).With over 40 flavors of syrups available, good luck choosing just three for your own Icesterpiece. The line was long, so, I had plenty of time to mix 'n match flavors in my mind before settling on a Medium ($4) Blue Raspberry, Dreamsicle, and Mardis Gras King Cake. My biggest advice is to ask the Ice Masters behind the counter to go light on the syrup because it was soooo syrupy and sweet. I quickly dug down to the Vanilla Ice Cream and let the flavors mingle. Of course, the perfect Snoball (or Snowball) should be 72.2% Shaved Ice, 15.2% Soft Serve Ice Cream, and 12.4% Flavored-Syrup, of which 4.2% is Fruity.In addition, to Snoballs, Funnel Cakes are available for $6 with optional Ice Cream or Strawberries add-ons for a $1 extra. I got a 3-star regular Funnel Cake generously-dusted with Powdered Sugar. I know, I know ... I didn't need all those extra calories and sugar. Just let me destroy the insulin-producing beta cells in my pancreas in peace, will ya?Here's a quick guide to your own Snoballcalypse: $3 Small $4 Medium $6 Large $10 Big EasyAdd $0.75 for New Orleans-style with Old-fashioned Soft Serve ... Choose 3 Flavors if you got game - Nectar - Pink Lemonade - Sour Apple - Pina Colada - Hawaiian - Mango - Raspberry - Margarita - Coconut - Black Cherry - Strawberry - Sour Cherry - Rum - Tigers Blood - Orange - Lemon Lime - Fuzzy Navel - Tropical Punch - Cinnamon - Cotton Candy - Wedding Cake - Kiwi - Mardi Gras King Cake - Bahama Mama - Root Beer - Egg Custard - Vanilla - Pear - Bubble Gum - Watermelon - Peach - Blue Raspberry - Pina Colada - Banana - Polar Punch - Strawberry Daiquiri - Pineapple - Grape - Strawberry Cheesecake - Praline - Dreamsicle - Hurricane - Cherry - Spearmint"
7/26/2014,20140726,5,4.53,I think I love this place more than my kids. I get a diff flavor everytime this week blackcherry cherry n blueberry very good. When I have gone there is a crowd but they keep the line moving. No complaints.
8/4/2014,20140804,5,4.54,I LOOOOOOOVE Sno-Balls. Go there almost daily!!!!
8/12/2014,20140812,4,4.53,"I decided to try this place simply because I missed the fair and was craving funnel cake. Boy am I glad I that did!! the funnel cake was perfect. It was fresh out of the oil but not oily , crunchy on the outside, soft on the inside and because it was so fresh the powder sugar began to make a sort of icing! I will most definitely be returning."
8/23/2014,20140823,5,4.54,"Love supporting Black businesses!! It's the way to go! Will be back! Great atmosphere, great flavors and taste is off the chain.Get it with condensed MILK and ICE CREAM...soooo good!!"
8/30/2014,20140830,5,4.55,"After the amazing experience of getting a poboy next door, the only way to really finish off this West Coast Nawlins experience is to get a Snoball. And yes, they're made correctly. Man, how have I never been here before?? I got half with coconut and half with pineapple. Yum!!"
8/30/2014,20140830,5,4.56,"After the amazing experience of getting a poboy next door, the only way to really finish off this West Coast Nawlins experience is to get a Snoball. And yes, they're made correctly. Man, how have I never been here before?? I got half with coconut and half with pineapple. Yum!!"
9/9/2014,20140909,1,4.49,"LISTEN UP.....STICK TO RITA'S for authentic shaved ice. Rita's has much better selection and delicious custard. This place sucks. I had to return two snowballs due to too much syrup, Funnel was ok at best.....Stick to 6 flags funnel cake..."
9/9/2014,20140909,1,4.43,"LISTEN UP.....STICK TO RITA'S for authentic shaved ice. Rita's has much better selection and delicious custard. This place sucks. I had to return two snowballs due to too much syrup, Funnel was ok at best.....Stick to 6 flags funnel cake..."
9/9/2014,20140909,5,4.44,"The funnel cake I had from here was very delightful, they charge a extra dollar for the strawberry topping but it was super worth it. As for the snowball I got: pineapple flavor, it was good but after the fourth spoon full it became way too sweet and gave me a headache so I suggest everyone to stick with the small cup. The staff was nice and fast!"
9/9/2014,20140909,5,4.45,"The funnel cake I had from here was very delightful, they charge a extra dollar for the strawberry topping but it was super worth it. As for the snowball I got: pineapple flavor, it was good but after the fourth spoon full it became way too sweet and gave me a headache so I suggest everyone to stick with the small cup. The staff was nice and fast!"
9/16/2014,20140916,5,4.46,"I'll start off by saying this place is perfect for this weather. This place is so fun and the staff are so friendly and kind. They make my children laugh every time we come. It may take awhile to get you snoball, but its definitely worth the wait."
9/16/2014,20140916,5,4.47,"I'll start off by saying this place is perfect for this weather. This place is so fun and the staff are so friendly and kind. They make my children laugh every time we come. It may take awhile to get you snoball, but its definitely worth the wait."
10/26/2014,20141026,5,4.48,"Love it. Cinnamon, vanilla + condensed milk. Taste like horchata. Greatness in a cup. They have about a million different flavor you can combine. You can also add-on items like condensed milk, ice cream, etc. They also serve funnel cakes and gumbo. A must visit in LA."
10/26/2014,20141026,5,4.48,"Love it. Cinnamon, vanilla + condensed milk. Taste like horchata. Greatness in a cup. They have about a million different flavor you can combine. You can also add-on items like condensed milk, ice cream, etc. They also serve funnel cakes and gumbo. A must visit in LA."
11/1/2014,20141101,5,4.49,Pina coloda new Orleans style and with sweet n condensed milk is really good I'm hooked on these snow balls and there funnel cakes r so much better then the fair that's for sure!!!!!
11/1/2014,20141101,5,4.5,Pina coloda new Orleans style and with sweet n condensed milk is really good I'm hooked on these snow balls and there funnel cakes r so much better then the fair that's for sure!!!!!
11/3/2014,20141103,5,4.51,"This place is the bomb. Has so many flavors you can mix and match. Funnel cakes are AWESOME!!! Don't believe me, try it for yourself."
11/3/2014,20141103,5,4.52,"This place is the bomb. Has so many flavors you can mix and match. Funnel cakes are AWESOME!!! Don't believe me, try it for yourself."
11/16/2014,20141116,4,4.51,"They have tons of flavors. They call it snow balls, I call it raspados. Totally hit the spot. They also have funnel cakes and for some reason they also sell gumbo, odd but I'll try it out next time im there.There's plenty of parking with a couple other restaurants in that plaza. They're open everyday, which is great."
11/16/2014,20141116,4,4.5,"They have tons of flavors. They call it snow balls, I call it raspados. Totally hit the spot. They also have funnel cakes and for some reason they also sell gumbo, odd but I'll try it out next time im there.There's plenty of parking with a couple other restaurants in that plaza. They're open everyday, which is great."
11/16/2014,20141116,5,4.51,Grew a quick obsession with this place....there's a ridiculous amount of selections and not only is everyone working there kind but they are really helpful. Highly recommend adding ice cream to the middle of your shaved ice. I've been told that condensed milk also makes the experience great. I'll never look at shaved ice the same again.
11/16/2014,20141116,5,4.51,Grew a quick obsession with this place....there's a ridiculous amount of selections and not only is everyone working there kind but they are really helpful. Highly recommend adding ice cream to the middle of your shaved ice. I've been told that condensed milk also makes the experience great. I'll never look at shaved ice the same again.
11/19/2014,20141119,4,4.51,"The snoballs here are really tasty. I always get Root Beer, Vanilla, homemade ice cream, AND condensed milk. My coworkers and I finally tried this place during the extreme heat this past summer, and we've been hooked ever since. I like supporting family-owned businesses, and any place that gives young people in the community an opportunity to work."
1/15/2015,20150115,4,4.5,"Good sno cones. You can pick from 4 sizes and mix 3 flavors of your choice. They have 30+ flavors so choose wisely. You can also get the sno cone New Orleans style with ice cream on the bottom. A sweet tooths delight. They also have funnel cakes for $6. You can get a slew of toppings like cinnamon sugar, powdered sugar, chocolate, caramel, whipped cream for free or premium toppings like ice cream or strawberries for $1 extra. They also serve gumbo from Thursday to Sunday and its not made with pork so that's great to me. I'll try it someday because of that fact. Go to place for nice cheap and tasty dessert if it's hot, you're in the area or don't want to go to an amusement park or East LA for a funnel cake. Enjoy."
1/22/2015,20150122,4,4.49,"I have passed by this place frequently and didn't think they sold funnel cakes. As a dessert fiend I knew I had to try their funnel cake. My close friend lives nearby so we made our way to Snoballs.The employee there was on a personal phone call during our entire ordering process. He didn't get off the phone until more customers came in after us. I found that a bit unprofessional. Besides that hiccup,everything else was great. For $8 we got a funnel cake with all the fixings. A way better deal compared to carnivals and amusement parks. The funnel cake was so rich. The strawberries tasted fresh. I'm glad I shared the funnel because it was filling. Since funnel cakes are so heavy it's not a dessert I would eat frequently but whenever I'm ever in the mood for one I will venture to Snoballs for it."
2/7/2015,20150207,5,4.5,"Gotta love snow balls! They have the best flavors here, when my little sister comes down for the weekend this is our first stop."
2/12/2015,20150212,5,4.51,I have to say their funnel cakes are just simply the best. I have to give 5 stars for quality and price. I haven't tried their snow cones yet. I will probably only stick to the funnel because the portion is generous and it's shareable.
3/14/2015,20150314,5,4.51,"By far, the best funnel cake I have ever tasted! I intended to capture a picture of my funnel cake topped with vanilla soft serve, but... It's all gone! It was amazing! Eat dinner before dessert; life is not promised."
4/2/2015,20150402,5,4.52,"I am a Fan, yes I love this place, my love affair began when they first opened and served soft serve Yogurt, however I still go there even tho they don't serve Yogurt, they now serve soft serve ice cream and that works for me as well.The employees are nice and friendly and they give ample portions of ice cream and shaved ice with lots of syrup, more than any other place I have been.During the cold weather the lines are not as long, however a it gets hot prepare Yo Self for a line, not a real serious line, however there is usually a wait.There's a lot of good things to say about this place, however the Down side is that it is located on Slauson which is a Crazy Busy Street and parking is a bit of an issue, they have a parking lot but it is shared with Orleans and York, Wings N Greens and Sir Charles or George Cleaners.A lot going on for all of those busy businesses and parking on Slauson is very limited.This is LA and there are tons of people so you wait where ever you go, so you kinda get used to waiting on everything, every where.Not a problem if you want it!For me it's worth the wait!"
5/3/2015,20150503,3,4.5,"More of a 3.5 star review.Great funnel cakes (wish they had fresh strawberries though).Good, but overpriced gumbo due to the little meat and fish and mostly rice and broth I received. Still, I will definitely come back when I am in the mood for a funnel cake and don't want to go all the way to a theme park to have one."
6/1/2015,20150601,5,4.51,"First time here n loving it I've only tried the funnel cake, but looking forward to returning to try something new, or just for a delicious funnel cake. Don't forget to add ice cream for a dollar more. I highly recommend this place"
6/25/2015,20150625,3,4.49,"The snoball was good, but the customer service was horrible. When I was in there the guy that was working the register seemed to be having a really bad day. First he didn't acknowledge anyone that was in there until he completed what he was doing. When he did come to the register he ask if he could take our order. Not hello, hi, welcome or anything to that nature. This was my first visit and probably my last, due to his lack of customer service. If this is read, I was in on June 24, 2015 in the evening. Maybe this will help with speaking to him about his service skills."
7/3/2015,20150703,5,4.49,I this place.. My family has been customers since they've opened.. Tigers Blood with Ice Cream in the middle is my fav
7/6/2015,20150706,5,4.5,"We sought this place out on our way home from a long weekend simply because they have the flavor my husband wanted (spearmint). This is a small business with great options. They make them New Orleans style if you want too (with a scoop of vanilla ice cream)!We each had a snoball with varying flavors. My son had bubblegum and my daughter had strawberry. The shaved ice is shaved fine and it's almost smooth. I decided to get fuzzy navel made New Orleans style and it was delicious. Their homemade vanilla ice cream they put in it was spot on. My husband got the spearmint made New Orleans style and had his summer quest to find this flavor satisfied!They had other items on the menu besides snoballs like funnel cakes with lots of topping options, vanilla frozen yogurt oh and you could add sweetened condensed milk to the top of your snoball too!It was delicious and we knew it was a good find when there was a line of locals out the door!"
7/6/2015,20150706,5,4.51,"I have been on a mission. A mission with the same intensity as a pregnant woman. I needed a spearmint flavored shaved ice/sno-ball. I looked far and wide, first in my town, Bakersfield. No luck. Then, I decided to scour Yelp before our vacation to Legoland. I found nothing near Carlsbad, Oceanside, or Orange County. I found a place in Los Angeles, but after calling that day, I found out they no longer had that flavor (the pic I saw on Yelp was 2 years old). Then, I found another place, New Orleans Snoballs. After calling and confirming, they did, for sure, HAVE MY FLAVOR. When we arrived there was a long line, on a rather cool July day. That was a good sign in my eyes.They offer many flavors of snoballs/shaved ice. The ice was very fine, which I love. They were also very generous with the flavor. They also have an add on, called New Orleans Style, where they add a scoop of soft serve ice cream to your snowball. I was curious, so I tried it. It was great. You can choose to have this ice cream on the bottom, in the middle, or on top. I chose the middle. It did not melt and was a great addition to the snoball. I would recommend this place to anyone who likes snoballs/shaved ice. If that's not your style, you can also get a cone of vanilla soft serve or a funnel cake."
7/9/2015,20150709,5,4.51,"Wasn't expecting it to be so delicious!! You have never had a snow cone until you had one there The favors were great...sour apple, sour cherry, and blue raspberry ummmm mmmm"
7/31/2015,20150731,5,4.52,yum! my personal favorite it blue raspberry and sour apple. tastes like the blue-green Fun Dip :)
