date,rating,review
5/3/2022,5 star rating,"I love this place so much!! It's embarrassing how many times I've come to visit, but this is literally my new sweet spot!! I get the strawberry watermelon apple combo everytime. Doesn't let me down. I'll stop everytime I pass by!!"
5/21/2022,5 star rating,"Oh My GOODNESS!  I was at EEEEEATSCON in Santa Monica at the Barker Hanger this afternoon when I saw this LONG line to something called Happy Ice! My friend told me she had to have some as it was DELICIOUS.  I was stuffed and did not want to eat anything else.  Since she drove I had to stand in line with her.  She also wanted to see if the owner was there as she's been trying to get in contact with him to see if they'd come to the City of Santa Monica's JUNETEENTH Celebration, on June 18th!  As my friend and her 10 year old son discussed what they were gonna have, I still wasn't gonna get anything.   As I watched the people in front of me eyes roll back in their heads as they dig in with their first bites, I was like okay maybe I'll get a small one.  Now I had to choose three flavors......choices!  I chose Watermelon/ Strawberry/ Mango. Let me tell you that the small isn't SMALL!  It's a pretty decent size serving.  I dug in and oh yeah my body started doing the happy dance.  This flavored frozen desert was DELICIOUS!  I was savoring EVERY bite.....As people were looking at me contemplating if they should get in the long line.  I told them don't sleep on this HEAVENLY HAPPY TREAT!  I told them the line moves quickly and it will be worth the wait!I hope they are coming to the Juneteenth celebration!  I can't wait to have some more!"
5/9/2022,5 star rating,"Happy Ice has the most delicious and original dessert/ice cream in Los Angeles. I got the Happy Ice Time Bomb - it's vegan ice cream and shaved ice or something like that. It's really refreshing and not super sweet. I heard there is a secret sauce for its delicious flavors. If you are on Melrose Ave, you have to stop in. The prices are reasonable, about $7 per cup - well worth it. Lemeir Mitchell's owner is a good guy and all about excellent customer satisfaction - being happy - putting smiles on faces. Lastly, I love the colors; it's bright and welcoming. It definitely deserves five stars. Enjoy peace/loveBe A Proud American"
4/17/2022,5 star rating,Absolutely love the inside of the store it's picture perfect and colorful. The girl at the window was super bubbly and very helpful when asked about flavors. The service was fast & easy. The happy ice is sizes are more then enough. My family and I got the regular which was beyond filling and the flavors we got were DELICIOUS. Highly recommend and it's black owned which we love.
6/1/2022,5 star rating,Awhhhh what a lovely dessert place. I randomly came across this place and I'm really happy I did! For $6/bowl there is a hefty amount of this... sorbet? Soft serve? Shave ice? I'm not even sure what this count as lol. It's almost like a soft but shaved icey kind of popsicle if you could imagine that kind of texture. I got the Founder which tasted like one of those rocket pops i reallyyyy liked it. My partner got the summertime and his was superrrr great too. I highly highly recommend giving this place a visit!
4/22/2022,5 star rating,"It's not often I'm on this side of town but it was time for my hair to be trimmed. I've visited the Happy Ice tuck in Compton before but never the actual store. Since I was already on Melrose I decided to walk over.  It was so cute and inviting, I got a regular time machine imagine a big stick popsicle in a cup  . Service was good and fast, there is about 2-3 small tables inside  where you could ""dine in"" per say but at the time of my visit they were occupied. I left Happy  as I strolled down Melrose scoping out new brunch spots I'd like to try and sight seeing with my cup of delicious Happy Ice."
6/13/2022,4 star rating,"A great refreshing treat on a hot day! The flavor combinations are great and surprisingly it is quite filling. Unless you are starving a regular size is plenty. Tried most of the flavors, cherry, mango, pineapple, lemon, blueberry and they are all great and pair well together. There is not really any seating so prepare to stand outside or walk with your treat."
6/1/2022,5 star rating,I treat my pregnant self to a delicious cup once a month when getting my nails done on melrose ! The staff is always happy and helpful because I always try to try a new flavor . KeepUp the great work
1/22/2022,5 star rating,"My kid singing "" happy ice happy ice "" the ENTIRE BIKE RIDE TO HAPPY ICE! Very annoying but she KNEW something I didn't. Philly water ice I've always wanted to try from watching parking wars on TV and hearing about it! Never did I imagine as we pulled up to the store front, that it would be my lucky day! People waiting outside for the place to open, yes ITS THAT POPULAR! Friendly staff, delicious water ice! Much needed in that particular stuffy too packed full of people neighborhood. Just so happened to catch them Sunday at smorgasbord and the lineWas long. Brought a friend to their booth and made her buy one! The owner, my guy! Sooooo so friendly ! Thank you Lemeir for even wanting her opinion as judging by the line we all know your water ice ROCKS!!"
1/18/2022,5 star rating,"I am HOOOOKED!!!The ""ice cream"" is so yummy & the staff members are so friendly. We visited the stand at a DTLA weekend food festival event and they were the best ones there!!Can't wait to try their original locations & more flavors! So gooood!!!"
