date,converted_date,rating,average,review
8/23/2015,20150823,5,5.0,"I have been using Earlez Grille to cater parties between 15 - 1500 people at my house and my childrens' schools for well more than a decade. They are my Go To Caterer for fun Events, no matter what the occasion. I have used them for Business Meetings, Bar Mitzvahs, Back To School BBQs, and -- believe it or not -- Wine Tastings. Earlez has that magic combination of the three essential things in a Perfect Caterer: (1) Delicious Food (and a Menu with enough variety to please Vegetarians as well as meat lovers); (2) Extremely reasonable (I would say ""inexpensive"" but then they might raise them) prices; and (3) Impeccable Service! It is a trinity of delight!Do not hesitate to have Earlez Grille cater your next Party or Event. They come out to set up, they look great and serve neatly, then when they are gone the next day, you cannot even tell they were there (well, except for that warm satisfied feeling in your belly from some incredibly tasty vittles!)."
1/20/2017,20170120,5,5.0,"Went to the Soft Opening, and I can say THEY ARE BACK. The Hot Dogs were as good as I remember. Service was excellent. I had a slight wait for my food and Earle gave me a free drink. It's great to see customer service like that in the community. Highly recommend! Pinks, Who?"
1/20/2017,20170120,3,4.33,"Happy to see Earlez back!!!! But no tamales- a little disappointed. The great thing was that Earle actually explained why, very nicely!I hope they will still have the old school coffee cake - my bad I forgot to ask Despite no tamales I will be back"
1/24/2017,20170124,5,4.5,"Turkey dog on point. Love the fries and the chili!! I get the chicken link, no bun butterfly...a beef chili bowl with pico de gallo pickles and jalapeño. Honey punch is legit.Loved this joint when it was a baby!! Now We doing it big!! Awesome service.Awesome people. Thanks earle!"
1/25/2017,20170125,5,4.6,Limited menu? No problem!! I'm just happy they are back on the map.. I've been craving a chicken link and their fat seasoned fries for wayyyyy to long and finally my wish came true!! I love the build your dog concept!! As for my chicken link? Yumminess to the 10th power!!!! Lol....Thank you Earle's for such great food and customer service. LOVE the new spot!!! ;))
1/28/2017,20170128,4,4.5,Came here because the vegan chili dog and it did not disappoint.  Hot dogs have been one of the things I missed when I quit eating meat. Nice to have some place local where I can get a good vegan one.  #GetVeganCheese
1/28/2017,20170128,5,4.57,"I love this family as I have known them since a child. Always delicious food coming from this place and even the catering is just perfect! I recommend the chili cheese fries, meat patties, playaz punch, and the beef dogs. Great to see Earles Grille back in the neighborhood!"
1/29/2017,20170129,5,4.62,Best in the west!!!! Good to have you back. Rembering when you started with a hot dog cart. The chicken link so bomb!! Excellent service and very clean!!!
2/1/2017,20170201,5,4.67,I wish I could give this place a TEN STAR RATING!!! I love this place!!!! Customer service by the employees and owners is FANTASTIC!! The chicken links are like nothing I've ever had!!! The vegan chili a WINNER!!! Do not forget to have the PLAYA PLAYA PUNCH!! Delicious!!
2/2/2017,20170202,5,4.7,"delicious! half of our group opted for vegan/vegetarian (we added cheese) and half of the group ate the beef chili dogs. we also got the chili fries (both beef and vegan) everyone was happy and the service was so friendly. everyone who works there is incredibly warm and mr. earle himself stopped by to chat and shared the story of his business with us. i'd not been here before it re-opened but, given the line i saw and the conversations i heard while i was there, i can tell that they've been missed. it's super difficult to find tasty vegan hot dog/chili dogs (and especially a place that offers both meat and veg options) but this place has selected some fantastic ingredients and the build your own hot dog method ensures that you get everything that you want on it. can't wait to explore the expanded menu!"
2/6/2017,20170206,4,4.64,"We are so happy to find a vegetarian/vegan offering near to Expo West. Thank you for re-opening Earle's. Chili dogs! Vegan or non....Currently the menu is simple and the hours are limited Tue - Sat, but the dogs are great for meat eaters and non-meat eaters alike. Give them a try."
2/7/2017,20170207,5,4.67,Hey this was my 1st time here and it was really good. I had the chili cheese dog with some chili cheese fries and let's not forget the drink players punch bomb!
2/7/2017,20170207,4,4.62,They are back in business! I've been patiently waiting for years. Unfortunately the menu is much smaller and so are the veggie dogs. Why did they shrink so much. The veggie chili is still amazing though. This place still hits the spot.
2/12/2017,20170212,4,4.57,"After closing down the location on Rodeo and Crenshaw a few years ago he has RETURNED ! !!! Currently they are serving a limited menu with plans to increase in the near future. On the limited menu, the chicken link with the vegan chilli and grilled veggies is AMAZING . However, I am ANXIOUSLY awaiting the return of the Salmon burger. Haven't been able to find one like it since they closed the previous restaurant."
2/14/2017,20170214,5,4.6,Earle's is back at it! Great food and a great family. I have been come here for over twenty years!
2/15/2017,20170215,3,4.5,"Cool place! First time there & I enjoyed it. The only reason I'm not giving this place 5 stars is because there is no seating - you must stand & eat, and because I wish they had more options on their menu. They would definitely make more if they offered more.But the service was top notch & the place was sterile!! A definite recommend :)"
2/21/2017,20170221,5,4.53,"He's back........ It seems like they were gone for years but I finally got to satisfy my chili dog craving. Even though I spent more than I would have liked, great food is great food, you just pay. Welcome back Earlze, you were sorely missed. That link with chili cheese and New York onions was fire!!!"
2/23/2017,20170223,5,4.56,"Been goin here for years.. I stay in Oakland now, but still make it a point to pop in when in LA. Always good and they treat you like family. Would leave 6stars if they'd let me.."
3/3/2017,20170303,5,4.58,"I've been down with this business from day one and that's when there was just the cart!If you want a great dog, veggie burger and beyond I'd like to congratulate you on making the most magnificent choice and contribution to a South Los Angeles staple.This is what a small business and good eats are about with a natural east coast feel that is second to none with owners and staff that takes the taste of a famous region like LA serious enough to dedicate the time, effort and sweat equity into a menu that makes you want to come back for even more.I have lived on two continents, fivemetropolitan cities from the underground Seattle seafood cuisine on Pine Street, to the great Canadian steaks of Calgary, the pasta carbonara of Connecticut, to the Dominican dish of mangu in NYC's Washington Heights to the Cuban chuletas of MIA....from the San Gabriel Valley to Crenshaw this is a must try no matter where you have hailed your cabs to or from...Earle's and everything on the menu is literally worth the Uber or Lyft ride across town with friends and loved ones.You won't be disappointed and oh yeah tell the owner I sent you !"
3/4/2017,20170304,3,4.5,"Pros: their hotdogs are pretty good. Had the turkey dog with onions and cheese. SUPER YUM. Those onions were seasoned and good. Playas punch ( i think thats what its called) tasted like a good mix of like Kool aid and something elsebut who knows. It was a cute mix. And I would definitely try it again. Cons: I truly disliked the chili. We also had chili cheese fries and to me, the chili tasted like water. Like it honestly have no taste to me. I am just one person and everyone else likes it so maybe my taste buds are off. Not sure but no me gusta! I'm going to try the vegan chili next time. Overall: I liked this place. I liked the people. Oh, I did get peach cobbler. Haven't opened it yet. Sure it's good. Pero yo no se at the moment. I'll be back tho. Nice vibe. Good people"
3/4/2017,20170304,4,4.48,"Went there this evening. Had the punch and a dog. Super good. Love the location - stands out on the Shaw. Strategic. Great to see you back in the community. Much success. I had the chicken link with vegan chili, cheese, and grilled onions."
