date,converted_date,rating,average,review
12/26/2007,20071226,5,5.0,In my search for a Red Velvet cake I was told to go here. It was cheaper then the one place I went to. It tasted really good. The one bad thing is its street parking. Not in the best of areas. I would go back.
3/26/2009,20090326,5,5.0,This place has some of the best peach cobbler i have ever had and i love me some peach cobbler!It has been too long since I visited this place and I can't wait to go back.
7/4/2009,20090704,5,5.0,"EXCELLENT cobbler - very homemade and very tasty. You gotta get there early though, because everytime we go its late in the day and they're out of cherry! I hate that! But its a cute little place and worth the stop to pick up some wonderful cobbler to take home and pig out. I dont remember how much the cobbler was, but I think I remember it being NOT on the cheap side. Still - its good stuff and well worth it."
4/26/2010,20100426,5,5.0,The best sweet potato pie outside of Georgia.
12/16/2010,20101216,5,5.0,"I saw a bunch of cute little Sweet Potato Pies at Albertson's and couldn't resist. I'm happy I did, because they were delicious!! It was nice seeing on the ingredients label that everything was REAL (no artificial stuff or preservatives), and I'm big into supporting local businesses.I hope to see more flavors at Albertsons, and if not, I'll enjoy that sweet potato pie!"
7/15/2011,20110715,5,5.0,"I went to this place after reading some reviews and it was a great idea. Small store with one glass counter inside. The counter had a variety of sizes and types of desserts. The man behind the counter (I think he was the Kobbler King) was super nice and friendly. Bought myself a medium size peach cobbler, brought it home, warmed it in the oven, and added a scoop of vanilla ice cream. DELICIOUS~ Delicious peach cobbler! Wish I had bought more other varieties, but didn't bring enough cash. They have ATM/C.C. but it was down for the day. I want to go back to get some more soon."
9/3/2011,20110903,5,5.0,"I have to search for places that accommodate my hubby who is diabetic. This place has a wide range of cookies, cobblers, and cake that are sugar free. He is hooked on the sugar free Red Velvet cake. The girls who work there are nice and it's always clean when I visit."
9/10/2011,20110910,1,4.5,"I drove 30 min to get here hopeing to test taste some of the sugar free treats someone mentioned.I found no sugar free treats nor cookies,pie,monkey bread or sweet potato pie.All that was in the display case where 4 lonley cobblers. Is this place a front for something else ?I support southern cusine but was so let down and taken aback.What a shame."
10/13/2011,20111013,3,4.33,I wanted to love this place.I'm eager about any hole in the wall that I stumble across without being told.Sadly they let me down. The berry cobbler was great. The girl was adorable and the service was good but I wasn't diggin' the sweet potato pie and the apple cobbler tasted exactly like the pie.Could be this is the best sweet potato pie on the planet. Just not my thing.
1/27/2012,20120127,5,4.4,"The best pie & kobbler west of the Mississippi. In a small unassuming place, super friendly, and authentic. And try the savory pies that are delicious!"
