date,converted_date,rating,average,review
4/23/2020,20200423,5,5.0,"Everything we had was really good. The pulled pork was juicy, the chicken fell of the bone, the sauce was sweet and spicy and the garlic mashed potatoes were fantastic. I am so happy to have a new good place within walking distance to my house."
4/27/2020,20200427,4,4.5,"It's a real BBQ. I ordered the 2 types of meat and 2 sides combo which was 21 dollars all in. I had the pulled pork and the chicken. They were already out of the brisket when I got there at 1:15 pm.  For my sides, collard greens and mac and cheese.I ordered everything with BBQ sauce on the side since I wanted to taste the meat. It took a while for the food to come out even though I was really the only customer.Portion sizes were on the small side.BBQ was fine. Good, but not incredible. Certainly better than anything else in the area. BBQ sauces were both good.Both sides were excellent. You get a third of a cup of each. The cornbread was sweet.All in all, a decent meal."
5/14/2020,20200514,5,4.67,"Finally! Good Bar-B-Que you don't have to drive to West Adams to get. Memphis Grill has been on my radar for a while now and I was so happy to see they finally opened.The staff here is so friendly and welcoming it made waiting for my to go order a pleasure. I ordered a half rack with two sides: mac & cheese and collard greens, and for dessert sweet potato whoppee pie. Let me tell you everything was fresh and lip smacking good.The greens were perfectly seasoned and not vinegary which sometimes happens at BBQ spots in LA. You can really taste the natural flavor of the collards which was nice. There were also bits of meat in the greens like they do down south. The mac & cheese is made with five different types of cheeses and you can tell they did not skimp because it was cheesy and buttery. I even enjoyed the sweet potato whoppee pie which had a nicely flavored cream cheese middle.The main event were the baby back ribs. Let me tell you these had to be the meatiest baby backs I've every had. Tender, succulent and flavorful. My order came with 5 ribs; you get a choice of Memphis dry rub or wet with BBQ sauce. I got sauce which came with two small containers of extra sauce one hot and the other mild or medium. I poured some of the hot sauce on top of the sauce already on the ribs and it was a perfect marriage of spicy goodness. Note: the hot bbq sauce wasn't set your mouth on fire hot. You could still enjoy the flavor of the meat and sauce. All-in-all Memphis Grill was everything I hoped it would be and is definitely a welcomed addition to the neighborhood. It's less than a block from from In & Out. For a few dollars more go get yourself a real, hearty meal."
5/23/2020,20200523,5,4.75,"I love this place and the people working there.The food is awesome.I had the brisket with mashed potatoes, collard greens.So delicious.You must try them out. You won't be sorry."
5/23/2020,20200523,4,4.6,"Great ribs and an obvious passion for bbq, is a great combination! So glad this new spot opened up near me. So far I've tried the pork ribs and mac n cheese. Both of which my family and I really enjoyed. I'm looking forward to trying their pulled pork and smoked chicken! Also one of the few places that offer Sweet Tea :-)Easy pick up, friendly faces and delicious food."
5/23/2020,20200523,2,4.17,"I decided to try this spot after seeing a friend post about it on Instagram. I trekked from downtown LA to NOHO excited for a new BBQ restaurant in LA. I phones ahead to place my order. The customer service over the phone was great. I ordered 1/2 rack of ribs, potato salad, candied yams with a 1/2 pound side of brisket. I arrived 30 mins later and as promised my order was ready and packed perfectly. I paid via Cashapp -- I love contactless payment options and $42 later I was headed home to enjoy, so I thought.Now, the food. The ribs were underwhelming, I got them dry with sauce on the side. Upon first bite, I notices that the smoke flavor was minimal and the meat was gray, which signaled to me that the ribs were likely boiled or steamed prior to smoking. There was no discernible smoke ring. For me this is a no-no, especially at $17 for a half rack -- no shortcuts. The brisket was marginally better, the flavor was good, texture a bit weird. Whole Foods' smoked brisket is much better and cheaper. The candied yams are their specialty-- unfortunately they were cloyingly sweet which meant I couldn't eat more than a half teaspoon. The flavor is good but way too sweet. My plan is to bake a sweet potato and use theirs as seasoning. The corn muffin was dry, tastes of flour and not pleasant at all. The start of the meal was the potato salad. The potatoes were cooked perfectly and there was a good balance of tart, sweet, creamy and herbaceous. However, 4 ounces of any side is a joke especially for $4 -$5. I really wanted to love this place. I've been to Memphis several times and this spot would last 15 minutes in Memphis. I don't mind paying for good food but this meal was completely overpriced at $42, if it were $27, this would be a 3-star review. I hope they can adjust."
5/23/2020,20200523,5,4.29,"I've had the pleasure of having takeout from The Memphis Grill twice now and let me tell you - it is delicious! I've had BBQ from local favorite spots in Clarksdale, Mississippi, Birmingham, Alabama, and Durham, North Carolina. This BBQ is at least as good as anything I've had in the south. So far I've had the brisket, pulled pork, chicken, mashed sweet potatoes, candied yams, garlic mashed potatoes, and collard greens. I'm looking forward to the baby back ribs for next time."
5/23/2020,20200523,5,4.38,"I moved from Kansas City a little over two years ago and have been on the hunt for good BBQ in the Valley ever since. I've retired a few places, but The Memphis Grill is my new go-to when I get a craving. I tried the brisket, pulled pork and ribs, all of which were great. However, the brisket was some of the best I've ever had. The sandwich was stacked nice and tall, and the side of macaroni was out of this world! The coleslaw is worth mentioning as well! I recommend this place to anyone anytime the topic of BBQ joints comes up."
5/30/2020,20200530,2,4.11,"Extremely overpriced for what you get. Incredibly small portions and my chicken was extremely dry. Very nice people who run the place, but it's just not affordable for us. $40 for two people is pretty pricey for takeout. Wish we could give it a better review. We were so looking forward to their opening."
6/2/2020,20200602,3,4.0,"My wife and I shared the 3-meat meal (brisket, pulled pork, tri tip) with collard greens and canned yams as the sides. We also got a small side of coleslaw. The total was $31.00. We had no issues about the food whatsoever, everything was delicious! And the service was very friendly. But I'll agree with other reviewers here that the portions are small. I could eat the entire 4 oz. coleslaw in 4 large bites. At $4, that's $1 per bite - gourmet sweets price range. The sides that come with the meal are also the 4 oz. size and the meat portions are underwhelming. Luckily we requested extra BBQ sauce (the spicy is excellent) and used it on other suitable meats at home to finish the meal. And we both are slim by the way. But if you don't care about portions, then you should enjoy this place."
