date,converted_date,rating,average,review
2/22/2017,20170222,5,5.0,"DELICIOUS food! I've tried many pho spots around LA, and this is the most authentic pho by far. The owners were extremely kind and were super informative about the dishes. We will definitely be back for more!"
2/24/2017,20170224,5,5.0,I've eaten Pho all my life and this is the best pho ive ever had. Their meat melts in your mouth! I highly recommend this place!
2/25/2017,20170225,5,5.0,Best pho ever! The owner is super friendly. The place was extremely clean. The Thai ice tea was awesome! sweet and delicious. The first thing I notice was that the pho broth look different bc other place I've been to the broth is clear so when I had a spoonful it was out of this world! It was so flavorful... so good. Will be back
2/26/2017,20170226,5,5.0,Very authentic flavors! Happy that KTown finally has a great Vietnamese and pho restaurant. Owners are super nice and helpful. Parking lot in the backMy new go-to place in LA for pho!
2/26/2017,20170226,5,5.0,A real Vietnamese pho joint in ktown! Very nice owners and great food! Top quality ingredients and super tasty. It's highly recommended instead of all the other Korean pho joints that have watered down broth and so so quality ingredients locally.
3/5/2017,20170305,5,5.0,"I'm not really a big fan of pho but when I'm forced to eat it, this is the only place I'll go. Boyfriend begged for some pho so I had to give in. Decided to check this place out since it was labeled under ""hot and new"". It's a cute little restaurant owned by the sweetest guy, KT! This guy genuinely cares about making sure the service and food are beyond expectation. Really added something to the dining experience. Boyfriend got pho and I ordered the seafood crispy noodles. Both were SO delicious. Their pho differs from every pho restaurant in koreatown because this is some legit-ass Vietnamese pho. The pho broth was so perfect! Even I loved it and I don't even like pho. The seafood crispy noodle was also just as amazing. This place is great. That's all I really need to say. There's finally some real, good pho in koreatown! Highly recommend everyone to check this place out. I will definitely be going back!!"
3/6/2017,20170306,5,5.0,The owner of this place is so nice and caring. They make sure you have a great meal. The quality of the meat is superb. And the aesthetics of the place is really comforting.You wouldn't expect it when you're outside the restaurant. They have free wifi too. I def really like this place. Would recommend for so many reasons! (:
3/7/2017,20170307,5,5.0,"This place is sooooo delicious! I came here 2 times with coworkers during lunch. Prices are reasonable, friendly service and quality is top! The 4 season rolls are my favorite. So far, I had the fried chicken with fried rice, spicy ox tail noodle soup and the Vietnamese iced coffee. Definitely coming back this week"
3/9/2017,20170309,5,5.0,Cleanest pho restaurant you'll find in Ktown. Surprisingly nice presentation on pho and bahn mi. Owner is very attentive over the whole operation and service is awesome.
3/11/2017,20170311,5,5.0,New Pho shop in Koreatown. Very clean and the owner's  very welcoming.Had the Bun Bo Hue - flavorful beef and shrimp paste broth with generous portions of different meat. They have chili oil you can add for the extra kick. The dish was very tastyWill definitely come back to try their Kobe beef Pho and other dishes. The food here is worth trying. Definitely recommend.
3/12/2017,20170312,5,5.0,"First and foremost customer service here is A1. I really enjoyed speaking with the people here. They were just so nice! And so cool! I decided to get a quick bite for dinner. I ordered fresh spring rolls (hold the pork). I plan on going back and getting more off of their menu. Until then, this establishment gets a big thumbs up from me!"
3/14/2017,20170314,5,5.0,"Seriously the best pho in a 10 mile radius. I'm from the east coast where we have some of the best Pho. When I moved here I was disgusted by the quality of Pho in LA. Met the chef KT and after a few exchange of words I knew this place was different. He knows his stuff. This place is actually run by a native, as opposed to the Korean owned places. I'm Korean, and I hate Korean owned pho. The moment he said ""This area can't handle the real strong authentic flavors, so I rolled it back to help them acclimate"" I was sold. Tasted the broth, and it was exactly that. Could have been stronger as I preferred, but I could taste the true broth flavor. Only had their summer rolls that had a nice wonton surprise in each bite. And thankfully it isn't just stuffed with noodles. They were great! Anyways, KT if you're reading this, who cares if the area can't acclimate. I say you go 110% and bring out the true flavor you know is the best. This area deserves some real pho whether they can ""handle it"" or not. If else, you just get the watered down nonsense like the rest of the pho places around here. If my clothes don't stink after a bowl of pho it ain't good, just like Korean BBQ"
3/17/2017,20170317,5,5.0,"My first yelp review goes to this awesome new little pho restaurant in ktown. I've tried pho from all around Los Angeles, and I have to say this place is one of my favorites, and definitely the top pho in ktown. All the food is made fresh and the pho broth is flavorful and delicious. The pork banh mih is also one of the best ones I've had. The owner is delightfully nice and cares about his customers. The place itself is clean and quaint. Parking is a little weird, but there is a small lot in the back behind the restaurant. Highly recommend this place!"
3/19/2017,20170319,5,5.0,"I have died and gone to heaven.FINALLY, a REAL authentic Vietnamese restaurant to further cement K-Town's place as the most delicious neighborhood in LA! Not only is the grub kickass legit Vietnamese at excellent prices, but service is top notch AND there's even free parking (a tiny, slightly sketchy looking lot in the alley behind the building) to boot!I called a few minutes after their official 8pm closing time, and KT and team actually stayed open just to accommodate us. Can you believe it?From then on, everything was absolute perfection from the super friendly and prompt service to the incredibly fresh and tasty food. Hot and crispy cha gio (fried spring rolls) served the proper way with lettuce leaves for wrapping, a deliciously loaded bowl of bun cha noodles, the deep flavorful beef broth of my meatball pho... I ordered a large and DRANK EVERY DROP of the soup, no joke. I think we're gonna be here every week. Can't wait to come back and try their signature wagyu pho!Part of me wants Jonathan Gold to discover this little family business and help it fly off the charts, and the other selfish part of me hopes that never happens so we can still get a table easily. All I can say is go now, while it's still under the radar."
3/22/2017,20170322,5,5.0,"Ktown Pho is the most authentic pho you can get in koreatown and probably all of Los Angeles. The broth is super flavorful and all the meat they use is seems good quality unlike the meat at other ktown pho places. Their springs are really really delicious, lots of meat and veggies unlike other places that give 2 tiny pieces of meat. Service was just as amazing as their food."
3/23/2017,20170323,5,5.0,"Delicious food, super friendly service, clean atmosphere. I ordered the combination vermicelli which had a perfect blend of savory and healthy fare. There's a small parking lot I the back. If you're eating in, enter the restaurant via the second door on the right. Definately my favorite vietnamese food in koreatown!"
3/23/2017,20170323,5,5.0,"The best tasting pho you will find in Koreatown. I ordered the Bun Bo Hue which was flavorful and not watered down like some places which do quantity over quality. I saw an earlier review that said this was a Korean Pho place but the owners aren't Korean and none of the dishes have a Korean twist. The owner is also super welcoming and nice, definitely recommend trying out this place."
3/23/2017,20170323,5,5.0,"These people are the sweetest. I have an unusual and strong food allergy (white sugar). After working with me on the menu (Vietnamese food mostly has little bits of sugar in everything), the chef made me up a special sauce for the fresh spring rolls made with honey (which I'm ok with). Such excellent service!"
3/23/2017,20170323,5,5.0,"Delicious food, super friendly service, clean atmosphere. I ordered the combination vermicelli which had a perfect blend of savory and healthy fare. There's a small parking lot I the back. If you're eating in, enter the restaurant via the second door on the right. Definately my favorite vietnamese food in koreatown!"
3/23/2017,20170323,5,5.0,"The best tasting pho you will find in Koreatown. I ordered the Bun Bo Hue which was flavorful and not watered down like some places which do quantity over quality. I saw an earlier review that said this was a Korean Pho place but the owners aren't Korean and none of the dishes have a Korean twist. The owner is also super welcoming and nice, definitely recommend trying out this place."
3/23/2017,20170323,5,5.0,"Woops reviewed the wrong place dunno how to delete this one. Choi oi! We tried to go here and it was closed, so we went to another place and I thought I was reviewing it because yelp suggested to review this one. You get a 5* for the mistake and clarification until I make my way out there again for lunch. :) Real Vietnamese people running a pho restaurant in Ktown is just what we need."
3/23/2017,20170323,5,5.0,"This place is soooooooo good that we have been coming here once a week! Pho, rice, and appetizer dishes are delicious. The coffee is very strong and i love it! Service is friendly as usual. Hieu, we are coming again for lunch today!"
3/24/2017,20170324,5,5.0,New favorite pho restaurant! Food and service were excellent. So good. Can't wait to go back and try other items on the menu like the vermicelli noodles and banh mi.
3/25/2017,20170325,5,5.0,Great service!!! And so accommodating to dietary restrictions!!! I am vegan and I had a great meal here!!!
3/26/2017,20170326,5,5.0,"Great customer service, food was great and for having it in a small section it looked pretty nice."
3/27/2017,20170327,5,5.0,New spot! Great quality & family owned! I can see this place being the next big thing in K-Town!
3/28/2017,20170328,5,5.0,"I've been looking for a good local Vietnamese restaurant and I'm so happy with this new addition in K Town.The restaurant is small but it's very clean and not stuffy. The presentation of the food is on point.We ordered egg rolls, Bun Bo Hue and Crispy Egg Noodle (combination). Everything was so delicious, hot and fresh. Thai tea was excellent too. The owner is very attentive and very nice. We definitely will be your loyal customers."
