date,converted_date,rating,average,review
3/12/2013,20130312,5,5.0,Sooooo delicious!!!!!I love udon noodle more than ramen noodle!!!!
3/15/2013,20130315,4,4.5,"UNDERSTANDING HIS ANGERAn old Japanese legend tells of an angry dragon that rose out of the sea. To appease this dragon, the royal court offered a sublime soup noodle that was, until then, enjoyed only by nobility. The dragon was so awed that he took this secret ""udon"" to the people. A hero to all, he peacefully returned to the ocean to take a nap.Three hundred years later (that's 15 dragon-minutes), the dragon awoke and returned to the city of Edo, only to discover the art of udon had been corrupted. Lazy commoners were making these thick wheat noodles with machines. Many businessmen were making large batches cheaply and freezing them. The dragon traveled far and wide but was unable to find his beloved handmade udon. Lacking a human tongue to enunciate his desires, and incapable of making udon with his claws, the dragon exacted his rage upon villages and cities. There are different stories of what became of this creature, but some say he returned to the sea in despair, never to be seen again.However, few knew there was a special child born of this dragon who took the form of a human. Oracles foretell that one day this anointed one will go to the people and show them the greatness of udon. People will once again appreciate simplicity. They'll see that the most beautiful brushstrokes are by hand.Monzo grand opens today in Los Angeles. In the kitchen a man is quietly at work, restoring honor in udon. His arms are muscular from kneading dough. Kake, zaru, kitsune -- any variation you can think of -- no problem. He rolls, folds, and cuts with superhuman deft. Yes, the legend is true...but this man in the kitchen is NOT the son of the dragon. Let it be known that I AM THE SON OF GODZILLA, and with this review, THE PROPHECY BEGINS TO BE FULFILLED TODAY!!! I SPEAKETH......wait, my sweetie's calling me to unclog the toilet...bye."
3/16/2013,20130316,5,4.67,"Monzo is located on the north side of 1st Street by Daikokuya. It's a great addition to Little Tokyo. It serves hand made udon as well as other Japanese food. Pre-Monzo required me to drive to the South Bay for authentic udon.The grand opening was on 3/15/13. Bf and I rolled in here and ordered the scallops carpaccio, cold udon with daikon oroshi and Carbonara udon. The Carbonara udon was rich with layers of flavors. The cold udon with soft boiled egg was ostensibly simple, yet had complex tiers. The servers all spoke Japanese, which is rare these days even in Japanese restaurants run by Japanese owners. I really enjoyed visiting Monzo."
3/18/2013,20130318,4,4.5,"In the former Fat Spoon space, Monzo is staking its claim on a E 1st St space next door to the vaunted Daikokuya ramen shop. Ramen, meet udon.It's a wonderfully renovated space that had me scratching my head trying to remember what used to exist here pre-Monzo. It's hard to pry your eyes away from the guy kneading, rolling, and cutting the freshly made udon noodles that are on display behind giant glass. There are sushi restaurant style seating around the glass walled kitchen to take in the show and small tables along the length of the front of the restaurant.The classic shrimp udon was excellent. Chewy noodles, good broth, perfectly fried tempura. The carbonara udon is a fantastic choice if you like creamy pastas. I could only have so many bites before I was craving my shrimp udon. The clams in garlic butter are addictive - I could have finished an entire bucket full of these with a side of beer. The seafood salad was probably the least exciting item that I tried - I'd recommend hitting a different item on the menu.If the line at Daikokuya has you down, try some udon - Monzo won't let you down."
3/22/2013,20130322,5,4.6,"F#@K a pot of gold, I found a bowl of magic!!!!!yelp.com/biz_photos/maru…ATTENTION EVERYONE: My quest to find fresh, fresh, fresh udon in LA has ended!yelp.com/biz_photos/maru…I am madly in love with this place! I would gladly buy a welcome mat and change my mailing address over to Monzo's. I can eat here EVERYDAY!!!!REASON I WANT TO CALL THIS HOME:yelp.com/biz_photos/maru…1) The food is AMAZING!!!!!!.....Appetizers are a WHOA-HEY-WHAT'S YOUR NAME deliciousness. And the udon, man the udon.....upon first taste I really wanted to jump on my seat and be like Tom Cruise on the Oprah show professing his love for Katie Holmes. The texture on the udon screamed and oozed FRESH.... perfect, perfect, PERFECT chewiness. The broth was bomb too, perky, lively and just enough brininess to it. I literally ladled it, ladle after ladle, ALL down!!! The tempuras were excellent as well, not only was it battered and fried right, the ingredients were extremely fresh too.2) The atmosphere..... very clean, and the dark wood paneling and Japanese business men at every other table gave it a nice level of sophistication. But the killer wow factor was the udon chef making the noodles right in front of my face as I slurped down my udon. The chef even gave each of us sitting at the bar a lil bow before AND after he transformed the dough into strings of magical goodness. 3) Variety. There were plenty ways to have the udon....cold, miso based broth, soy base broth, cream or even curry.4) The waitstaff were extremely friendly and eager to help.5) Very reasonable prices. For this caliber of quality, the price on the menu was dirt cheap! GREAT EXPERIENCE, GREAT FOOD!! I'm coming back, don't try to stop me!!!!"
3/23/2013,20130323,5,4.67,Great Udon and broth. More expensive than next door's Daikokuya ramen...but worth every penny.
3/24/2013,20130324,4,4.57,"I loved the tempura a la carte options that come with an order of udon. The ones that surprised me the most were the egg and the squid. I haven't had egg tempura before and the squid tempura was as big as a box of poker cards! I also liked that the double order of udon was only $2 more so you and a friend can share and still have money and room for dessert. (Points for romance if you're on a date!) Unfortunately, they don't have a dessert menu, and that's what I was in the mood for tonight.My friend ordered the Curry Udon. I would have liked the sauce to be thicker, but it was more soupy than I expected. They put pork belly and sauteed onions with the udon, so the flavors were pretty yummy. It's a little hard to tell from their picture in the menu that it's pork belly.The waiters and waitresses were really nice, polite, and attentive to filling our waters. I also liked the clean bathrooms and the view of the chefs making the udon noodles by hand. It's kind of mesmerizing."
3/25/2013,20130325,5,4.62,"Wow, I think that was the best udon I have ever had- and I grew up eating that stuff! My dad and I were looking for a fun place to eat in J-Town and I suggested we pop into Monzo, since it was new and had been reviewed well so far. After a quick look at the menu, we were seated at a table by the door. Next time, I want a table in front of the noodle window: you can watch the chef making all the beautiful udon noodles by hand!Anyway, the servers here are eager to please and answer any questions, although one guy tended to hover a bit. I decided on the Duck Nanban Udon, with the added sides of the Jidori Soft-boiled Egg and a Baby Octopus, both tempura battered and fried (I didn't expect that with the egg). My dad ordered the Kakiage Don, which is a bowl of rice topped with one of those tempura ""nests"" of fried shrimp, grated carrot, onions, and other veg. We also shared 3 skewers: Shrimp, Scallop, and Shiitake. The skewers came out first and I was a little sad to find that they only had one shrimp and one scallop on the skewers, and two pieces of the shiitake. That explained the low price though. The shrimp was perfectly cooked, the scallop was a good size and tender, and the shrooms were tasty as well. They gave us a little condiment dish for our skewers with some curry salt powder and the tiniest dab of tonkatsu sauce. More sauce next time, please!Then my noodles arrived, in a ginormous bowl on top of a wooden platter. They also gave me a small dish of grated fresh ginger and a shaker of Japanese white pepper and our server suggested I swirl both into the broth. I like the large wooden ladle, for happy slurpy time. The duck pieces in my soup were quite good, with light grill marks. Definitely not complaining, but I like my duck a little closer to medium Maybe next time I can ask for the meat on the side and I can drop it in and control the doneness? But the star of the dish was obviously the udon noodles themselves. They were so tender and fresh tasting, I was in heaven. The broth was really delicious too. I added the ginger and the pepper, but nothing else, since the salt level was perfect. I happily dunked my egg in the broth as well. The icing on the cake was that adorable baby octopus- it was the best I have ever had! It was perfectly cooked, without any unpleasant rubbery texture. Amazing.Our whole meal came out to $29.10 after tax, which seemed quite reasonable, especially for the quality and the attentive service. I am looking forward to returning to try more of their unusual and creative noodle creations soon!"
3/25/2013,20130325,4,4.56,"The style reminds me the Udon from Kagawa Prefecture in Japan. They make the noodle at restaurant, not buy in, handmade noodle, means fresh!! perfect thickness and hardness.I really enjoyed Bukkake Udon, which is one of the standard style, nothing fancy, simple and minimum ingredients, no soup. It was really good. I glow up eating that way so I was happy to find this place.My friend had one of the fusion style ""Mentai Squid butter Udon"". Udont is like a pasta, noodle itself does not have strong flavor so it has potential to go well with any kind of sauce or soup. But to be honest it was okay, I think the butter and cheese(?? Not sure) was too strong killing the flavor of Mentai and noodle. I know Mentai and udon really goes well so I wish if they could put less butter... But that's me, you may enjoy it.Among all the Japanese noodles, Udon noodles is my favorite, I glow up eating it all the time and I think this place is one of the best Udon in LA."
3/27/2013,20130327,4,4.5,"I've never really been to a restaurant that was all about the Udon until Monzo, but I'm definitely glad I tried it. FOODThe noodles are made right in front of you where everyone can watch. They all seem so pro at what they do and everything is seemingly an intricate and well thought out process.The Duck Nanban Udon was good, but I wasn't blown away by it or anything. It did have that warmth and ""chicken soup for the soul"" feeling to me and I'd like to order it if I was sick or it was snowing outside. But in Los Angeles, I wouldn't hold my breath for that snow. What I ordered was: Cold Udon + Kakiage + Shiso + Baby Octopus + Shrimp Tempura. I prefer cold over the hot especially with the summer quickly approaching. The Kakiage here is pretty good, and I was so tempted to order another. I heard the Baby Octopus was really good too. I just love that I'm able to order something and customize it in my own way because I feel like I have very very specific taste.SERVICEThe waitresses here are sooo nice and in their own way, kinda funny too. They're fobby Japanese women and that just makes this Udon joint even more authentic. They're pretty helpful too in case you're a newbie when it comes to ordering. ATMOSPHEREI love it. It's clean. It's modern looking. It's tasteful. You can watch the dudes make your noodles from scratch. There's like even a bar for you to sit at to watch it up close. I love when noodle shops have bar seating or counter seating, however you wanna call it. Simply put, the place looks legit.As much as I like Monzo, I can't give it a 5 stars just because I'm still in love with the Udon from Fukada more. Fukada is also cheaper too, which is saying a lot for being in Irvine. I'll probably eventually come back to give it another try and possibly fall in love with it and update my review. I definitely wanna try the Uni Creamy Udon and the Flaming Konnyaku (though I didn't see it on the menu). P.S. Lunch Special is basically $3 instead of the regular price for the Donburi options. P.P.S. They don't validate parking at all at any structure. They're still new, so it's forgivable. I had to pay $7 for parking for like an hour or so. Fuck. That."
