date,converted_date,rating,average,review
7/9/2017,20170709,5,5.0,"Great little breakfast nook right next to 2 other good places to hang. So I've got mornings and evenings covered!They are just opening up but the new owners have put a lot of work into the place and I love it! Their waffles are fresh crispy and TASTY served with REAL maple syrup! My friend had bagel & lox and that is the next item I will try. Being a native NY foodie, I know it's really hard to find supreme bagel & lox here in LA..Meanwhile, the other priority for my morning: the coffee is great and can easily be a daily pleasure! Will relegate my Keurig to days I am too lazy to go out..Really happy to see this new place in the neighborhood :)The menu selections they are talking about sound interesting and try all of them. Little businesses like this need our support to compete with the artificial flavored overpriced mega corps offerings and I will be a regular here ! Two Thumbs Up!"
7/14/2017,20170714,5,5.0,"Remember Muse on 8th? Remember thinking, it's great that there's a quaint little local coffee spot in chain-heavy Mid-Wilshire, but I wish this place had more charm and character? Look no further than Met Her At A Bar. This place is everything Muse should have been. The new owners, first of all, are a charming young couple who could not have been friendlier on my first visit. They came in and jazzed the old place up from top to bottom. Gone is the outdated, incoherent, dirty vibe from before and in its place is a clean new look that is trendy but with plenty of rustic charm. The owners relocated the front door to its rightful place on the building corner, and have opened up the storefront windows to really let in the sunshine. The color palette inside is natural and muted to balance things out, with pops of color from the condiment table to the pastel yellow espresso machine next to the register. Muse's open kitchen is retained, but looks more enclosed and separated now without making the space feel claustrophobic. Ivy runs along the wooden ceiling beams. Books of all sizes and topics are stacked on communal work tables and window-facing bar seating. The upright piano from before is still here!Part of the selling point is the house-made Belgian waffles they offer. I ordered a coffee to go, and the owners were kind enough to give me a small golden brown waffle to try out. Perfectly garnished with a dash of powdered sugar, the waffle was crispy on the outside, fluffy on the inside - absolutely delicious. The size of the kitchen space leads me to believe that they have many food items available, but I didn't have time to look at a menu and they haven't put one up behind the coffee bar just yet. Which leads me to say...The place is, of course, brand new, and the owners acknowledged that they're still getting it fixed up. Even so, Met Her At A Bar is already a bright spot in the neighborhood, in many ways that its predecessor should have been. So if you live in this area, or frequent it for work, and you're looking for an alternative to Starbucks/The Coffee Bean--go visit Met Her At A Bar. It checks all the boxes of a perfect, locally owned business that deserves patronage."
7/20/2017,20170720,5,5.0,"Love this new neighborhood coffee shop, the coffee is great, the service amazing and the decor so nice and clean!Super excited for a place like this. P. S. They also have a good and healthy food menu"
7/22/2017,20170722,2,4.25,"Well not off to a good start. Take the two star rating with a little grain of salt, but it says they are open until 3 so we walked over only to learn the chef was leaving at 1:45 and they could only make a few of the waffle menu items and nothing else. Will come back to update my review once I get to actually try the food. The ambiance seemed nice though."
7/22/2017,20170722,2,3.8,"Well not off to a good start. Take the two star rating with a little grain of salt, but it says they are open until 3 so we walked over only to learn the chef was leaving at 1:45 and they could only make a few of the waffle menu items and nothing else. Will come back to update my review once I get to actually try the food. The ambiance seemed nice though."
7/22/2017,20170722,5,4.0,Cute! Great iced coffee. I really like what the owners have done with this place. It's well decorated and put together. You can tell the owners really care. They got a really good air conditioning system which is such a relief.I'm so excited to have this place open in the neighborhood. They are a welcome addition. They had a soft opening and had plenty of people to service and I thought all was running really smooth.
7/22/2017,20170722,5,4.14,Very cool new place and the coffee is great. They have these glorious large Belgian waffles and the maple syrup is unbelievable. The place looks good and feels clean. They did a great job setting this place up. Can't wait to come back and chill with a cup of that delicious coffee. Calm and perfect for a little mid day reset.#realla#buylocal
7/23/2017,20170723,5,4.25,"Definitely a great place for Breakfast and Lunch. The staff here are the nicest and friendliest. Everything on the menu sounds delicious, it was a difficult decision, but ultimately decided on some Eggs Benedict which were amazing. Can't leave here till you have some of their waffles."
7/30/2017,20170730,5,4.33,Cute little brunch spot. Cold brew was on point. Ordered the Wake up Happy and my friend ordered the Waffle with Berries. Food was great! Nice portion sizes and the staff was so friendly. Only downside is parking but that's pretty standard for the area. Will definitely return!
7/30/2017,20170730,5,4.4,"Went on soft opening weekend, and I'm definitely impressed. Super cute menu.  Ordered the lox and cream cheese bagel which was absolutely perfect. My girlfriend ordered the waffles, eggs, sausage and bacon....everything was great, but those waffles!!!! So light and crispy, with the perfect amount of (real) maple syrup. She said it was the best waffle she's ever had. The coffee was LaColombe, and it was NOICE!"
