date,converted_date,rating,average,review
8/15/2014,20140815,5,5.0,"LOVE IT!! We got seated at the bar and had the pleasure of being served by bartender Krishna...HE is the BEST!!! Loved the way he shakes them cocktail shakers...one of the best part of my meal was chatting with him!! Ok back to the food...it was amazeballs...started with the chips and dip (if you love pork rinds, you will LOVE this dish) then yellow tail and brussels sprouts...for our main dishes we had the lobster pasta (sooooo yummy) and my hubs had the short ribs (also amazing) and since it was my birthday, they treated me to a decadent fruit tart with homemade ice cream on top...OMG best birthday meal in a long time...service was great, hostesses were hospitable...can't wait to go back!!! Make sure you sit at the bar and have Krishna serve you!!! He's awesome!!!"
4/2/2015,20150402,4,4.5,"High energy, noisy place with good foods, the entire menu is designed to be served family style therefore it's the best to visit this place with friends. The foie gras with steel cut oats and strawberry was savory and sweet, grass fed beef tartare was lean and refreshing, the octopus salad was tasty however with sparing of octopus pieces, we also enjoyed the asparagus salad as well as the brussle sprouts, the weakest dish of the evening is perhaps the bass; interesting selections of wines by the bottle, the sommelier was more than helpful in making great suggestions. House filtered water with/without the gas. It would have been nicer if the reservation is more available. Overall we enjoyed our meal."
5/20/2016,20160520,5,4.67,"I think I am in love with Republique more because of the atmosphere and the venue and the amazing display case in the front and the presentation of all their food, than some of the food itself. But that really doesn't stop me from coming with friends and family for brunch, because I am in awe every time (and I get amazing food pics). I've come for brunch a few times and never know what to get. I've tried a few things from the case: a sesame cookie, an oatmeal cookie, a nutella banana pastries. The one I enjoyed the most was the oatmeal cookie because it was sooo buttery and delicious (you can taste the butter)! I've tried and split a couple different brunch items.- Green soft boiled eggs one time: a little strange because it was cold softboiled eggs served in a green soup mixture served with bread, but the presentation was on point! The baguette was also delicious and it was like my own personal baguette. I love bread.- Kimchi fried rice: a couple of my friends have tried it, and it looks much better than it tastes, sorry.- Mushroom toast: damn, this thing is so dense it could feed two without you even noticing. Super flavorful because of the mushrooms, buttery, and delicious eggs. If you don't like mushrooms that much, don't get it! - Madam croque: because of the mushroom toast (above), I didn't really get to eat this one. But this dish is also a little heavy because they use a lot of butter (a lot) when they toast the bread, so be warned. It's delicious because butter but be prepared what you're getting yourself into.- Salmon avacado toast: This one was pretty delicious, a little pricey, but I am a total sucker for avacado toast (especially with salmon)! Also, the hong kong tea latte is really good! This place is also pretty pricey, so be ready to lighten your wallet. After you see all the pastries, drinks, and basically everything on the menu, you might order everything."
11/26/2016,20161126,3,4.25,1. Eggs on toast with uni: 3.25-scrambled egg on crispy toast. I was expecting more in terms of how the uni would compliment the eggs but it didn't really 2. Seared foie gras with berries and a chestnut cappuccino with bacon foam: 3.25-the foie gras was good as well as the foam. The chestnut was too strong. The berries were not sweet enough to balance the rest of the dish. 3. Spaghetti with Dungeness crab and uni: 3.25-more of a salty sour taste. Not much crab or uni ok the dish itself4. Mafaldine pasta with truffle: 3.25-the sauce still tasted somewhat salty but slightly more peppery and drowns out truffle flavor. The pasta tastes better here and perfectly al dente5. Sonoma duck breast with pear and pistachio: 3.25-the duck was cooked we'll but slightly too salty. The service by waitstaff was overall very good and attentive. There was nothing particularly memorable that I need to eat again.
2/16/2017,20170216,5,4.4,"3/10/17Lucky for us we were able to score a 6:30 PM reservation. Four of us headed over there and much to my delight we were seated in the back room again. The back room is much quieter and more pleasant.My son did the ordering and we shared margaritas baguette with both butter in pan drippings, grilled octopus salad, Maine diver scallops, Maine lobster spaghetti, cavatelli, steak and fries and finished off with the Pana cotta for dessert.I can say honestly every single dish was delicious. In addition, we seem to have an endless supply of baguettes, I think in total they provided us six or eight.We finished off with black coffee.Once again everything was spectacular, service, hospitality and food.2/l8/17What a treat! My son took me there for a late dinner. We started with the Margarita's Baguette. They served it with BOTH the Normandy butter and the pan drippings....OMG! So delicious! I had to control my self so I wouldn't get filled up on bread. Next dish was the Grilled Octopus Salad. Delicious! Nice chunks of octopus, fresh veggies, pistachios and a tasty light chili lime dressing....then on the to Pappardelle with shaved black winter truffles....so rich and delicious. We ended with the Maine lobster spaghetti....another total winner.I opted to try the apple tart, which I was not impressed with...next time (hope there will be a next time), I'll try another dessert.All in all, Loved Republique!"
3/21/2017,20170321,5,4.5,"Love the modern and medieval accents in this restaurant. The front is bright with perfect lighting and the back is more romantic with high ceilings.My friend and I came here for brunch and this place was so perfect to hang out and eat some delicious food. I think we ordered too much but it was so darn worth it!We got 3 dishes and one dessert, and we ordered at the front and got a table. Water and utensils are self serve and you seat yourself. They charge 3% on top of your bill for employee healthcare so just be aware of that... I don't really like this because this is not a sit down restaurant... Well at least for brunch anyway. Mushroom toast - This is SOOO good! This is a must try if you like mushrooms. It's velvety and eggy and the flavors were perfect.Kimchi fried rice - I highly recommend this too! I am Korean and I have had kimchi fried rice my whole life and I got to say this place has the best kimchi fried rice. Idk what is in it, but it's delicious. The two poached eggg really makes this a great lunch item. salmon toast - this is light and refreshing with a good amount of smoked salmon. I enjoyed this one as well!Fruit and Pistachio tres leches -- BOMBBBBB!!!! I highly recommend this moist decadent dessert to everyone.I highly recommend this place for food! I just hate how they charge 3% of your bill for their employee health insurance when it's not a sit-down restaurant. Don't most restaurant employees qualify for Medicare...?"
3/24/2017,20170324,3,4.29,"$56 for a 5-ounce sliver of THE MOST TASTELESS SHORT RIB I HAVE EVER HAD.Sure, it was tender af, it came with good polenta and greens, but it was SO COMPLETELY AND UTTERLY BLAND. (And so, SO tiny. Like just the tip tiny.)I was so smitten with the French Toast (brunch), the Eggs on Toast, the Shakshuka (brunch), and the Kimchi Fried Rice. BUT NOW MY HEART IS IRREPARABLY BROKEN."
4/24/2017,20170424,4,4.25,"This is a really nice brunch place offering a wide range of different things. We ordered the kimchi fried rice, shakshuka, and the short rib sandwich. The sandwich was extremely good, probably one of the best sandwiches I've had. So much richness in flavor. The shakshuka was also pretty good but very heavy on the tomato flavor, so if you're not a huge fan of that base it might not be worth it. The fried rice was alright - a bit too expensive for my taste. Highly recommend the short rib sandwich and blueberry lemon coconut cake."
5/9/2017,20170509,4,4.22,"What I've Tried- Regular Breakfast- Chia Seed Pudding- Chorizo y Papas*- Shakshouka- Mushroom Toast*- Strawberry Tres Leches Cake*Loveee coming here for breakfast. Their baguettes are sooo good (if you don't get a burnt one lol.) The Regular Breakfast isn't something you can get at a diner. It comes with a thick slab of bacon, the most delicious and crispy fingerling potatoes, eggs and a baguette. You can pass on the Chia Seed Pudding unless you're going the healthy route. It's not sweet and is made with homemade almond milk!The Chorizo y Papas were really flavorful but, oily. The cast iron it came in was super greasy.. it left oil all over our table. The potatoes in the Chorizo were not the same as the fingerling potatoes (boo) but, I would get this again! Shakshouka was okay... I would ask for yogurt sauce on the side because they put so much on top! It's not a drizzle... it's like a layer. :( It gave it a sour taste.. not a fan.The Mushroom Toast was really good but, heavy. It may look like a small portion but, it was drenched in sauce and probably oil lol. The toast is not crispy but, I don't mind the soggy bread.. it made it easier to cut and share. The best part of our meal was the Strawberry Tres Leches Cake! It's not your traditional tres leches cake... the bread wasn't overly soggy and the cream they used had a hint of vanilla bean. It also came with kumquat and pistachios on top! Would come here just for this cake.TIP: The line does start before they open at 8AM on weekends. The line also moves really slow...I'm guessing no one knows what they want before they get to the register. Valet is free for breakfast during weekdays!"
7/2/2017,20170702,4,4.2,"I've had this spot bookmarked for such a long time, I'm so glad I was finally able to try this place out! I came here with a few girlfriends for a birthday brunch on a Sunday morning and I can definitely vouch for beautiful this restaurant is. Definitely the perfect brunch spot in LA. We arrived around 9AM on a Sunday morning and there was still a line out the door but the wait wasn't that bad. You order at the counter, pay and seat yourselves. We ordered a bunch of different dishes to share which I would definitely recommend doing so you can try a little bit of everything!-Matcha Lattes-Biscuits & Gravy-Mushroom Toast-Smoked Salmon Tartine-Ricotta Toast-Kimchi Fried Rice-Belgian WaffleI was actually rather disappointed with the matcha latte... they make it with condensed milk so I was expecting it to be on the sweeter side however it tasted like warm milk. Didn't even have the slightest green tea matcha taste to it and it wasn't even that sweet at all which I was really surprised about. Definitely not worth the $5 so I'd recommend ordering a different drink.The food on the other hand looked AND tasted amazing. Everything came out one after another which definitely worked in our favor as we wanted to snap pictures before eating, of course. My favorites were the Mushroom Toast, Kimchi Fried Rice and Belgian Waffle! The mushrooms were AMAZING, I don't know what they did to it but you just gotta try it. The waffles were fluffy and subtly sweet and the kimchi fried rice was surprisingly really good too. I absolutely loved the atmosphere and decor at Republique. Loved how open and bright it is inside and the hanging lights made it look so elegant. I would definitely suggest this spot for a brunch date or even a birthday celebration. My suggestion would be to come early during the weekends or maybe at an off time?"
7/25/2017,20170725,4,4.18,"Found this place by accident, when a co-worker brought some baked goods from here that were so delicious that I demanded he tell me where they were from!I made a point to come by and check out this place sometime that same week!I was not disappointed..! I came for dinner and much to my dismay they had no more pastries for the day, but MAN OH MAN the dinner crowd was so busy! We made reservations for 7 pm and weren't seated for another 20 minutes: during which about 5 different groups came in and were told they were booked for the entire night! WOW, so make sure to make those reservations! I believe you can only get them at dinner so I suppose it's first come first serve for breakfast and lunch! Apparently this location used to be the La Brea bakery, which now sits a block away.The interior is stunning: large glass panels and a glass roof that filters on light against delicate chairs and exposed brick wall. While we waited one of the workers suggested we try their Margarita's baguette bread, with the french butter AND the pan drippings. That was possibly the best choice of the night! It was unlimited and I could not stop eating the small, crisp, hot little baguettes and dipping them in the pan drippings!Along side that we also ordered the Box Crab Toast, White Sea Bass, and Spinach Cavatelli.I really enjoyed the Spinach Cavatelli, green lumps of pasta in a finger licking great sauce! The Sea Bass was moist and well cooked. The Box Crab Toast, other than it's presentation, was nothing really spectacular to me. I think the items that I would come to eat again would be the Margarita's baguette and the Spinach Cavatelli. It was a little noisy as the night drew on, but seeing the eventual fade of day to sunset to night was phenomenal to observe; the large window panes and high ceiling opened to the light and adjusted well with the ambience!But I suppose with all the hubub, comes a price...the price. The bill was pretty expensive and the portions, while delicious, were not as large as I'd hope they be. In addition they charge an additional 4% to go into providing healthcare for their full time employees, while great, can take another hit to your wallet.They have alot of vegetarian friendly entrees and have a very hip crowd. Plan to come by to try their pastries during the day or have another dinner at this location for a special occasion!"
8/4/2017,20170804,4,4.17,"Always a popular brunch spot and both times that I've been here I've had to wait in line. It moves faster than you think though. Definitely recommend grabbing a menu while in line to make the most of your time. I feel like the line usually happens because people don't know what to order when the time comes. PARKING: Metered parking can be found on the street. Typical LA haha. Good luck!You stand in line to order and pay first. The line is right next to their pastries and I've caved in every time so far! Very unique dishes and pastries. After paying, you take your number (written on a cup) to self seat your party to an open seat or table. Servers will later bring you water, cups, and utensils. Cute and very LA inside-probably why it's still a very popular spot. Can definitely get some Instagram worthy shots here! BANANA POPPYSEED MUFFIN: This was really good, better than I expected and it's not too sweet! Would totally order this again! VIETNAMESE ICED COFFEE: Definitely not as strong nor as sweet as Lee's coffee. It still is slightly on the sweeter side, but I would still order this again. (I wouldn't say it's a true Vietnamese coffee, more like a iced vanilla latte actually haha). KIMCHI FRIED RICE: Comes with beef short ribs mixed in with the rice and comes with two soft farm eggs on top. (I totally did a boomerang shaking the bowl for Snapchat for fun as an immature way to juggle the eggs haha! ) For $16, it's overpriced for sure but worth trying. It was good but a little too sour for me. I didn't expect to, but I preferred the pork adobo fried rice more. PORK ADOBO FRIED RICE: Also overpriced for $16, but I enjoyed this more than the kimchi fried rice. Some adobo dishes can get oily, so I'm glad this wasn't. Comes with two fried eggs on top and a side of Fresno chili (basically sriracha). I didn't use the chili and enjoyed the dish as it came out. Would get this again. Although this place is a little pricey, it's very unique. Can't wait to try more dishes here! (:"
8/18/2017,20170818,5,4.23,"The line was ridiculous even though there was plenty of seating inside. I adored everything else about this restaurant. I loved the aesthetics, lighting, spaciousness, and ambiance. The food came out pretty quickly and I was impressed with the selection of pastries they had.Here's what we ordered:1) Kimchi Fried Rice - Pretty delicious but it didn't stand out too much for me to get again2) Biscuits and Gravy - I LOVED this dish! Not only was it pretty, but it was so flavorful. I love anything with gravy, really.3) Market Fruit Tart - I liked this one a lot. I love the caramelized fruit in this one!4) Strawberry Lemon Basil Eclair - This was my first time having a fresh eclair. The texture was soft and interesting, but the basil and lemon combination isn't for everyone.We had a great experience here and can't wait to keep coming back!"
