date,rating,review
5/19/2022,4 star rating,"My favorite bbq ever, food is really good and with a reasonable price, the service is sometimes good sometimes not so good but overall everything is great."
5/14/2022,5 star rating,A full experience that makes me want to come back again! Amazing hosts. Very welcoming and friendly. Recommending to everyone.
6/8/2022,5 star rating,"I would consider myself a KBBQ connoisseur and I have to say this is the best Korean BBQ I have ever had. The meat is the absolute best quality (personal recommendation is the Prime Steak) the sides are delicious and the service is quick and friendly. It's pretty rare to find a restaurant that checks all the boxes but this place really does. 10/10 would recommend you to try it. $40 a person and worth every penny! My new favorite spot! PS: The cheese corn is epic, think elote X cream corn!"
5/31/2022,5 star rating,"Hae Jang Chon is hands down my favorite AYCE KBBQ in LA. I have yet to find a place that matches the quality of food and service for an AYCE place. The price is definitely higher compared to other ayce kbbq places (around $40 per person), and the lines here can get incredibly long since I feel the place has gotten crazy hyped in the last 4-5 years. Still, I absolutely love this place and whenever I have time to come down to ktown, this is my first choice. I like to call ahead to ask what the wait times are because you definitely don't want to make the drive down there and find out the wait times are 2-3 hours. On top of that, plan ahead for parking. They do have a little lot they share with various other restaurants that does valet parking for ~ $3 (cash) but if that's full, you'll have to brave it out and find street parking (which can be infuriatingly impossible in ktown). Now, there is a reason this place has become so popular. The meats here are the highest quality ayce place, anywhere from beef brisket, beef belly, pork belly, short rib, bulgogi- I can assure you everything here is delicious. The meat is so delicious that you don't need to dunk it into their brisket sauce like other cheap kbbq places. A little bit of salt and sesame oil elevates the flavor enough, since the meat is just that good!!! Even their banchan is my favorite among all the AYCE KBBQs I've ever had. I always order salad and steamed egg, both I feel are essential when you're downing so much oily meat. When you're almost full on meat, I definitely recommend getting the kimchi fried rice. Another tier of excellent service is the servers who often will cook for you. You have tongs so you can cook if you wanted the full kbbq experience, but if you just wanted to relax and eat some good food, you can just have the server cook for you (which is what I do- just watch and eat haha). Coming down here is definitely a commitment, so be prepared! I absolutely love this place and recommend it to anyone coming to LA :)"
5/21/2022,5 star rating,My favorite ayce Korean bbq in la! I've been coming here for many years and it never disappoints. I once again came for a work event last night and had a blast. The waitresses were even nice enough to hell cook and then were extremely attentive to our large party. I called a week in advance and was able to reserve an area for a large party of 14. My favorite meat will always be the beef tongue. And the Bachan here is fresh and delicious. I do wish they had more soju options. They only had three last night but it wasn't too bad! Be sure to order the kimchi fried rice at the end to end the delicious meal!
6/12/2022,5 star rating,"One of the best KBBQ spots in LA. Depending what time you go it's jammed packed but if your willing to wait it's for sure worth it. Top choices of meat and always good service. Ive been coming here for what's and they are always consistent. From the meant selections to the side dishes, always a great place to eat. They are kid friendly and great for big groups and have adding things to the menu like marinated chicken and beef hotdogs incase you have folks in your party that won't eat some of the other dishes. Recommend for sure for a great KBBQ experience."
5/24/2022,5 star rating,My favorite Korean BBQ place. The line is always long but worth it. Service is always great and the meat quality A+. The only thing I wouldn't order again would be the cheese corn cause there was a weird sour taste.
5/5/2022,3 star rating,"I came to Hae Jang Chon once before this time, maybe like 8-10 years ago and remember liking it a lot. That's not to say I had a bad experience this time around, but at $40 AYCE I think it'd be hard to get 4 stars. I would say I actually want to give 3.5 stars and leaned towards the 3 instead of 4 for a few reasons:1. Out of the beef brisket, pork belly, beef tongue, beef steak and beef short rib that we tried, I only really liked the beef short rib. Brisket is normally a fav but this one was a little too oily. The beef tongue and steak were a little tough. 2. I also felt a little rushed because they kindly cooked for us (very nice and attentive), but literally piled the meats on the grill one right after another. We were stuffing ourselves real fast. 3. Our server misheard me and thought I wanted a kimchi pancake when we didn't and looked annoyed when we said we hadn't asked for it. She also kept asking us if we were done lol. I know they have to get people in and out of there, but cooking the meat more slowly would be a better strategy haha Parking: $4 valet was great since street parking is awful in KtownCleanliness: 4/5 the bathroom, floors were fine and they also had lots of windows open which is great Sides: corn and cheese was not good, very liquidy, steamed egg was okay, kimchi fried rice was not bad and it was fun that they browned the cheese on top Drinks: rice wine wasn't good and cost $12. Probably it's just the type of rice wine but if you're expecting sweet and fruity, don't get it. It was still a fine experience but would recommend some improvements!"
4/28/2022,5 star rating,"My favorite Korean BBQ restaurant period! Every time I go to Los Angeles, I have to stop by Hae Jang Chon. This is a all you can eat establishment, but the meat is amazing. Makes me wonder how it is even possible. The wait times have been different, but during my latest visit, we had to wait for an hour and thirty minutes. I was actually telling people that it may be part of the experience, you get extra hungry and keep getting a whiff of that meat being grilled, makes you ready to eat! The menu is pretty straight forward, you choose three types of meat at a time and they bring generous portions. I do not know if I am going to ever try a different Korean bbq place again since my other experiences have not been as great as this place. Definitely try the kimchi fried rice!"
4/29/2022,4 star rating,"Was looking for AYCE kbbq in Ktown and this place was #1, after seeing the amount of positive reviews, I knew I def had to try it. Def be prepared for a long wait (even on a Tuesday night at 8PM it was still about 1 hr)I'd say it's definitely the highest quality AYCE kbbq I've ever had. 40$/person for dinner. Menu was simple and straightforward and the meats were sooo good, you could definitely taste the higher quality. My faves were beef tongue, brisket, and pork belly. Banchan was on point, heaping portions and so delicious.At the end of the meal you can order cheesy kimchi fried rice that they cook in front of you. Was too full this time but def trying next time! My only con is that the servers are a little too attentive. They are always coming by to get your meat cooked, if the meats are done they will literally come and remove it off the grill and place on a plate so they can cook your next meat. I get this place is busy and they probably want to turn over tables, but we felt a little bit rushed and it took away from the eating experience. Nonetheless I'd definitely still come back!"
12/4/2021,2 star rating,"Not worth the hype. Waited 1.5 hours and the food was just mediocre. Disappointed in the service and food. Selection was tiny compared to other places I've been to. Also WHY do they charge you for lettuce of allllll things like WHAT!!!!!!!!!!!!! And why the heck do they make you wait until you're done with all your meat to eat kim chi fried rice! That's insane and honestly was terrible. Also why are there apples in the potato salad :( I will say our server was veryyyy nice! Nothing personal on him. Couldn't believe it. Not sure how this place has high stars. Save your time, money, and appetite and go someplace else."
6/13/2022,5 star rating,"Bessssst all you can eat Korean bbq EVER! My boyfriend & I love this place, it's our go to spot & the only one we go to! It is a little pricey, but it's worth the hype I promise. It is always a long wait after 5pm  & on weekends. The longest we've ever waited was 2 hours, rookie mistake. We now know what times to go! The waiters are quick & very attentive. love it here!"
