date,rating,review
6/13/2022,5 star rating,"I'm not sure what else I can add to this place but it's good. It's a simple place, with a simple menu - you choose the meat that comes with the beef bone soup and you eat it with rice, and it's amazingly delicious, hearty and healthy. Love the tripe there, spleen not so much. Kimchi is great there too. Sometimes you get a kind waiter sometimes you get a possibly fierce one but you come anyways because it's that good.Oh don't forget to add the salt. It makes all the difference!"
6/2/2022,5 star rating,This place has been my go to for Seul Lang Tang. I first had this in Korea back in 2017 and have been hooked ever since. I live in the Bay Area. This place is a must for me everytime I visit LA. The Seul Lang Tang has a very strong meaty taste.I hope to come back here soon.
6/2/2022,3 star rating,"I have been coming to this place very long time (8 years). Food is delicious. That time, the cup of beef brisket soup costed $8. Over the time, they have been increasing the price little by little and now cup of soup costs $18. I understand the price increase due to this inflation. However, price is increased but to go container size decreased. They got new paper container and that size is smaller than what they used to serve. Also i just realize after opening my soup container, it is HALF FULL.After paying $18, people not getting the full size food. That is frustrating."
5/27/2022,2 star rating,"So they raised their prices and reduced the amount of meat they put in by half!!!Not worth it and going down hill.Been coming here for 25 years, will only come a couple times a year now. Used to go 3 to 4 times a month."
11/4/2017,5 star rating,Da best you can get is here! We go about once a week here! Free kids bowl too if u ask.
5/22/2022,5 star rating,"Support your local mom and pop stores y'all. This hole-in-the-wall (literally have to go through the back) serves up some hearty and satisfying beef bone soups and meats. Love how there's no pretentious attempt to be something it's not (enough of that from other people and places). The menu is SIMPLE and self-explanatory (my type of menu, I must say). Got the ""seokum"" Seolleongtang, which is basically a mix of different beef parts in your beef bone soup. I would probably not get the spleen and intestine next time cause I realized it's not my thing. People who want to be more conservative with their soup, go for the beef brisket.Soup came with a PERFECT bowl of white rice, radish kimchi, regular kimchi, and green onions.Add in the seasoning (salt and pepper) yourself, but I personally didn't think any seasoning was necessary because the pure soup itself already seemed perfect. One downer? I personally like less fermented kimchi. But whatever, because that is preference and ultimately subjective.Food comes out FAST, and the ladies working there are so efficient and accurate that you start questioning if they just walked past you or if that was God. Just kidding. But in all seriousness, there is no bs here. You get what you pay for, and you get it fast. But that also means that they put the check on your table quickly because there's a line going out the door.In and out. Hungry and satisfied. Some antonyms to describe my experience."
4/20/2022,5 star rating,"Can't even remember when was last I visited Korean Town with friends!! It feels so good to be back with an old friend to cruise around and eat around. Today we visited this well-known breakfast spot for most Korean in town named-- Han Bat Sul Lung Tang, located on the 5th St. in Los Angeles. Street parking is available but limited, we arrived around 9:30am and there were still a few spots open on the curbside in front of the restaurant. Very friendly and welcoming staffs, we are quickly seated and served. There are roughly about 20-25 capacity for indoor seating, everything is nice and clean. They accept both cash & card payment. We get the kimchi and kimchi radish with two bowls of rice to start with and within 5 minutes, our delicious ox bone combination soups are served. Here I present their top one choice on the menu-- Sul Lung Tang with Seokum(aka. mixed).Seokum means mixed and it comes with beef brisket, flank, intestine, tripe & spleen and tongue. It comes with a big bowl of warm, slow-cooked beef broth with all the fresh and delicious ingredients in it, on the side there are salt and lots of fresh-cut green onions for self-serving. The soup is so creamy with layers of flavors, it fills up every corner of your mouth and that is very satisfying. Imaging in a cold morning, this nice and warm bowl of soup will definitely bright up and warm up your day. Highly recommended if you are in the area for all LA foodies."
4/26/2022,4 star rating,"Came here on a friend's recommendation on a Thursday evening and the place was busy but we were able to get seated quite quickly. The space is cozy and overall seemed like a very homey spot to eat. Their menu isn't *huge*, but if you're craving seollongtang then this is a great place go to.The service was quick and super efficient. Our orders were taken as soon as we knew what we wanted and the food came out quickly as well - the portions were good too and I enjoyed the quality of the soup as well as its flavor. The kimchi was great too! The only thing was that the price definitely seems to have changed due to the pandemic ( I overheard a few complaints ) so that's a bummer. $16 for the soup seems a bit much, but it tasted good and it was worth at least a try. I probably would come back if I was ever craving it and I was in the area - the experience overall was super nice!"
4/18/2022,5 star rating,"We came for breakfast. This was on my bucket list for our trip out to LA, and it did not disappoint. The staff were all very friendly and there was hardly any wait for our food. Everything was delicious! We all chose the mixed bowls. The taste of the broth was so incredibly rich and deep. I only added a bit of salt to mine. It was easily one of the best things I've ever eaten in my life. My sister did mix her kimchi in, and it was also really good, but I just wanted to savor the pure flavors separately. All the beef parts were super tender and rich. I'd highly recommend the mix of meats if you're not squeamish about eating different organs. Highly recommend this place if you're anywhere near Koreatown!"
4/1/2022,5 star rating,THE MOST AUTHENTIC SOUP EVER. The moment you walk in you know this place is dank. Menu is so simple but it hits home. The beef is probably the most tender beef I've ever tasted. The soup is so rich so warm -- so good for when you just want to eat something and go ah that was so good. We came here on a weekend night no wait!! PARKING: - there's a parking lot right in front of the back door entrance
