date,rating,review
7/14/2021,5 star rating,"When I heard vegan chicken sandwich, I wasn't sure what to expect, but I was excited that this was possible to finally try.I went in to the store & after deciding, I got their Nashville chicken sandwich at a level 2 for the spice. I also saw they had many options for their sauces that were all made there. I got fries and a lavender lemonade as well to go.The sandwich was indeed fire! It packed a punch even with just a level 2, but it was crunchy at the first bite and consistent with the flavor and texture all the way through. It seems like a smaller sandwich but with the carbs & seitan, that sandwich will fill you up.I'll be back here when I'm in the area!"
3/7/2021,5 star rating,"Just happened to stumble across a post stating that they were going to be in San Diego and couldn't resist to make a quick stop and man I was literally blown away WOW. The flavors were insane!! Whatever they're doing they definitely got it right!They had ran out of the Buffalo sauce by the time I got there so they made my sandwich a ""low"" heat Nashville and let me tell you there was nothing low about it but ya girl can handle the heat so I loved it. On to the Mac and cheese wow delicious I'm pretty sure I'll be dreaming about it until I can have it again lol.OVERALL, you best believe whenever they plan to be in San Diego I will be stopping by! :) keep up the good work!"
2/5/2021,3 star rating,"I liked the Chick'n & Waffles. Rating might seem low, but this was way better than my last order. I've come to the conclusion that I'm not a fan of vegan chicken since it consist of Tempeh, and that's OK. The crispiness and seasoning of the 3 piece was on point though!!   I had to warm up the waffles which is completely fine since I had this meal delivered to me through DoorDash, and it was good. This is a classic food combination and something I enjoyed. I didn't like the butter with the waffles, but the syrup did taste mighty fine.  Overall: I wouldn't get it again, but I didenjoy this option of food for my dinner compared to my last experience."
1/22/2021,2 star rating,"Whewww, I can't catch a break with giving out these low ratings. Haven't had a 5 star review since December (haha)（＾~＾) (sad face)   To put it short and simple, this meal wasn't for me. The 'Nashville Chicken Sandwich' had the spicy sauce dripping out the untoasted buns, pickles, coleslaw, and arugula, but I honestly didn't care for it. It wasn't terrible, but a bit under being mediocre for my liking. I ended up not finishing it.   The 'seasoned fries' were a bit too potato-y, could have been more crunchy than soft. The seasoning was just salt, no other seasonings were tasted on my pallet.Overall: Wasn't for me, but I might crawl back and try their 'Chicken and Waffles'."
1/8/2021,5 star rating,"The BEST vegan Chick'n I've had in my 4 years of being vegan in OC no cap! Their breading they make is amazing and the inside of the chickn is not like a lot of other places' spongy seitan. Original Herbivores is stringy with layers and is juicy, not dense at all like how a lot of other Seitan style chicken can be. Many restaurants/pop ups have the Chick'n breading down but hide the insides texture with it. I've had to stop ordering Chick'n sandwiches from other places until I see a picture of the inside for this reason!  But Original Herbivore neverrr dissapoints in texture!I've posted some of their pictures from their Instagram here so y'all can see what I'm talking about!Their morals are on POINT too! Definitely people you want to be supporting with how transparent they are about important issues!Will definitely be ordering from y'all again soon! Thank you!!"
3/2/2021,3 star rating,"After following their food truck's weekly locations on IG for awhile, I was so excited when their schedule coincided with mine at Vegan Depot I.E. in Corona! I grew less excited during the 30 minute wait (there were around 8 people ahead of me in line). Once I got to the front, the service was warm but they didn't seem the most organized, needing to double check someone's order and giving me the buffalo sauce last minute. But the food came out quickly, looking and smelling amazing!!- Famous Chick'n Bucket (Original): $14: it was okay! The crinkle cut fries were fine. The chick'n breading was fabulously crispy and seasoned but the inside was bland with a vague tofu-like taste and slightly rubbery texture. I was hoping for more umami flavor and didn't find mine to 'shred'. Still, it wasn't overly greasy or salted and felt almost healthy. This was my first time trying seitan - maybe it's just not for me.On another note, I realize that there are many hidden expenses to running a food truck, higher costs to making vegan specialty food, and that tax and tip were included in the meal price. However, $14 for a relatively small portion of 3 chick'n pieces is a price I'd only be willing to pay once in awhile. All in all, I don't regret trying this food! Their fried chick'n fell below my expectations of rivaling real chicken, but was pretty good for what it was."
7/3/2021,3 star rating,"I was excited to try this from all the IG hype. There was a long line, but we ended up getting the regular chickin bucket and the fried chickin sandwich. It was pretty good but we were kind of offset by the service. I know they're busy but I'd hope for better service. Overall it's pretty decent, flavors are all there and decent!"
11/21/2020,5 star rating,"I've enjoyed Original Herbivore in small doses in the past at event (the fourth of July last year, Vegan Sundays/Vegan Exchange LA, etc), but today/tonight was my first time being able to really take it all in via their food truck in Sherman Oaks on a Saturday night. I know the standing location that will be in the area is currently under construction so this is a nice alternative in the meantime.My first time trying a bucket rather than one of their savory sandwiches and I'm in love... They have amazing dipping sauces, however I must convey that having my order tossed rather than accompanied with dipping sauces on the side was more than worth the extra buck and something I highly recommend... Especially with Buffalo, BBQ Lime or Jerk... Though all amazing.YES my hands got sticky, but that's what sanitizer is for! Treat.Yo. Self!A three piece is great for one person and pretty filling but one more strip would have sent me over the moon because it was so great. Aside from their chick'n (everything 100% plant based and vegan) they also do tots as well as fries pretty well, an incredible Buffalo Chick'n sandwich, waffles and wingz.... I haven't had the mac & cheese but have only heard good things... Not everything is available on the truck as to be expected... But great things are coming soon.The S.O. food truck spot was very close to the store front... Like mere feet... Just off of Ventura Blvd and Allot Ave between Woodman and Fulton... literally next to Starbucks. I managed to park pretty close by with little to no issues off Ventura but would recommend parking off a side street if street parking is full. My order only took about fifteen minutes. I could have sat at Starbucks and enjoyed my meal with plenty of outdoor tables and chairs and staff pretty on top of keeping things clean, but I enjoyed in the car and at home... Finger licking good style.I have been to the Koreatown location, but unfortunately it was on a Monday and I wasn't to familiar with the hours.... But hopefully can revisit there one day and get the full chain experience.Definitely check it out and their Instagram page for updates and food truck locations."
11/25/2020,5 star rating,"Dank vegan fried chicken. Seitan based, with the batter tasting seriously good. The chicken is extra crispy on the outside, and incredibly moist on the inside. The chick'n even shreds. Its freaking good. If you have ever tried Temple of Seitan/Temple of Camden in the United Kingdom (London), their fried chick'n reminds me of it, which makes me incredibly happy because I have been longing for vegan fried chicken like theirs for so long, and finally got to have it here in LA! My only thing is, I'd probably go broke if I were to eat here regularly lol. The price point is a little on the pricy side for me right now. It's definitely nice to treat yourself with this once in a while though."
3/28/2021,4 star rating,"holy fried chicken!! ofc I had to try while I was in the area, and yasss worth a try!! Easy ordering through Yelp/gh Chicken bucket comes with fries or tots and one sauce. The fried chicken itself: chewy ?seitan based I believe, super crunchy breading, well seasoned. A little on the greasy side so I could only eat like 2 pieces with the tots. Ranch was creamy and good but a little more would've been nice Nashville hot chicken sandwich: ok warning it is super super spicy!! It definitely creeps and it lingers til the day after if you catch my drift. It was amazingly delish but if you have plans the next day, maybe try a less spicier flavor lol Chicken and waffles: the waffles were super crisp and had a light vanilla scent, comes with butter and syrup YUM, we air fried both later and we enjoyed this All in all def delish if you're craving fried chicken vegan or not!"
