date,rating,review
4/18/2022,4 star rating,"Please call in prior before ordering to avoid the wait, it could take a while but it is definitely worth it. I loveeeee this place so much, I can't even handle spicy food very well but mild is perfect for me. The fries are so bomb and so easy to reheat for leftovers. Best places to get chicken!"
5/23/2022,1 star rating,"Sometimes the Instagram posts made by this business are cringey, oh and if you leave negative feedback you'll be attacked verbally lol.Thanks but no thanks.Plenty of other black businesses I'll gladly support that treat both the customers and EMPLOYEES well.Probably a reason you're hiring, even employees you paid got fed up ‍"
3/7/2022,2 star rating,"More hype then anything.Food is decent but when it comes out to almost $20 an item I expect more.Had almost every item by now and eh it's just eh.Usually trying it with a friend who's ""heard of it"" so I humor them."
4/20/2022,1 star rating,No taste Low quality ingredientsWay overpricedShady people More social media hype!Don't waste your time going
3/5/2022,1 star rating,"Have you ever felt defeated after taking a bite of food? Like you literally did your hard core research on a restaurant, checked out the Instagram photos, traveled to the place - paid the money - waited for the food and then went to the car so you can get a little bite of the food before you pull off? And the moment you open that box, let the smell hit your nose and feel your mouth salivating and you take that first bite - and you know what you taste? PURE DISAPPOINTMENT. Yes. that is what it feels like to eat at ""IG famous, no flavor"" It is just no. they should be ashamed of themselves. Charbroiled chicken that tastes like Chili's fajita chicken. The tortillas are store brought and not the fresh ones either. Extra large vegetables and whatever that special sauce is? Smells like shrek's toe jam. Bruh quit playing with people's money. Paid all that money to be disappointed. I tell you what - who ever owns this joint is banking on people to come in from out of town to keep them in business. Because bruh - ain't no way someone who resides in California is going to allow this to be passed off as Mexican food. Ain't no way. You might as well go to Chilis - get the fajitas and take yourself home - save you the $45 headache you will get. Just -- SMH. literally - take a bite out of this meal and you will be shaking your head. Shaking your head at the money you spent, the time you drove to this establishment, and shaking your head every time you see that transaction on your venmo transactions. Spare yourself the headshake and go get something else."
9/19/2021,5 star rating,"Will travel for AMAZING food! I swear, I need to get that saying tattooed on me, because it is the truth! My brother has been following All Flavor No Grease on IG for years and we finally made it to the west coast to show Chef Ocho some love! This truck quickly made it to my top five favorites, easily!I ordered the triple threat quesadillas which was the best quesadillas that I have ever eaten! The sauce that the meat was marinated in was amazing and their signature green sauce was a hit! And these weren't regular-size quesadillas, they were huge! I almost didn't finish my entire order, but your girl ain't no lightweight, so I was up for the challenge! Topping it off with a tasty and refreshing red kool-aid was the icing on this delectable cake!!What made the trip even more enjoyable was the fact that we were able to meet Chef Ocho! He is a great guy with a wonderful personality. He welcomed us with open hands and thanked us for visiting his food truck. Best believe All Flavor No Grease should be on your must-do-list whenever you find yourself in Cali! Trust, you will not be disappointed!"
10/16/2021,4 star rating,Saw the plug on Vice and wanted to support them. The owner had so much charisma and passion for his food we had to check it out (plus his quesadillas looked bomb!).Quesadilla was okay but not sure if I'd pay $18 for a 2 meat quesadilla again.
3/21/2021,4 star rating,"I've been a fan of AFNG for quite sometime now but I've only recently had a chance to eat the food. I drove 45mins to eat at the food truck. It wasn't until I was in line that I discovered they don't take credit/debit. Luckily they take Venmo, so I had to search and pay that way (with a line behind me). There were a lot of people waiting for food and waiting to order. We waited about 30 mins after we ordered until our food was ready. We ordered the 3 meat Chicken/Steak/Shrimp Quesadilla and the 2 meat Steak/Shrimp burrito. The quesadilla was amazing, had awesome flavor and was one of the best quesadillas I've ever had(also very messy). It was $20 but I could justify it with the flavor it had. The burrito on the other hand was disappointing. Since it was 2 meat, it cost $15 but didn't have as much sauce as the quesadilla. Luckily we paid the extra $1 for green sauce to add to the burrito but even then, it was below average. The green sauce is very tasty! ...but I wish they had salsa. I would come back for the Quesadilla."
4/4/2022,5 star rating,"As advertised, simply great. I have no idea how they manage to pack it with so much flavor, yet no grease. Just a heads up but they did not take credit/debit, but I have venmo so no issues there. Get extra green sauce for sure!!!"
1/11/2021,5 star rating,"My boyfriend and I have watched so many YouTube videos on this place and were so excited to finally be able to try it! It did not disappoint at all, only thing I wish was that we got two so I didn't have to share lolWe ordered the Triple Threat Quesadilla which comes with Chicken, Steak, and Shrimp for $20. No pico since we both don't like tomatoes, but I didn't feel like it was missing anything, it was flavorful enough as is! The sour cream and green sauce gave it the freshness it needed to contrast with the richness of the meats and cheese. My favorite protein was the shrimp, I don't know how Chef Ocho gets that bright red color on them but it's DELICIOUS.Next time we come, I'm ordering one for myself and getting an extra side of the green sauce :)"
9/13/2020,5 star rating,"So. Darn. Good. One of the best quesadillas I've had in while.Their name is legit...all the flavors...packed with meat and cheese, but no grease. How in the world is that possible!? I had the chicken quesadilla and it was just bomb.I'm ready to eat more from them! I'm going to be chasing this food truck with a quickness."
8/9/2021,5 star rating,"I LOVE this food truck!! I've been several times and the food & service has been consistently good. Yes, you'll have to wait in lines, but they do their best to keep it moving. I recommend getting there early because they sell out quick."
9/1/2021,5 star rating,So much flavor!!!!! The 3 way quesadilla is my go to entree! worth the drive! Worth the wait highly recommended!
1/31/2022,5 star rating,The Quesidillas are so good and definitely big enough to share. Great energy' as well.
6/30/2020,4 star rating,"So I was around the area because I had a homie who was working on my car for the low and saw this food truck. I gave it a try and damn it was bomb af. It was like Mexican food, but still it's own thing. The quality of the meat, especially the shrimp, was delicious. It was $20 bucks which was pricey, but I know it's a food truck so I understand. Totally worth every dollar. I came from kinda far (~40 mins), but I totally would come back for that again. I'll definitely stop by again if I'm in the area. I was told the owner wasn't there at the time, so I wanted to shout out to the owner, big compliments man. Your Triple Threat Quesadilla was great."
9/20/2020,1 star rating,"So I see this truck today @ an event and stop by because I was famished after work and wanted to try a chicken burrito. I reiterated that I wanted the chicken well done and the cashier confirmed. I paid and waited. Another guy had been watching me wait and then started to close down the front windows on the van. He left one open and went back in the truck and came back out 5 mins later attempting to close the windows extremely fast and asked if I was waiting I let him know yes and he reached in the window, questioning was my order ready and swiftly pulled back a burrito fast.. and handed it to me with no bag.. and others had been getting their orders before me which was strange and also received their food in a bag.. the main part is I don't understand why I received mystery meat. And why it was still uncooked. The event seemed to be closing but they agreed that they still had burritos and not tacos. That should have been another red flag but I stupidly wanted to support. I'm not sure if it ground chicken or beef but I don't eat beef and this is trash. I was played and rushed when they could have easily denied the business if they could not uphold the standards at the moment. The guy was even rushing the other after I requested a bag to put the burrito in. Smh. This seems so fraud. Like why me. Why do we lie and steal from each other for no reason or half -do something just because you want to take extra money from folks it's so weird .. why play with people food.. but they throw the phrase 'foodminati' as in I'm guessing 'illuminati.. and only fraud energy would suffice if that's what they want to be attached to, a secret organization to trick folks, yeah there you go. I want my $8 dollars back for this burrito because it's not even chicken and I'm guessing it's extra. But I never got it.. Also yelp gave me a hard time adjusting this post with more pictures ...."
