date,rating,review
3/12/2022,5 star rating,"Tracey's is on Western just south of Exposition is a nondescript joint with a knack for creating delicious Belizean cuisine. Everyone is really friendly and eager to explain the food here. Unfortunately, the dining room isn't open yet, and the aromas on the drive home make you want to pull over and dive in. Stew Chicken: The dark meat chicken is slowly cooked in a brown stew of spices, including annatto seed, allspice, cinnamon, and clove. The spices provide a deep peppery flavor. A Creole meal isn't complete without  beans, rice, and potato salad. The stew beans are cooked until the big red kidney beans have an almost mashed consistency and are a bit peppery. The white rice is a bit al dente, which is a nice textural contrast to the soft beans. The potato salad is packed with flavor consisting of baby potatoes, carrots, vinegar, mayo, and black pepper. There are also a couple of plantains. The extra stew gravy overflows into the beans and rice, boosting flavor wherever it flows. Parking: You need to turn off the main streets and park in the neighborhood. Dining Area: The tables are currently closed off, but I was told that they may reopen this weekend."
6/12/2022,5 star rating,"This is my parents spot for authentic Belizean food and I honestly can't argue.  The food is delicious I typically have the stew chicken (white meat) but I tried the Oxtails today and got my dad his usual Stew chicken. I love that they have you check the plate before leaving! This a a big thing for me, you can voice your concerns on the spot if you had any I appreciate that.  The Oxtails is a must do from now on I loved it just the right amount of seasoning and spice not overly spicy, they could trim the fat a little more but nothing to complain about still delicious.  My only complaint would be usually on Sundays there is no desserts left besides Jam rolls and bun lol listen I want bread pudding, tart and meringue pie! Other than that the gentleman that help me has awesome customer service I was quite impressed! Tracey's isn't  near me but I try my best to make it as often as I can, it's worth it."
6/8/2022,5 star rating,Definitely coming again and would recommend to anyone trying Belizean food for the first time
5/26/2022,5 star rating,Loved the food here. The staff were generous as well and I highly recommend this restaurant!
6/6/2022,5 star rating,Great staff nice place to relax and eat breakfast lunch or dinner food is excellent feels like moms cooking once u taste it I recommend trying this spot if u like at home cooking
6/29/2021,5 star rating,Tracey's has been around for more than a decade and i have been a customer for 15+ years. Food is always on point.the guys in the front are always so friendlyTheir breakfast is good as well fry jack cheese and beans are my favorite or fish. Oh wait you gotta try their beef patties so good. I like mine with potato salad that's just my pregnant craving. This is my to go spot. U gotta try em
6/16/2017,5 star rating,"Getting off from work and i craved some rice and beans. Called in my order and as i walk in it was ready to go. I love eating at this place. Been coming here for many years. Great service, the guys are always very helpful. Highly recommend! Must also try coming for breakfast. Im in LOVE WITH the liver, omg my dad would make it and i hated it. One day my mom got a plate and told me it was beef, and later on i come to find out it was liver, go juicy and tender. Will be coming back for that crab soup. Ohh and now they got fresh beef and chicken patties AWESOME! Gotta try em."
8/10/2021,5 star rating,"If you want oxtail/stew chicken I suggest coming between 12pm-2:30pm otherwise you might be out of luck. YES ITS THAT GOOD. Regardless of the line/lack of parking/short window of opportunity to get food I'm ALWAYS gonna come back. The food is delicious and consistent. I think it's funny that people are saying the employees are rude, they're not rude at all they just deliver fast and quality service without the extra frills, which I can appreciate. Simple menu, you walk up, order, and they go back and grab your food immediately. I actually think the employees are really nice and obviously work very hard from open to close."
4/29/2022,5 star rating,Love traceys.  So authentic and go in the morn when the have the Johnny cakes!  Love their chicken too!
9/28/2021,5 star rating,"The food is deceptively simple and delicious. Plantains, oxtail, beans and rice, potato salad. So good."
2/24/2022,2 star rating,Food good but they stingy asf with that stew chicken i caught on to what they do they grab a chicken breast and break it all down like its a lot. Nope it dont be. Ever blue and i mean every blue moon u might get a nice hefty plate
6/17/2021,2 star rating,"I will never go here again.. I felt like I was bothering the guy at the counter.. No hello, Welcome anything.. When he finally realized I was there. He stood up and said Yeah.. I asked do you have Oxtail.. Yeah... Then..Is that all you want? Went in the back came back put my food on the counter. At first I didn't think he was even going to give me a bag.. The last thing out of his mouth was 20.00.. No Thank you.. Just nothing.. I said Thank you.. Still nothing.. Just handed me my food.. I should've just left and went somewhere else.. Customer service makes or breaks a business.. I try to support Black Business but they'll never see another dollar of mine.."
5/30/2021,2 star rating,Food is good but horrible customer service. I waited at least 10 minutes before I was able to order. Multiple employee came to the front and greeted me or asked if I needed anything. Don't expect to be treated as if they appreciate your business.
6/29/2021,1 star rating,"Got the oxtail plate and was really disappointed , Pretty much just paid 20 dollars for beans and rice and barely any meat. Also the guy working there was so rude and just said 20$ no hello welcome or thank you ."
3/28/2020,4 star rating,"One of the best ways to get to the heart of a culture is through it's cuisine. This is the type of food that literally puts you to sleep after eating it because it's so good and fulfilling. I've tried all the Belizean restaurants in LA and by far this little gem is the best one. So why the 4 Stars? Cons-Customer service is a huge part of making your business thriving. They do not take phone orders, wait what? Yes, it's true. I know that food should be held at 140 degrees but we call because we want to reserve our food, they run out of food after a certain time. I don't mind waiting for my food to cook, I just want to ensure that you have my order. There's no designated parking structure. Parking is available on the street which is always full on the weekends. Pros: I've tried all the Belizean restaurants in LA and by far this little gem is the best one. The food is Authentic Belizean cuisine. It's fully prepared by the owner Tracy herself. She's an awesome Chef. The signature Belizean dish is: Mixed Rice & Beans with Stew Chicken, Potato salad made with Heinz Salad cream and fried ripe plantains. Very delicious. The flavor is in the rice & beans . Tracy's makes it just right. Oxtail w/Rice & Bean cabbage salad & fried plantains very delicious. Well seasoned oxtails every time.Chicken tamales Belizean style delicious as well.Prices are a little steep but, which Caribbean style food isn't. When I'm LA, I always stop by and take their delicious food home for the family."
10/19/2015,4 star rating,My family and I have been coming here  for over 10 years. Best food EVER! Belizean Food ROCKS!
8/16/2021,5 star rating,"I can't wait to visit LA again, I ate at so many places while visiting for 4th of July weekend with my fiancee, but this place stands out compare to the other restaurants we went to. We will definitely be stopping by again soon. Their customer service was top notch, and their food was so tasty, every bites left me wanting more."
6/17/2021,5 star rating,Delicious stew beef and coconut tarts. Highly recommended. The portions are also massive. One plate is definitely enough for two.
12/20/2019,4 star rating,Enjoyed my oxtails entree dish with potatoes salad. Yummy...tried the beef stew from my sister's dish and it was good too. Didn't have a chance to order the chicken because it was not ready and I had an event to attend to....
2/4/2018,5 star rating,"Writing this while in a food coma so I apologize for any errors This was my second time having Belizean food. The first time was an amazing home cooked meal. Eating here today, I got the same down home/home cooked vibes. I had the chicken meal with rice & beans, potato salad, cabbage, and plantains. Everything was delicious. The potato salad was probably the best I've ever had--not too vinegary, chunky, or sweet & the cabbage was super fresh. The chicken literally fell off the bone and was seasoned well. There's enough juice left over, so you can dip your chicken or soak your rice in it (which, by the way, is really tasty and they give you so much of it). I ate around 11:30-12 and will likely be fully til tomorrow. I still have quite a bit of rice and beans left over that I can't wait to finish."
8/25/2021,5 star rating,"The line is always out the door and I see why!!! The food is definitely delicious and worth the wait! I order stew chicken with rice and beans, cabbage salad and a bun on the side. Next time I visit I'm gonna try the oxtails"
6/12/2021,3 star rating,"The fish was super delicious, but the rice and beans had no coconut flavor whatsoever. You would expect with a $53 order the guy will give you some sauce with it, but he did not. One time he accepted a credit card the next time he said they only take debit (make up your mind). Chicken was ok."
3/20/2019,5 star rating,Very good food !Hubby and i both had the chicken stew with the beans/ rice.One with cabbage one with potato salad.Cabbage was amazing- potato salad was good too - different than any we ever had.Rest of the food was excellent. We even had the lemon cake.
8/2/2020,4 star rating,"Food was hot and good!!! The oxtails were full of flavor, the red beans and rice were a little dry but I try not to complain about the little things...not a long wait of course because there was no inside dining. The man at the counter was very personable and had a great attitude!"
5/27/2021,5 star rating,I cried a little just now because I am pregnant and too damn huge & exhausted to go pick up and my boy friend leaves work too late to stop by. I wish they could deliver!!! the food is ALWAYS amazing and delicious.
4/11/2021,5 star rating,Great traditional Belizian food. Staff is always friendly and food is great. Fast service for to go food. Small inside dinning.
