date,converted_date,rating,average,review
12/30/2005,20051230,5,5.0,"Lines around the block almost every night of the week for this historic Harlem fish fry. The best fried fish in NYC for sure...not to mention great fried shrimp! No where to really sit, although I think recently they opened up a small dingy dining area. This place is definitely a take-out joint. So head up there on a nice summer day and then take your fish to the nearby park benches or better yet, to St. Nick's pub and sit in their back courtyard and enjoy your fry with a cocktail or beer. If you live in any one of the five boroughs, you're not a real New Yorker until you've stood in line for Famous Fish...nope, you're not!"
5/22/2007,20070522,4,4.5,"It's already been said but if you happen to be up near Sugar Hill/CCNY and you have a craving for fish, this is the place to go if you have time to stand on the line. I have seen the line snake down the block and personally stood on it impatiently for over half an hour. The place is not appealing in any sense in terms of ""ambiance"" but the fish and shrimp pulled hot out of the grease is where the charm lies. There is lively music blasting from the radio and a constant banter between the people who work there. Occasionally someone from the neighborhood will come in and provide some comic relief and other times the tight confines and waiting will push someone over the edge and there will be a quick heated exchange of words. Then they will get their hot basket of seafood and that will end that.  As someone already noted, dress your food with hot sauce and they also offer tartar. Personally, I like some lemon juice with a bit of hot sauce."
7/28/2009,20090728,4,4.33,"There aren't too many places to eat in Sugar Hill, so to have something like this place is a godsend. Unfortunately, because it is deep fried food, I can't have it too often. It it delicious nonetheless. I normally opt for the combo with fries with the bread and split it with another person. Very filling and delicious!"
8/17/2009,20090817,5,4.5,"My friend put me on to Famous about 7 years ago and I haven't looked back. Let's be clear. . . . This is not the place for the fanatical gym rat rocking the heart monitor and pedometer who calculates his BMI after every meal. Famous is about tasty, simple comfort food - el fish and chips. Yes, it's all deep fried in vats of oil and coated with a tasty breading that absorbs all of it. Delish in moderation (I will not be held responsible for climbing cholesterol levels and resultant high blood pressure once you become addicted)! This is the perfect spot for a hearty (portions are generous), inexpensive ($5-8 depending on order) and immensely satisfying meal after a late night of partying or a quick afternoon snack in the summertime. Lines can be long especially in the summer but worth it. NYC southerners don't fret - the rawkus crew of cats on line are not interested in you or your purse. They just want to eat. Besides, one of them is probably a DT from across the street because they love Famous too. Cramped and hot without tables this place is strictly take out (but a quick stroll down the avenue and you can park yourself in St. Nicholas Park which has been lovingly re-landscaped). Believe the hype that Famous is the best and most authentic fish and chips spot in NYC. Enjoy!"
8/25/2009,20090825,4,4.4,I've been away for 2 years and lord I was craving some of this fish fry today! It's delicious and cheap. Worth the wait and always treated me right.Make sure to put on your sauces there and get the bread.
8/31/2009,20090831,3,4.17,I don't get it. The french fries were pretty disappointing and soggy and the fish was just ok.
5/9/2010,20100509,5,4.29,Lemon and hotsauce if you like it! You will never be disappointed!! Gotta love a place that SPECIALIZES in something. Why sell anything more than fish shrimp and chips w wheat bread if you have a line out the door. We all know what we came for!!!
6/2/2010,20100602,5,4.38,SO GOOD ! right next to my subway... i love it. definitely try this place out- there's always a line out the door!
7/19/2010,20100719,5,4.44,"...I couldn't even believe the size of the sandwich. Not one or two filets, but six, maybe eight? I lost count. Each one, crackly crispy-skinned on the outside, beautifully seasoned, wrapping some nicely firm and flaky white fish, clean with flavor. Soft bread assists each chew and swallow while creamy tartar sauce bright with finally chopped pickles added the appropriate amount of spark for my tongue's enjoyment...."
10/10/2010,20101010,5,4.5,Had a hankering for some fish since trying the amazing Wash DC place Horace & Dickie's in the down down downtown area. I have always been looking for a fish and chips place in NYC other than the typical Chinese fake fish and chips markets now I found it. The place is TIIINNNYY with sometimes long lines but the fish is a close second to Horace & Dickie's. Even the tartar sauce is not the typical blend but their own recipe. Cash only. Only negative pertaining to the food would be the high price and small portion of the only shrimp basket even though they are outstanding as well. Long lines are to be expected because they are constantly cooking up fresh batches. DO WATCH OUT FOR BONES.
