date,converted_date,rating,average,review
1/12/2017,20170112,5,5.0,"Just had dinner here with my girlfriend after passing by while walking my dog! Menu looked great & the music had smooth reggae blasting. I ordered the jerk chicken while my girlfriend ordered the oxtail. Loved the food & also loved all night happy hour! To be honest that's what initially attracted me to try the place out. Strong tasty drinks with well prepared food! Prices were fair. Happy Hour was $6 well house drinks and beer along with $8 for their ""house punch"" (which you should definitely try). Hostess was super nice & from what I read she's the owner too so it shows she cares about her business. I will definitely be returning!"
1/12/2017,20170112,5,5.0,Kingstons is the new GEM of 116th st! Authentic Jamaican food - like my grandmothers! Interior is sleek and modern. And the own works as the bartender so the service is warm and timely! Will be coming back!
1/14/2017,20170114,5,5.0,"Came to this little piece of island with heaven with my momma. She's the one who wanted to come for the ackee and salt fish. She's originally from St. Croix, and her favorite dish is ackee and salt fish with jonny cake. (Something you can't really find to eat.) This place has my moms favorite dish and a lot of authentic options for island fooders who are looking for something other than your standard jerk or curry. This establishment serves a complementary cocktail with its brunch entrees. The ackee and salt fish was amazing and the jerk chicken with caramel waffles was great! The rum punch is recommended but they have a great selection of drinks and during dinner there is an all night happy hour. They play reggae music! And the interior is very sleek with island vibes. The woman bar tending is amazing and very hospitable! The only con I have is that it is sometimes cold inside but an order of jerk will solve that."
1/26/2017,20170126,4,4.75,Finally a Jamaican spot close to home . Had the Rasta pasta and it was pretty good. Not as spicy as I was hoping. Oxtail was delicious. The drinks are the best part of this place. All of them are delicious and they aren't cheap with the alcohol. I definitely recommend and I look forward to the menu expanding. Can't wait!
1/27/2017,20170127,2,4.2,"This is my second time visiting Kingston. I must say that the food is delicious (portions are too small though) but the wait time is too long. The place is understaffed. Seems like the one lady is doing the bartending, waitress, greeting, etc. Most of the time, you are just sitting there waiting."
1/31/2017,20170131,5,4.33,"I came across this new place randomly. It was was super cute, trendy in decor and looked clean unlike most places on the block. The vibe was very chill with great Caribbean music - almost like a tropical oasis lol. The bartender immediately greeted me with a smile and began offering suggestions. I went with the oxtails and rice w/ a side of Festival. The food was good... I have no complaints. I'll most likely go back and sit at the bar Friends and partake in the Kingston wings. Oh btw, the place is kinda small so I would avoid going with a large group."
2/1/2017,20170201,3,4.14,I would give 3.5. Oxtails-good. Well marinated and chewy oxtails. Tender boiled cabbage. Average quality of rice with beans. Jerk chicken-good. Well cooked and seasoned chicken. Sweet fried dumplings that taste like churros. Strong sauce. Small portion. Good presentation. Nice and friendly waitress.
2/17/2017,20170217,4,4.12,"Food was well seasoned, great Jamaican flavor, nice portion, but need more gravy/sauce. Must try house special drinks! Awesome! I definitely recommend this place and will be back :)"
2/18/2017,20170218,4,4.11,"I stopped in early Saturday and sat at the bar. It was not busy in this small restaurant. Thy have a Dj playing reggae, soca, afrobeats. I was greeted warmly. I got oxtails and was pleased. Oxtail is not my favorite dish and I rarely order it out because you never know how much meat will be on the bone. However I felt it was worth it. Rum punch was good. $35 bottomless. $8 cocktails. The person next to me did not enjoy his jerk chicken and waffle (waffles looked like eggo waffles). Cons: had to ask for gravy for my rice, rice and peas didn't have enough peas or coconut milk for me, no curry on he menu (I went during brunch maybe it's on the results dinner menu). Overall, I will give them another chance. This is a new restaurant hopefully they read reviews and improve. Not sure this can fill the void of Negril closing. But they can try."
3/4/2017,20170304,1,3.8,"I never give bad reviews. Check me. But this needs to be said - diners BEWARE! Saddest restaurant I've ever been to. Was really rooting for a good Jamaican spot near me in Harlem. Smallest portions, slow service, unprofessional. Bar tender is doing every job. She was nice but felt bad for her... and she also ran to a bodega mid meal. And one guy waited so long for take out that he got a parking ticket. Here is how it went down. we ordered the jerk Caesar, curry goat, plantains, and a fish entree. They ran out of fish so we got the salmon flatbread. Drink was ok...could have made at home ($12). Salad came out after 40 minutes. And to add insult to injury they forgot avocado on the salad, forgot the plantains outright, gave 4 croutons sizes of chicken on the saddest most boring ice berg lettuce salad. I mean I would expect a better salad on an airplane. Mains took 1hr 20 mins to come out. The flatbread was actually insulting - Bland taste, canned pineapple, and minuscule pieces of salmon. It was actually a shock, a PTSD event where I just couldn't wait to GTFO of there after being trapped for almost 90 minutes ... I will never get my Saturday night back. Then once she handed me a crumpled up hand written receipt, I was thrilled to pay and sprint towards my freedom.I've lived in Harlem for 9 years and LOVE supporting small businesses but this place is a scam unless this was just a bad night or something. Will close in 6 months unless they make MAJOR changes. An embarrassment to Jamaican cuisine. New Yorkers know better."
3/10/2017,20170310,5,3.91,I enjoyed this place great food great service. The rum punch is really good Very good vibes
3/11/2017,20170311,2,3.75,"The food was not fresh, but the restaurant's layout and happy hour menu shows promise. Single-staffed and we were convinced our server was also the chef. $18 rendition of chickn&waffles was just tepid chicken and toaster waffles with caramel glaze on the side. The server was very kind but average meal was not worth the money."
3/16/2017,20170316,2,3.62,Honestly this place has the potential of being a great experience the staff is very nice and the decor very cute drinks was 12 dollars not worth it me and my partner had 5 and was not even buzzed the wings was delicious the skewers not so much we ordered the Rasta pasta with shrimp and chicken it took over an hour to make only for them to give us over cooked noodles whole pieces of chicken wings and shrimp from the bag that u would find in your fried rice from the Chinese restaurant once we notified the server she was very apologetic and took it off the bill overall we won't be returning unless they get a new cook
