date,converted_date,rating,average,review
5/26/2007,20070526,4,4.0,"This place is great. They have all sort's of cakes. Layer, carrot, pound, cheese , special occasion and wedding. All types of pies, My personal favorite is the Lemon Iced Box. Standard pastries, cookies, even biscuits and rolls. For $3.50 could can get a smoke Turkey and cheese sandwich. There's a place to sit or you can take it with you. Slice all items are available by the slice it's the perfect place to pop in for a treat. The Rugelach is a local favorite and a dozen top's off a dinner like no body's business."
7/23/2008,20080723,2,3.0,Every time I swing by to pick something up they are closed.  Perhaps they need to expand their business hours. It's hard to support a business you can get into.
10/9/2008,20081009,4,3.33,"They were remodeling this summer, so the place had been closed for a while. But now that they're open, it's totally worth a visit. Hands down the best Rugelach I've ever tasted (no disrespect to my Bubbeh or other Jewish Grandmas out there). Buttery and tasty: probably not the healthiest dessert around, but it will surely bring a smile to your face!Haven't tried any of their other desserts, as I'm always tempted to just get the Rugelach ... but someday I will test and report."
3/6/2009,20090306,3,3.25,"This is probably Harlem's best rugelach. Of course, I'm not sure how much street cred that gives the place. Living in [and eating my way through] Harlem, this is the first time I've stumbled across the pastry of Jewish Ashkenazic origin. So, as far as I know, it's the ONLY place in Harlem to buy rugelach. Feel free to e-mail me if I'm wrong. Actually, please do.Although this does not necessitate expertise - like the cookie itself - I am too of Jewish Ashkenazic origin. So, let me preface my review with the following statements: I've eaten my way in rugelach across Williamsburg [go to greens for the ""babka"" (mind you, it's not actually babke - it's kokosh), NOT the rugelach!] and Boro Park. I've tried it in the shukkim [markets] all over Israel. I've sat down and snacked on them with the winter birds of the temperate Boca Raton [bridge, anyone?]. My grandparents pushed rugelach on me like martinis on WASPs. I know my rugelach.So, I was excited to try the ""Rugelach by a brother."" Very excited, actually.It was decent. The outside was buttery and soft without being overly flaky or extremely chewy [a crisp finish, if you will]. Solid texture.  But the flavor? It wasn't quite sweet enough for me - maybe they needed some vanilla. I tried both the standard and the chocolate, and found the fruitiness overpowered the flavors of the cinnamon, sugar, nuts, and chocolate [clearly in the chocolate variety]. These little babies need nurturing and balance.In addition, chocolate rugelach and cinnamon rugelach were not born equally. They should taste different. They have different notes to stress! The chocolate rugelach was too reminiscent of the cinnamon - with a chocolate coating. Oddly though, the chocolate rugelach was noticeably chewier than the cinnamon.Would I go here again if I was craving rugelach? Maybe. It's a convenient location. But, if I do get the craving, I'll probably just trek down to Zabar's. [Or follow Sam P's advice and go to Epicure in the m-i-a.]"
3/24/2009,20090324,4,3.4,"If you are looking for great customer service then you are looking in the wrong place. If you are looking for homemade, quality baked products then this is the right place for you! Don't get me wrong, it's not that the owner is unfriendly, just busy and focused on his craft most of the time. Mr. Lee is a one man operation run by a dedicated gentleman with a passion for baking. You might have to wait a while for him to get to you but when he does it is well worth the wait. The rugelach are about 40 cents a piece and if Mr. Lee is in a generous mood (and you've shown him your best side) he might just slip a few extra pieces into your bag! There is also lemon cake, carrot, cake, and more. Pop in next time you are in the area."
4/20/2009,20090420,3,3.33,"i had the chocolate mousse cake which was good. chocolate cake + chocolate mousse is pretty hard to mess up so it wouldnt be fair to give anymore than 3 stars. something about the place is just not inviting but i didnt care, i had to give it a try at least once. reading the other reviews i guess i'd probably give it more stars if i actually ate rugelach. not sure what its ""supposed"" to taste like but everytime ive tried it ive hated it.  im not going to try it again---nope--not even from a black bakery in harlem. sorry, cant do it."
5/9/2009,20090509,4,3.43,Not a fan of rugelah so don't care but love this shop and support it. It's a grab bag for walk ins but the upside down pineapple cake is the closest to the caribe version I've had in the States. Yum
10/3/2009,20091003,3,3.38,"I got 4 rugelach for a little over $2 so maybe Mr. Lee jacked up the prices. The regular ones were much tastier than the chocolate drizzled ones but DAMN the rugelachs were delicious. If it were cheaper, the rugelachs would get 4 stars for sure."
3/27/2010,20100327,5,3.56,"Lee Lees is a slice of heaven in Harlem. Love, Love, Love Lee Lees. His red velvet cake is my family's favorite; it is now the only birthday cake we ever have. His rugelach are amazingly good -- flaky, just sweet enough... much better than Zabars -- and much less expensive. (And they freeze well-- we buy by the dozen and freeze them.) Carrot and chocolate cakes are delicious. The yellow cake can be a little dry--it's the only one of his products I'm not crazy about. And ""Mr Lee"" is one of the sweetest guys you'll ever meet. Lee Lees is the only business I've ever seen where his customers are constantly telling him to charge more for his food. The birthday cakes are the best bargain you'll find among NY bakeries, as well as the most delicious."
7/20/2010,20100720,5,3.7,"On a sidestreet in Harlem is NYC is a still undiscovered spot for the BEST rugleach. Mr. Lee Lee's bakery is a throwback to the days of yore, when small, quaint places run by independent shop-owners who poured their soul into their product abounded. And make no mistake, this gentleman bakes his rugelach with love, from the crispy, flaky melt in your mouth crust to the nuts and chewy raisins stuffed inside each roll that have your tastebuds screaming --this is one terrific cookie. This is rugelach for those who scoff at calories, diets, who have scoured the earth for good rugelach and have been disappointed. I have read every review on rugelach in NYC and after eating Mr. Lee Lee's cookie, knew I had finally been granted entry to rugelach heaven. Walk two short blocks from the train- station to this charming nook and you will be transported to another decade where time stands still and the only hum you hear will be the purr from your stomach. I was there one afternoon and three older ladies were just whiling away the time, sipping tea and eating their cake. Mr. Lee Lee makes rugelach in both chocolate and raisin; get both, savor the first, be addicted to the raisin. He also bakes Southern style cakes and has a Southern breakfast, with grits. Sadly, Mr. Lee had closed down recently due to a lack of pedestrian traffic. He re-opened after local furor--and many tears from those stomachs that were bereft of his amazing cookie. Put this rugelach artist on the map finally. Your belly will growl with pleasure and you will understand what soul food really means.A word of advice-the master takes his time. Call before you go to make sure he has rugelach. He does not mass produce. He coddles each piece to perfection. So call ahead and ask him to put aside some rugelach if you don't live in the nabe."
