date,converted_date,rating,average,review
10/13/2014,20141013,5,5.0,"This restaurant just opened over the weekend. It has the vibe of a seafood shack. The staff is friendly and helpful about the food options. I tired the soft shell sandwich, it was great! I had never tried a sandwich like this and I must say I was very pleasantly surprised the items are served inside of dough that taste like it was just baked. I also tried the sweet plantains, I will defiantly get a side of these the next time I come in. If you are looking for something unique and authentic, you should definitely try this place out!"
10/14/2014,20141014,5,5.0,"A casual, seafood shack with a friendly staff. Just what the neighborhood needs. So far at Lolo's we've tried the soft shell crab sandwich, the ribs and the gruyere and callilou crab dip--all winners! I'm getting hungry as I type. I can see a lot of meals on their back patio come the Spring. I'd love a few more sandwich choices like a spicy dolphin or grouper sandwich but not on the menu (yet); hey they just opened. Other restaurants in the area, this is what the people want. Take notes: Affordable meals, fast, friendly service in a chill atmosphere. No uptight façades here."
10/24/2014,20141024,5,5.0,"This joint is a real gem. Delicious food, good prices; great vibe, friendly staff. I had the bake and crispy shark with fries... Wishing I was eating one as I type this."
10/26/2014,20141026,5,5.0,"What a great addition to the neighborhood!!! Great seafood!!! Amazing bakes!!! If you are in Harlem, I strongly recommend it. Great service and worth every penny.  I can't wait to go back to Lolo's."
10/26/2014,20141026,5,5.0,"My experience at LoLo's was amazing. Let me paint the picture. I was warmly greeted by the proprietor and staff. I was given a tour of the restaurant and enlightened on the concept. The menu boasts some seafood classics like the jumbo shrimp while other items are unique like the johhny cakes with honey butter. We sat outside in the back patio on a picnic table as we listened to carribean music playing in the background. Are appetizers were mind blowing like the parmesan plantains. Our main course came out slightly after and we ordered the lobster bites and the crab bake. This place is awesome, definitely a great place for date night. Seafood lovers will never forget the experience."
10/26/2014,20141026,5,5.0,"One of the best seafood places I have ever been too. Great service, nice ambience, and simply amazing seafood. Everything is very fresh, clean, and flavorful. The staff is incredibly nice and great in service. The atmosphere is very Caribbean like, it makes you relax and not worry about the stresses of New York City life. I would definitely come here again. My favorite dish was the shrimp steam pot. Fresh jumbo shrimp, seasoned generously and steamed to perfection. Perfect serving size, and excellent taste. Another favorite of mine is the soft shell crab sandwich, truly a sandwich that you cannot get anywhere else. Also on the menu is Chef Ray's specialty corn on the cob, it is just simply mouth watering. I recommend this place to any New Yorker, it's a nice family atmosphere and the owners treat you like you're part of the family. 5 stars for sure!!"
10/27/2014,20141027,5,5.0,"Great food, friendly staff. The owners were on hand to greet us and I found the atmosphere to be quite island like and festive. The food was great. I had the ribs and johnny cakes and my wife had the crab legs and shark. My wife is a tough critic with seafood and she was blown away to the point she almost had a third serving. A true gem to the area. I only wish I lived closer to have it more often. NJ is not that far and I will be back."
10/29/2014,20141029,4,4.88,"The bottom line is; this place is great. the vibe is perfect, friendly staff, good food and they have a great backyard space.We ordered a shark bake, crab bake, shrimp pot, fries and dirty rice. We also had some plantains to sample. Everything tasted great and fresh. I don't know if I was starving and needed a lot of food when I dined here or the portions just weren't big enough. Regardless I will be back here and can't wait until next spring/summer to enjoy the backyard more. Go here and support a new local business that adds something fresh to the neighborhood."
10/29/2014,20141029,5,4.89,"Amazing food, friendly staff & great prices. The conch fritters were to die for. I will be coming back again !"
11/6/2014,20141106,5,4.9,"Stopped by recently and had the crab steam pot, chicken wings, johnny cakes and corn. Everything was great! The food came out fast and we really liked the backyard space. A cool, casual spot."
11/11/2014,20141111,5,4.91,"What a delight to enjoy such amazing food ! The Shark + Bake was a mouthful of heaven, the jerk ribs practically melted off the bone and are the best ribs i've ever tasted by far. The selection of house sauces really blew me away which go well with the Johnny cakes and anything else for that matter. Also tried the jerk wings which are amazing also.I highly recommend Lolo's for true island street food treats.Staff is very friendly & the rustic nautical decor compliments the goodness of the eats."
11/18/2014,20141118,5,4.92,"Having this place open on my block is so dangerous. Went in and had their avocado sandwich while my date had the shark, SO GOOD. We shared both and we're delighted by how delicious and fresh everything tasted. We also got the cauliflower and it was an excellent addition. Excited to go back and try the Johnny cakes/crab sandwich. ALSO, the owner is the sweetest lady. Happy to have this in the neighborhood!"
11/30/2014,20141130,5,4.92,"I've been in this neighborhood now for more than 15 years. This is my new favorite spot. There. I said it. The secret is out. I go for the food (great for sharing with a small group of 2-5 in my opinion so you can order one of everything and try more!), the funky and chill atmosphere, the quality sourced ingredients (I did the research!) and the friendliness of the staff. I went when it first opened and have been back more than 6 times (trying to taste everything and I STILL have things to try!) Tonight I had my go-to Seared Cauliflower- I'm ADDICTED- and the salmon sandwich. Delicious. Every time! I guess I was holding off writing this review in part because I don't want it too become TOO popular.... especially come summer with the backyard outdoor picnic tables, but..... secrets this good aren't meant to be kept! Plus I want the owners to be successful and stick around."
12/1/2014,20141201,5,4.93,"I love the Caribbean feel to this small establishment. I felt like I was back on my cruise and made a stop to eat in the Bahamas. Don't just stay in the front, go past the counter and have a seat, there's even an outdoor area. A close friend and I came here after having happy hour drinks at Harlem Tavern, which was on the same block, steps away. We were tired of the regular fried happy hour food so I dragged her here. Great choice I made!I don't remember the names of what I had since this was like 2 weeks ago. I just know it was GOOD! The sweet potato slices were great, they are cooked then I think baked or fried for a second (couldn't see the grease). The stuffed fries had a subtle taste but we're good and not over fried. Ugh the wings were so yummy you have no Idea. The picture I took should be a bit more helpful. Also loved that when we were leaving, the owner and her crew were toasting, I guess to another great night. That was awesome to witness! Although I moved to the Eastside, Every time I come to visit my mother and sister I'll be coming for a taste of LOLO's."
12/14/2014,20141214,5,4.93,"Amazing. The bake is mind blowing, the fish is fresh and tasty, the price is right, and for now it's Byob."
12/17/2014,20141217,5,4.94,"This is some life-changing shit here, y'all.I've basically tried everything on the menu in the short time that Lolo's has been open (what? 6 weeks now). I think that I've had all of the steam pots, all of the sides, most of the snacks, and the shark & bake. Having acquired this vast level of experience, I can say, without a doubt, that this place is getting it right in all ways and at all times.The seafood has all been super-fresh, the sauces delicious, and the sides -- both fried and fresh veggies-- really flavorful. I also think that the portions are good, as are the prices. The one exception to that is the side of fries ($7), which I think is a bit mispriced, but on the other hand is way more delicious than normal fries. If you want a little direction on where to start, let me suggest the shrimp pot, johnny cakes, cauliflower, and dutty rice. Followed by everything else..."
12/24/2014,20141224,5,4.94,The price and the freshness of each bite shocked me at first. Usually you have to compromise in some area but at Lolo'S I didn't have to. I left feeling content yet not lazy. I ordered a steamed seafood pot of shrimp with the ginger butter and scallion sauce to go with it. I let the shrimp sit for a few mins while my friend and I shared the yummy conch fritters and cauliflower. Both were a delight: the cauliflower had the perfect crunchy freshness. The conch fritters were a surprise because for the first time ever I ate a conch fritter from a restaurant that actually had actual conch meat in it. Go Lolo! Our waiter tied a bib on me and I cracked open my steam pot. Such a delight and great for sharing. Homemade condiments are a must and your allowed to try as many as you want. Seating in the back is nice and cozy. Love the reggae vibe!
