date,converted_date,rating,average,review
12/10/2014,20141210,5,5.0,"This place just opened up in the Hamilton Heights location and I couldn't be happier. I'd just left yoga class and stopped in for a coffee but since it was raining I figured why not sit and stay. The woman at the counter was very friendly and cheery, which on such a dreary day I appreciated. It was mid day so not crowded at all. I ordered an almond latte, which I swear might have been the best almond latte I've ever had and I wouldn't just be saying that, I drink a lot of them. But seriously it was really good! I also got the fruit, granola and yogurt bowl which was pretty standard but the fruit was fresh and the granola was good. Its a cute neighborhood spot and I'll definitely be back."
1/4/2015,20150104,5,5.0,Highly recommend the brunch! The space is warm inviting and the food is so tasty. Our party of four enjoyed all the options including the gluten-free baked goods. Next time we'll come back for the quiche. I loved my Avocado Smash sandwich on delicious grain bread. We heard the liquor license is en route so will come back for more as they continue to grow and fill the niche our neighborhood.
1/4/2015,20150104,5,5.0,"Beautifully decorated, quiet, with a friendly feel. Great New American food with Jamaican touches."
1/10/2015,20150110,2,4.25,"I was really excited for this place to open up in the neighborhood! I live around the corner and was looking forward to not walking to Manhattenville for a cup of coffee. Unfortunately, every time I go there I am disappointed. The coffee is overpriced and its really weak and gross coffee. It tastes like a watered down cup of foldgers., For a small cup of coffee that is about $2.45, the coffee should reflect the price. Unlike the cafe down the street, where the coffee is expensive but it is high quality coffee - this dosent even compare. I am also disappointed that the people who work there are not as friendly or welcoming. The people who seem like the owners are just sitting on sidelines and do not make the effort to make you feel welcomed. The place lacks ambiance and a good vibe... I wont give up on the place (YET) but it needs to improve or its not going to last. Many people in the community feel the same way and I hope they figure out how to make it work and compete with a great shop down the street"
1/13/2015,20150113,1,3.6,"The space is cozy and well-decorated, but the food falls far below expectations. I ordered the avocado, tomato, and egg sandwich, and not only was I surprised by the meager portion, but the price ($8) did not match the quality. Additionally, my girlfriend, whom I love very much, ordered the quiche, which was equally both underwhelming and overpriced ($12). We'd say that The Edge is using its prices to make the food seem like it tastes better and fresher than it actually does."
1/19/2015,20150119,5,3.83,We enjoyed this place a lot. The ambiance was soothing and relaxed and their food was delicious. We had a couple of the Jamaican dishes and they were amazing. The special of the day were Saltfish fritters which were made to perfection. The drinks were also very good and the kids got their hot chocolate kids temperature which they always appreciate. Highly recommended!
1/20/2015,20150120,4,3.86,"My wife and I along with a friend ate here the other day for the first time. This is a new establishment that's part of the initial wave of eateries popping up in the Hamilton Heights/Sugar Hill/Strivers Row area in response to the changing demographic. I say this because it requires, I imagine, some amount of bravery to do this. In any event, the café sits on a quiet corner of Edgecombe Ave. The inside is great- the detailing is attractive and the owners make good use of the space by separating a dining area from a coffee bar area, which provides a sense of energy and community.The brunch menu has a mix of offerings, all of which err on the side of healthy. Our friend had an open-faced egg sandwich which looked pretty appetizing. My wife had a veggie burger and I had a curried chicken sandwich. These were tasty. We'll certainly come back again.  It is nice having a neighborhood restaurant, and therein lies the real charm. The people who came and ate all seemed like they were from the neighborhood. Can't get any better than that, really."
1/20/2015,20150120,5,4.0,"Great food. Excellent service. I had the Ackee and salt fish. Trust me, I am Jamaican and it was wonderfully seasoned! I will be a regular!"
1/21/2015,20150121,5,4.11,"I have stopped into The Edge a couple of times since the Fall for coffee and for lunch. The cappuccinos have been delicious -- strong and creamy -- the Jerk Caesar for lunch was very tasty...and the chocolate chip cookies for dessert were the perfect touch. The hook for this place, though, is the ambiance and decor: it is so warm and inviting. The owner is a natural hostess (as well as the chef) and her easy manner and warm welcome make you feel very much at home. What a great addition to the neighborhood! Looking forward to enjoying dinner here soon."
1/29/2015,20150129,5,4.2,The Edge is now open later (til 9-10pm) and serving beer & wine as well as small plates of an upcoming dinner service! Nice selections and Im sure it will continue to flourish as its brand new but has made a wonderful addition to our neighborhood. The owners are around to greet and make sure you're enjoying your experience. Head over and check out Harlem's newest restaurant.
1/30/2015,20150130,3,4.09,"We came here for brunch. The restaurant is rather small, so it fills quickly. Despite a full house we had prompt service and friendly service. The food was pretty good. I had the fish and chips. the fish was battered with what reminded me of a coconut shrimp batter. The fries were also good. I would like to return to see what the dinner menu is like."
2/6/2015,20150206,4,4.08,"Recently opened for dinner in addition to daytime. We had mini sliders, fries and the daily salmon special . All was pretty good as was the service. The interior is laidback. House wine at a reasonable price. I like that at this initial stage they are not trying to make so many menu options that they don't get anything right.i hope this flourishes and remains a well priced option you can head to on many a night."
2/9/2015,20150209,4,4.08,This is my third time to the edge and I tried the fried chicken and lemon rosemary waffles...the rum butter and apple syrup were a flavorful touch. I have never tried the coffee but have yet to leave this restaurant without a full glass of their homemade sorrel.
