date,rating,review
12/13/2021,5 star rating,"Great spot to grab and go in Harlem. I ordered online but you can also walk up and choose as you wish down the assembly line style setup they have in the restaurant. I got the jollof rice which has rice and chicken. The curry sauce was extremely flavorful, rich, delicious, and even had a little kick of spice. The lunch serving I got was pretty big so I ended up saving it for lunch the next day. I highly recommend this place and will definitely return when I happen to be in the area!"
9/16/2021,5 star rating,I really enjoyed my meal here. It was a to-go order. I ordered the Wakeyy which was reallllyyyy good! They don't have indoor seating. Per the restaurant name it's Ghanaian food. The Shito hit the spot. They gave me so much food for $15 I had enough for two days.
12/17/2021,1 star rating,"Man, I took my family there tonight to show off Ghanaian food.... Man. Was embarrassed. Ended up with only this, see pic....needless to say, whole family clowned tf out of me. Oh well..... Ghana is still the best"
3/24/2022,1 star rating,Went to this restaurant to get Jollof rice and Suya and I was so disappointed. The jollof rice was cold and the suya was ice cold and hard as a rock. The fact that they served me cold food during the middle of the afternoon was not cool but I should've known better because they were warming up someone Grubhub order in the microwave. Definitely would not come back again.
4/25/2021,4 star rating,"I ordered my meal on the Yelp app on a Thursday afternoon. When I arrived, I didn't have to wait long for everything to be packed. This is my first time trying African food, so I wanted to try a bit of everything! I ordered the okra stew with rice fufu, jollof rice with goat, suya, sweet plantains, egusi with yam fufu, puff puffs, and butter bread. I really enjoyed the jollof rice with goat, it was so flavorful. I thought the goat was a bit dry but it went great with the rice. The suya reminds of a beef jerky, a bit tough and chewy but seasoned nicely. The suya comes with sliced onions and mixed peppers, this pairs very nicely as it gives the suya some freshness. I enjoyed the yam fufu with the egusi, there's a slight sweetness to the fufu which compliments the spices in the egusi. The okra stew was good, spicy for my taste but I think my taste buds are a bit sensitive. I removed one star because the puff puffs I received were so hard and dense. I squeezed the puffs together and could see the oil ooze out. I took one bite and had to throw it out, it was inedible. The butter bread was an entire loaf of Thomas Butter Top bread... It's good but I think a slice or two would have been fine for me, I'm not sure what to do with the rest of the loaf. Overall, I enjoyed my experience and would come back for the jollof rice with goat, egusi, sweet plantains and suya."
9/3/2021,5 star rating,A+++ VERY GOOD OKRA SOUP WITH MIXED MEAT AND YAM FUFU! I have to yell it out because it is that good! Will be returning for Suya and Jollof rice.  Very traditional and not watered down.  The spices are just right! My meal lasted for 3 fulfilling servings and I will definitely be returning.  The women behind the counter are very respectful and courteous.  The line moves very quickly and they practice social distancing.
1/21/2022,5 star rating,Love it. The egusi soup is very good. I usually order the fried fish egusi since the mixed meat is very tough. Pretty good price too and I'm glad it comes with pounded yam.
6/5/2021,4 star rating,Food was super good. I got the chicken and Jill of rice. So good! My friend who is Ghanaian got something he calls waakye. I tasted his and it was excellent. I will definitely be back. I'm From the Caribbean and this food has amazing spices and just delicious
5/6/2021,5 star rating,"Wow was this food good. I got jollof rice, chicken with plenty of meat sauce, and a side of Mac. If you're only getting food for yourself a small is plenty, look at these portions! I can't wait to come back"
9/6/2020,5 star rating,"This place is awesome. For the best Ghanaian food, this is the spot. Some of my favorites are, Turkey tail with pepper, Okra Stew, Fried Whiting, and okra & goat stew. It is very over prices, but their food is amazing"
6/3/2020,5 star rating,"I ordered from here for the first and the food was pretty good. Delivery was less than 40 minutes and the portion sizes are large. I love African food and eat it whenever I can afford to. They are sort of pricey with barely any dishes under $10. We ordered Suya with plantain, egusi with goat and pounded yam and fish pepper soup with pounded yam. They had plenty of meat options which I loved because I normally eat my egusi with stock fish so it was great to try it with goat. Suya tasted like plain steak, wasn't my favorite dish from here but this won't discourage me from ordering again. The fish pepper soup was deliiiccciiiooouusss. One of my favorite dishes. I was expecting a whole fish but won't complain because it was so flavorful and filling. And meal came with a free soda. Win. Win. Win."
4/19/2020,4 star rating,"When the preening and posturing and general pretentiousness of the south-of-Central-Park Manhattan restaurant scene just gets to me, I head north to Harlem for some delicious, unfussy West African food. My experience at Accra was no exception. I was dining with 10 friends and had no ability to make a reservation beforehand (because this place is suuuuper cash). When I got to the restaurant, a staff member who was taking a break on the bench outside overheard my concerns (we were waiting for the rest of our party), and told us to hang on, he'd take care of things for us. He was able to convince some solo customers (they were regulars) at the largest table to move over to smaller tables, so we could have that table. Sigh....What hospitality.The food didn't disappoint either. My veggie friends loved mixing the Garri with various dishes such as the fragrant collard greens and the Waakey (rice and beans). I had a blast with my Jollof Rice (always a go-to) mixed with fish stew (forget the name). The portions were enormous, as expected, and everyone took home leftovers. The service wasn't amazing (I had to wait forever to flag down the one server manning the cafeteria line to grab some takeaway bags), but I've dealt with worse (re: any Chinese restaurant ever)."
7/3/2021,5 star rating,This location has the best food....the best value.....and one of the best take out food flavor(s) that I've ever tasted!!  Ty!! I usually try to stop by at least once a week!!
6/4/2020,5 star rating,"The environment of the restaurant is great, and the food is simply magical. I constantly order Jellof Rice, which is a delectable dish made or seasoned rice, with turkey and other delicious toppings. The rest of the menu is great, and I would definitely recommend this restaurant to anyone who is in need of a  spicy, seasoned  meal!!"
3/1/2020,5 star rating,"So good. I've never been to Accra, but now I have to!I the Jollof Rice with chicken was fresh, a little spicy, and satisfying for a Sunday afternoon late brunch. They have so many meat and fish options. I will be back."
4/30/2021,5 star rating,"My first time having African food and clearly I've been missing out! This food was amazing! The jollof rice and chicken was so delicious. Perfect amount of spice and flavor, the egusi and fufu was delicious. Im so mad this is my first time having food from Accra, they have now set the bar high! The woman who helped me was very patient and kind. Highly recommend and will def return."
1/16/2019,4 star rating,This place is pretty awesome. The food was very good and the women working there were friendly and efficient. You line up cafeteria-style and choose your food and you can then either dine in or get it to go. The dining space is not fancy but it is a decent size kept clean as I saw them cleaning the tables pretty quickly. We chose to eat a little there and buy to go as well.The star here is surely the food. If you've never tried west African food you are in for a treat. My husband is Nigerian and we devoured the jollof rice and wished we had bought more. This is our second time here and I'm certain we will return.
12/12/2019,3 star rating,"Fast casual buffet style west African food. I came here after missing traditional Ghanaian food from my summer in Ghana and was pleased with the local offerings: jollaf rice, stew, waakye (pronounced wah che), plantains, & Koko! Being vegan can be hard to eat Ghanaian food, but you totally can if you opt for the rice & beans in waakye, sweet plantains, fried yams, black eyes beans. If you go for breakfast get Koko which is a fermented spicy millet porridge. They also make kose which is fried black eyed bean cakes but only during Ramadan season.The pricing is pretty high for what you considering we came to Harlem for tasty cheap food and it's priced like a bychloe ($14 for a bowl of rice and beans + plantains). We also noticed that even though the name says ""Accra"" which is the capital of Ghana the food offered was a variety of west African countries (mac n cheese?). I'd love for them to offer joeh (peanut butter dessert balls) or azigoqui (beans, palm nut oil, gari, & plantains). Overall, you certainly get a good fix for your Ghanaian cravings here and really happy with with they did have. It's just hard trying to meet the standards of what you ate in the local country itself. I'll venture out to the Bronx and East Harlem to try a couple more spots and will be back during Ramadan to try my favorite Kose."
3/30/2021,5 star rating,"The kindness of the people that work here was rivaled only by the food which was FABULOUS. I am half Ghanaian but did not grow up regularly eating Ghanaian food. My friend has always said she wanted to try Ghanaian food so we made the trek to Accra. We had no idea what to order and were so impressed by the warmth with which they welcomed us. The owner let us try a little bit of everything. Having tasted everything on the menu I can tell you that you really cannot go wrong with anything here - absolutely everything was rich, flavorful, and delicious. And the portions are massive. I do not live in Harlem but this is the kind of place worth traveling for and I will definitely be back!"
2/21/2021,4 star rating,"I tried the fish stew with fufu which was tasty but pricey.  Menu states $14 and they charged me $16 at register.would go again for only rice, and stew."
8/10/2021,3 star rating,"This restaurant is one of my favorite when it comes to African dish. However, if you're willing to try out African food, better not go alone but visit with a regular customer because they don't seem to welcome first timers. The workers can be impatient yet slow, easily disrespectful, and you usually have to wait in line for a couple of mins even when it's empty."
4/1/2021,2 star rating,Fried fish was delicious but the soup was to spicy. Wasted my money Bc I couldn't eat it.
3/30/2018,4 star rating,"I love me some jollof rice with stewed meat. Unfortunately for me, I live in New Orleans and do not have ready access to Ghanaian food. So on this last trip to NY, I insisted on having Gh food before leaving. We made it all the way to Harlem from Jersey City just for me to get some jollof. But K wasn't mad once he tried his pepper soup. He doesn't tend to eat spicy food in public because he sweats a lot but he went in with his soup and seemed to really enjoy it. I got the fried stew along with jollof rice, and some shito as well. My only regret is that I didn't eat there earlier in the trip so I could've taken the leftovers with me."
8/24/2017,5 star rating,"Salivating. It's real. Authentic food from Ghana. This place deserves all the stars. Especially the service provided by Davina. Wow. I felt like I went home to see family after 10 years with all the love. It was my first time. She went ahead and got to know my taste buds with a few questions, grabbed 5 forks and spoons of food for tasting. Generous portions too! And boy we're all of them delicious!!!! I wanted a piece of everything. Oh, but I'll be back!!!The lamb is delicious. I mean everything!! But I do have a low tolerance for spicy foods. It did limit me to a large variety but I wasn't disappointed. The jaloff is great! I can't stop raving about this place. I've already told 10 friends and I just had it this evening. Just!! Stop by. You won't be disappointed."
7/10/2021,3 star rating,I had the okcra soup with fufu which was flavorful & soo good I slurped every bite. When I ordered it was late that I didn't get much choice of meats because everything was almost done or just bits of bone. There was only one woman taking cash & preparing food with out changing gloves which peeved me out.
3/4/2020,5 star rating,"I Came in to a wonderful atmosphere with all types of  delicious aromas. Amazing service as soon as I walked in. I had an idea of what I wanted but couldn't remember exactly what. They helped me figure it out and I couldn't wait. As soon as I got to my car I had to start to demolish that plate. I ordered Suya, Jollof Rice, and spinach. Everything was seasoned so well and complimentary of each other. Nothing overpowers the next, just a delicious melting pot of flavors. I 1000% recommend everyone to come and try the food! 10/10"
2/15/2020,3 star rating,"The food itself is very good and flavorful! The portions are huge and can be easily enjoyed by two people. However, It is a bit confusing figuring out where to line up for food orders. There is no clear menu with pricing and items for those whom are not familiar with the cuisine."
12/4/2019,5 star rating,"I just checked this place out due to all of the positive Yelp reviews and I was definitely not disappointed. Serving is a very large with very tasty okra Black Eyed Peas and I have the tilapia fish which came in a nice large piece.The staff is super friendly and the food is fresh and plentiful. It's an authentic restaurant serving the real deal, real healthy homemade food. Check it out!"
9/12/2020,1 star rating,"i went to this place a couple of weeks ago after moving to harlem and was super excited i no longer have to go to bk to get my jollof, food was good, nice portions but the customer service qas horrendous,  i wrote a review and stopped going, went back today 9/12 @ 3:20pm..4 ladies working but the shortest one again was just nasty, she super nice if you speak the language other than that you ask her a simple question and she gets annoyed in her response...its just bad. whoever the owners are need to address this. I dont know her name but you can narrow it down by the day and time she work as posted above. The lady has a nasty attitude towards non ghanaians and i know because im Nigerian but im sure she does not know that. what a shame.."
6/21/2018,4 star rating,"Accra is 100% my go to for African food in New York City. The food is tasty and reliable, and they are open late (I think until 2/3am). I haven't had one single item that I didn't enjoy and I've been going for years. However, the food can be heavy on your stomach and put you to sleep if you're not careful, but sometimes that's exactly what's you need! Accra is my spot and a true gem in NYC. Seating is limited and they normally take only cash."
2/18/2020,5 star rating,"This place is literally the best restaurant in the world... never had food this tasty that makes me crave it every day of the week. The people working there are super nice too. The goat in the goat stew is cooked very well, tender and easily falls off the bone. The jollof rice is also very flavorful and perfectly cooked. I wish they had more locations..."
10/17/2020,2 star rating,I was highly disappointed this time around seeing as I have visited this restaurant twice before. The food was cold and the pap was hard and frozen. She didn't give me part of my order and the food tasted stale. Won't be retuning. Which saddens me now I have to find another African restaurant in Harlem.
2/9/2019,2 star rating,"I've ordered some waakye from this place before and the owner was really nice, and the food was good. So why am I giving a 2 star review? Because that's just about the only thing they have that's good. I ordered ""Beans and Sweet Plantain"" which, according to their UberEats menu, is  ""served with garri and chicken or fried fish"". I thought I was ordering the typical plantain and beans Ghanaian meal (also known as Red Red). Imagine my surprise when my meal arrived and it was boiled black eye beans with no stew or any flavor at all and fried plantain. There wasn't even any gari included. Thinking I had made a mistake, I called the restaurant to verify. Instead, I was told that what I got is my fault because I should have indicated I wanted beans stew  I've never heard of a Ghanaian restaurant serving beans and plantain as plain boiled beans and plantain with no stew. Clearly I won't be doing that again."
8/25/2020,1 star rating,Eek! Me thinks not.   Servers arguing with customer when I walked in.  Then server had a bitchy attitude with me.  I asked what side I can get with the tilapia fish and lady said I can only get plantain.  I said on your website it says Tilapia and SIDE it means I can choose from side dishes.  She SAID NOOO JUST PLANTAIN!  Everything looks very greasy.  The weirdest thing is the Jollof Rice is in a big clear plastic bag.   Then there is no credit card transaction.
6/11/2019,4 star rating,The food is fresh and delicious.  I ordered a to go plate.  I cannot wait to go home and feast on my plate of Okra Soup with White Rice.I would definitely visit and re recommend this place.
