date,rating,review
3/25/2022,4 star rating,"Alright folks review 500!! This was one of my favorite Ethiopian restaurant in NY, but they have been off lately. Started out with the service when I last went. It was very subpar, and then when I went a few weeks ago they didn't have the gluten free injera and the guy didn't seem to care... So yes I went to Haile Bistro, and they accommodated my needs. I truly am saddened because this was my true go to, and they were definitely 5 star. I would order the veggie sampler that you can order by how many people you have in your party. You can get 5 courses per person and I believe the prices vary from $19 to $57. Don't forget the avacado salad as well! I would also get their honey wine which was delicious. Almost forgot they do also have desserts. I believe it was Rum cake and carrot cake. I have never tried them personally but I have been with folks that have and they enjoy it. Probably one of my shorter reviews but I am just hoping the service changes so I can update them to the 5 stars I know they are!"
4/26/2022,3 star rating,"Our first visit here was awesome - food and service was exceptional! It was our first time having an Ethiopian meal and our server was very helpful when she was taking our orders. We were very impressed and so we told ourselves we're coming back for more. We came back again a few weeks later - on a Tuesday night around 6:45pm. We didn't have a reservation but saw that they had a few open tables. The lady said she couldn't take us as they were fully booked for dinner, but offered us the bar seats instead. When we got to the bar, I went to check their website and saw that I could make a reservation for 7pm, 7:15pm, 7:30pm, etc. I make the reservation and waited for a few minutes and showed the lady that I now have a reservation. We were seated right away as there were still about 5 empty tables. I heard the lady refuse to sit another couple after that. I was so turned off by that but of course, I didn't let it ruin my night. The food was still great - very flavorful and looks extremely appetizing on a shareable plate. But customer service on the second visit might make me not want to come back anymore."
4/15/2022,1 star rating,"HORRIBLE ""special kitfo"". Never heard/tested such a horrible thing. This is not our cultural kitfo at all. It is packed with raw onions and jalapeño and something else & all you feel like is throwing up. The supposed butter is actually some oil that stayed long and stinks. I couldn't believe what I was tasting and smelling. In addition to all of these, they didn't pack injera for the kitfo. My order was take out and I was stunned when opened the box. I think they wanted to take advantage of the extra 1 injera I bought for $3.25, assuming I would use that when I'm out of options. They were right, I ate that. So in essence I paid extra for this ""kitfo"" thing lol. They should be able to warn their customers if they customize the authentic ethiopian food. Plus their greed and low quality ingredients were all big disappointments for me."
6/8/2022,5 star rating,"It doesn't seem like much from the outside but the food was amazing and the service top notch. I highly recommend this place for great Ethiopian food. Go for a platter, you will thank me later."
1/20/2022,4 star rating,"Excellent Ethiopian food with options for all types of food preferences. Their vegan sample was to die for. Even the meat eaters liked it better than theirs (the doro wat had no flavor comparatively)! So many incredible, full flavors and the injera just absorbed it all so well. Their cocktails were also very unique and had a nice twist to them. Servers were very kind and made great recs. 4/5 stars because the service is usually quite slow (although everyone is super kind and as long as you're not in a rush it's just more reason to enjoy!), and the bathrooms were not clean. All in all, this is some of the best Ethiopian food in the area."
4/6/2022,4 star rating,"Ordered the meat combo with extra injera for $40 takeout to share for 3 people, and it was enough food and a good value. Everything was pretty good. The meat was a bit salty, and the red lentils were a bit firm, but otherwise it was all tasty. Wish we could've enjoyed the food in person."
10/7/2021,5 star rating,"Awash is one of the best Ethiopian places in the city. It's one of the first I had been to around here. This is a little different than Indian. It's not as spicy, but the food has flavor. There's lots of choices for vegans. Be prepared for how you're going to eat. It's one of those Ethiopian places where traditionally you eat with your hands. This saves them money on washing dishes, right? It has lots of vegetarian options. The food all comes on a platter. It's covered with a spongy injeera bread. This comes with a few rolls of the injeera. We had the Tofu Tibbets. It's about $15 and comes with some greens. This looked like it was spinach or something like that. As for the tibbets, they were good. These had a pretty spicy tomato sauce and the injeera helped soak it up, making it much easier to eat it. It was really good food. It gets busy even later at night. This is one of the few Ethiopian restaurants around here so if that's what you want try getting something from this."
10/11/2021,4 star rating,"First time trying Ethiopian food. We rode our bikes and arrived hungry. It was delicious! Eat with your hands because that's the way it's done! We asked our wonderful server Joy to pick whatever for us and this is what she chose. Great selection except for the chicken. It was dry and just meh. The rest of it was delicious! The beef was amazing and full of flavor, soft meat and just overall I wish I had a tub of it. The injera was wonderful. Soft yet had an underlying sour taste which I enjoyed with the food. We also got wine and beer! Small selection but good none the less. If we ever come back which we will, we will definitely come back to this lovely restaurant! Thanks Joy!"
9/9/2021,5 star rating,"My friend and I have heard great things about Awash and finally got the chance to try it. The spot has a dimly lit dining room with a relaxing vibe. There's outdoor seating too if that's your preference. We both ordered the vegan combination platter, which comes with your choice of 5 different vegetarian options. The platter is served beautifully laid out on a piece of injera. Everything tasted absolutely amazing. You definitely have to try the Mesir Wot and the Shiro if you order a combo platter. I could eat them for the rest of my life and never be dissatisfied. Although it was a hike to get up to 106th street, I'll definitely be returning. Totally worth the travel."
8/28/2021,4 star rating,"I've been to Awash twice, and both times I got the Awash Special. If you eat beef, you NEED to get this dish simply because of the Special Kifto. It is this spicy beef tartare that is soooo addicting. I'll go around the platter and try every dish, but I always come back to the Special Kifto. It is seriously so good. Between my two meals at Awash (several months apart) I have noticed some slight discrepancies. The first time, I had a delicious cabbage dish on the platter and I was a little disappointed when it wasn't included on the platter on my second trip to Awash. Also, I was under the impression that injera refills were free, as they were the first time I went to Awash- however, the second time I went, when we asked for extra injera, the waitress (rather rudely) said we would have to pay extra. Usually, injera has been complimentary at every other Ethiopian restaurant I've been to. One additional note - I think the staff could be a little more liberal with the napkins, as Ethiopian food can get a little messy on the hands. Overall, though, amazing food! I will definitely be back."
