date,rating,review
6/13/2022,5 star rating,"My boyfriend put me on to this restaurant & ever since I've been hooked . We always go on a Sunday. The brunch is always great . I always order the crab Benedict ( however , I do eat some if my bf's food ) . Music is always great . The owner and his wife are so pleasant & entail great professionalism . I went one Saturday evening with a friend . Restaraunt machine wasn't working to make froze's , however the owner went above and beyond to accommodate us . This was really appreciated . This is definitely my most favorite brunch spot ."
6/12/2022,5 star rating,put simply... delicious... with great portion sizes... i've been coming here since inception when they were at a smaller location a few block north and it's only gotten better.  one of the best brunches in harlem
6/6/2022,5 star rating,"Went two weekends in a row best grits , bomb service GREAT DJ and the wait time was very accurate and timely."
6/4/2022,2 star rating,Wait Staff AFood BSafety B-Air quality COverall not worth the visit after so much hype.  There is better food away from the hood and addicts and homeless lurking as you wait for a table.
6/4/2022,5 star rating,"Jumbo Shrimp and Cheddar Cheese Grits 10/10Service 10/10My server Brandon 10/10Host 10/10DJ 10/10Bathroom  was clean 10/10I'm not a easy person to please but wow! The biscuit was fresh, grits were so amazing and the shrimps were great. I'd recommend less salt on the shrimp. Other then that wow I will be back. I'd definitely recommend making a reservation on"
5/30/2022,5 star rating,"Hidden gem! This is a must try place!!We came on a Saturday for brunch and didn't make a reservation. The staffs were super friendly and accommodated us. We got lucky but I would highly recommend using Yelp waitlist. We ordered:- blueberry pancake with fried chicken- shrimp & grits with biscuits I've had chicken & waffles, but never thought to pair savory chicken with sweet fruit pancakes. I'm obsessed now, it was life changing! The rich crumbs from the chicken adds texture to the fluffy sweet pancake. You also can't skip the blueberry... it adds a wonderful ""freshness"" to the fried chicken. The ingredients complimented each other so well. Their chicken is tender and fried to perfection. (Doesn't feel too greasy either) The jumbo shrimp and grits was also very delicious. This is very rich and flavorful... and it comes with a biscuit. They also give you hot sauce and honey butter to eat with the biscuit. The waiter gave us an extra biscuit since we were sharing the dish, very thoughtful gesture.I love this place, definitely need to come back again and spread the word. If you're ever craving soul food - look no further, this is the place!"
5/30/2022,3 star rating,"Located in Harlem, this place has a casual-cool vibe, and serves modernized soul food classics. I was thinking of getting the Fried Catfish Dinner with turkey collards and southern potato salad, but then I saw the Fried Catfish Poboy which was a fraction of the price, so I ordered that. The Catfish Poboy also came with french fries. The piece of catfish was a decent size, and there was coleslaw on top, nestled in between a brioche bun. The catfish was fried to perfection and was delightfully crispy, as well as tender. The catfish was also well seasoned and full of great flavor. The coleslaw was a fresh crunchy addition, while the bread was buttery and soft. The fries were thick cut and satisfyingly crunchy with nice potato taste. My friend had the Fried Chicken brunch, which was served with biscuits. All the food and sauces came at the same time, except the biscuits, so when we mentioned it to the waiter, he very graciously brought over 4 biscuits instead of only 2. This was definitely a nice gesture. The fried chicken was okay, but didn't blow me away. The biscuits were too try and a bit on the bland side for me (even with maple butter and jelly).Service started off pretty good, but part way through our meal, the waiter gave us our check and let us know he was on his way out, but to let us know if we needed anything. This confused us, and it was difficult to get the attention of any of the servers after that. I was not impressed by the meal and have no plans to return."
5/30/2022,5 star rating,Everything is so delicious! Vibe was just what the doctor ordered. If you are ever in Harlem...pay them a visit!!
5/27/2022,5 star rating,This is my go to in the neighborhood for a fun brunch with a live dj and amazing food. The staff is friendly and food is amazing
5/22/2022,5 star rating,It was absolutely delicious. I can't wait to return. Allen was our waiter and he provided us with great customer service. The food was delicious.
