date,rating,review
6/12/2022,5 star rating,UPDATED REVIEW June 2022WOW what a difference.  Thankfully they have returned to their former glory.Shrimp have been cooked correctly.  I'm back in love. Now you can be sure that your fish and shrimp will be as expected.  Well worth the wait and price.  Thank you for getting back to regular
7/7/2020,2 star rating,"For the first time in a million years of coming to Famous, I was very disappointed.  Spent $30.00 on way over cooked shrimp.  I think the ""fry guy"" is new and has over estimated the time to cook the shrimp.  He must have cooked the shrimp as long as he cooked the fish,  Big mistake.  Nothing good about them overcooked nuggets that used to be shrimp.  Somebody show him how it is supposed to be done.  Arrived at 7:00 pm and after waiting 50 min til 7:50 they called my number.  Got in the car to head back to the Bronx, and grabbed a shrimp.  Very sad. Look at the photo of the shrimp in the post dated 5/20/20 and the picture of the shrimp in the photo 6/29/20.  The May shrimp is the way it should be.  The June picture i see now, are the ""overcooked"" little nuggets. Come on Famous, we depend on you to get it right."
4/27/2022,4 star rating,Great Place For Fried Seafood. Visit at least 2 times a month more in the summer time. Great place to pick up fried seafood. Wait times can be long depending on day and time of your visit but quality does not suffer.
1/8/2022,4 star rating,"Although it was a freezing day, I got off the subway at 145th St. and saw a few people on the line at the famous fishmarket at 11:45 AM on Saturday. I went over and realized that they were opening in 15 minutes, so I decided to wait. I asked the person in front of me, is it worth the wait? She said yes so I got in line despite the freezing cold. I ended up being the third person when they opened. This is definitely one of the important institutions in the neighborhood. I tried the fish, shrimp's, clam combo and was not disappointed. I'm sure I'll be back."
2/11/2022,5 star rating,"Great food for a great price.  Well worth the wait on line!  Tasty, light, and not overly greasy at all!  I love the shrimp and fish platter!!"
2/12/2022,3 star rating,"I don't come here often, but I do come here a few times a year. The food is great, no complaints for the food quality or anything. My only gripe is the wait time. Be prepared to stabf outside for at least 30 minutes waiting on your food. One time i was waiting for over an hour, of course i was late to work that day, which isn't a good practice.  Needless to say that I don't come if it's raining, snowing, cold, too hot, etc. I don't particularly care to comment on the customer service as I don't find a comment relevant for this type of establishment. Just be prepared for extremely long wait times.  If you can get passed the wait times, then you will most likely enjoy your meal."
6/29/2020,4 star rating,This is my place to go for fried shrimp in the neighborhood. Their shrimp and chips are amazing. Don't know what is the secret but the shrimp have a sweet taste that is just great. Always fried to order. Each order includes 2 slices of whole wheat bread. Absolutely recommend it.
3/11/2022,1 star rating,They sell frozen fish better off going to Devins fish and chips where the fish is actually fresh
1/13/2022,4 star rating,While I love the fish here and have for many years ...the wait is ridiculous.  Don't come starving bc You will pass out before you get your food.  But....if you can hold out.... it is definitely worth the wait!
2/26/2021,2 star rating,"DoorDash/Seamless receives precedence over orders made from Harlemites that have supported the business since its inception. That's a major issue. You can expect to wait over 2hrs in the cold for your order on a Friday evening while they prioritize DoorDash orders whose transporters haven't yet arrived. I strongly encourage the establishment to formulate a system that doesn't neglect the same community that has been here before the existence of DoorDash ""gentrifiers"". Perhaps a system where the DoorDash orders aren't made until their transporters arrive so that those who've placed orders in-person can be on their way and back to support them again another day. DoorDash/Seamless should also offer their transporters a bonus for accepting orders at this establishment for the additional time it will demand. I strongly dislike having to rank a business that I love to support so low because I do enjoy the food. However, their approach to satisfying orders requires necessary reform and they must know that since vocalizing it to them alone, isn't enough."
4/20/2021,2 star rating,So I have been going to this spot since I was a child and have loved their food. However I ordered fish and shrimp last week and it was not as good as it was in the past. I was really disappointed. I will not order from here again. Plus the food was already prepeared and not cooked in front of you as they used to do in the past. If they continue to do this they will lose customers.
8/1/2021,5 star rating,Been coming here for years. Like 10 years. Fried fish and shrimp is my favorite thing ever and I've never been disappointed. Seasoned and fried perfectly. The line outside speaks to the opinions of many. Love it!
5/20/2020,5 star rating,"Good whiting in Harlem, they do not serve catfish. I repeat, no catfish!The whiting is very thick and is incased in a light batter but the batter has no seasoning what so ever. Their fries are not good. They have no salt, no taste and aren't crispy. It's not fish and chips, it's fish and sogs so just stick with all fish or all anything without fries."
6/9/2021,4 star rating,"Must stop every time I'm in Harlem, for the past 15+ years. Small inside, line down the block sometimes."
5/20/2021,4 star rating,"Great fried fish spot in Harlem. I've noticed that the longest wait for food tends to be during standard dinner time so I try to avoid going there then. But if my craving is strong enough I will go anyway because the food is worth it. On a recent visit, I noticed that something was different about seasoning of the shrimp. Since I've been going there for years, I pretty much know what to expect as far as taste goes and it tasted like something was missing. Maybe it was just that day. I normally get fish, shrimp, and chips which comes with a free drink, or I'll get fish and chips. I love that they add two slices of bread because I can make a fish sandwich. They're generous with the condiments and the food portions. One of my favorite places to eat from in the city."
9/28/2020,3 star rating,"Currently not taking call in orders 9/2020. If you don't have time to wait more than 30mins, then you won't want to go here. Took 45mins to receive my order (shrimp, fish, clam and fries combo abt $19). The shrimp and clams were tasty but I do not care much for their fish or oiled down unsalted fries."
12/16/2019,5 star rating,"Pretty much my Go-To Harlem (or any place else) fried fish spot. Have traveled from the ends of the island and all points in between JUST for this fresh, fried bite of seafood heaven. ALWAYS fresh! I can count on them and measure other spots accordingly. Not too many others make the cut so we keep coming back.The lines are long FOR a REASON! Don't be discouraged. Also, have had a number of parking tickets cause it is sparse. Part of being a NYer. Been going OVER 20 years and it has remained constant! No frills just goodness. Staples are Whiting & Shrimp with Fries. Side of Tarter, Ketchup & hot sauce. Always get the bread, it is basic but soft and needed for a Fried Whiting sandwich."
5/18/2021,5 star rating,Ive always come here for their food. This was my first time ordering thru Yelp to order. When i got there it was a bit of a wait and confusion. The apologized profusely and gave me extra fish. Other than that this place is consistent when it comes to their food. Never disappoints. One of the few places for fried fish or shrimp and dont need any type of condiments
4/24/2021,5 star rating,This place is always busy. Be ready for a bit of a wait but the food is worth it. Always good. Never disappoints. Rely on the same great taste every time
11/3/2021,5 star rating,Amazing food very good made how i like and the shrimp didn't taste as if it was dipped in breadcrumb so amazing i recommend
1/5/2020,4 star rating,"No frills take out only spot for some of the best seafood in the neighborhood!Prices are very reasonable for the food quality and portions. So far, I've tried the fish and chips and fried clams and chips. I love that both are made to order and freshly fried. By the time I sit down to eat, my food is still hot and fresh! Tartar sauce, hot sauce and ketchup are on the counter to serve yourself. LOVE tartar sauce so this is great for me. Staff is nice and food comes quick. Can't wait to come again!"
9/8/2021,1 star rating,Horrible customer service from the old lady in the front. This is a money hungry establishment and their food isn't even as good as it was years ago.
3/13/2021,3 star rating,Fish is slamming but they are extremely slow and that's why they get 3 stars. Shouldn't take 45 minutes to get a fish sandwich. Get an extra fryer or something!!!
2/20/2020,4 star rating,I love this go to spot for some fish. Coming from the south and moving up to New York it is hard to find a good piece of fried fish. But this location has it down packed its very flavorful and crispy. They also keep it old school but adding bread to it which is the perfect touch for me. When there isn't a line wrapped around the door  it doesn't take long to get your food . The guys that fry the fish are funny so catch a good laugh if you have to wait.
5/2/2017,4 star rating,"If you've never been here then you're stup...err, I mean you're missing out. But maybe it's better that way because nobody needs you taking up space on a usually very long line. The beautiful part is that the line actually moves along pretty quickly, especially when you consider the type of demand that this literal hole in the wall handles.  Use your waiting time to decide on your order and be careful going down the steps.Your menu choices are pretty much limited to a variation of fish, shrimp, fries, seafood sandwiches and whatever else is on the menu because this is what I always order.  Service is amicable and to the point.  Food arrives hot and flavorful, but don't forget to ask for whatever sauces on (or on the side) that you'd like.Cash is king here so dont bring your cards. Takeout is the name of the game; place is clean but lacks a restroom (minus the star).  Beware coming after the church crowds arrive because they order in clumps. Whatever the wait, you will leave happy with a seafood bag of treasure to have."
1/30/2019,3 star rating,"The fish here is just decent, nothing out of this world about it but somehow they always have a line out the door. Then again there's only enough space for about 5 people to stand in there anyways so a ""line out the door"" is pretty much a given if they have loyal customers...which they definitely do. The fish here is fried with a light batter which I like but I do think they need to use more seasoning. I didn't really taste much except a little salt and pepper but I appreciate how everything is fried fresh. The chips were not crispy so they definitely should have fried those longer than they were.If you just happen to be in the area and don't mind the wait, try it out but otherwise there are definitely better options for fish and chips."
3/1/2019,3 star rating,"The service here gets worse each time I come now. If the fish wasn't so good, I wouldn't come back. Don't let another fish spot open up...I'm out!This has to be the best fish joint and Hamilton Heights. The finish is always fried to perfection and takes the same every time you order it. The old man that owns the joint reminds me of the soup Nazi. He is mild manneredAnd not over nice. But damn is the fish so good.::"
