date,rating,review
5/24/2022,4 star rating,"I only had hookah and drinks so I do not have any notes on the food.I came here for Kwanzaa Crawl and I had a wonderful time. The drinks from the price menu were pretty basic but they tasted good. The hookah was set up quickly and correctly. Overall, the restaurant was clean and the staff was working hard to make sure all of the patrons were taken care of. I will definitely be back."
4/12/2022,5 star rating,"Dope lil spot. The drinks were strong & the food was pretty good. The sliders are honestly bomb, so definitely recommend those. The hookah is great! You have to get the ice hose & the alcohol in the bottom for a top tier experience. It's a little pricey, but the music was good & so were the vibes. I'll definitely come back to support this Black Owned spot next time I'm in Harlem."
3/21/2022,1 star rating,"There were so many things wrong with my visit that I doubt you have enough time to read it. Long story short.Before even walking in was met with unprofessionalism, should of been my red flag. I spent a lot of money in this establishment and to be treated by everyone that works here as an inconvenience is wild! I will not find myself in here ever again. My advice support a business that will appreciate you as a patron."
8/24/2018,5 star rating,"I visit NY often, I live in Florida. My brother took me here for the first time in June. This place is awesome. The music, wings and Henny Punch! Oh! And not to mention the Hookah of course! I returned to NY in August and didn't know where to go it was pretty late like 2am by the time I decided to go out I wasn't far from here so I stopped by. I didn't get there in time to get the wings actually was only 8 mins after kitchen closed so I enjoyed a nice margarita and the music of course. Next time I will be sure to get there on time for wings! Great place and atmosphere."
3/4/2022,5 star rating,"We had a nice time here. Food was filling but just ok. Hookah  was good on service, flavors were abundant but couldnt taste it that much.Bathroom was nice, had 2.Vibe was great, seating was nice.Servers were so nice and workers are friendly.I felt welcomed.10/10"
6/12/2022,3 star rating,"I enjoyed Harlem Hookah and the vibe. I would suggest just to go for drinks. The sangria was nasty in my opinion, so I wouldn't get that again. I would return for a stop after dinner or brunch."
4/10/2022,3 star rating,"I've been in the past pre-Covid and I can say the environment now is definitely different. Luckily my group of 3 made reservations earlier and were seated pretty quickly but there were several groups waiting outside hoping to get a seat when available. The music is pretty decent but it doesn't make up for the lackluster service. We waited awhile before anyone came to our table so we could place our drink and food order. The server did make a suggestion for the hookah which we opted for. There wasn't too much of a wait after ordering before getting our food, not anything spectacular but it was decent enough. The table next to us ended up leaving due to issues with their hookah and not having it addressed properly and I don't blame them. Ehhh not sure if I'll find myself back here again anytime soon."
4/9/2022,1 star rating,"....here we go. So my bestfriend and I were in town for a weekend trip and we wanted to checkout Harlem Hookah so we decided to go. When we arrived we had to stand outside in ""a line"" no one was out there but us waiting but okay. So we waited outside for about 40/45 mins (which yes in hindsight should've been a  flag but we really wanted to try it out). After being given a small table and told we have a strict 90min limit we decided to make the most of it and order the triple H drink and a hookah. So the drink was fine--my friend thought it tasted like juice. Which I agree it wasn't strong and wasn't worth $17 but I digress.Let's get to the hookah--the specialty of the venue. We received our hookah and the end of the hose was broken. I asked our server about it in hopes of getting a replacement one that was in better shape and not broken. To no avail. I was told ""oh they all look like that""Well okay then. They're charging top tier prices for subpar hookahs with raggedy equipment. Then when our hookah wasn't pulling properly we realized the spring around the hose was broke so they replaced the hose with another one (also had a broken end) (see pics below). On topppppp of that, they charged us $10 extra--so $55 at this point because we wanted blueberry, watermelon, mint. The hookah guy was very nice and tried to fix it but at this point we were at the end of the road.Long story short we decided to get the check and pay for our drinks and go on our way. Our Mariyah-Lynn look alike server tried to force us to pay for the hookah saying we had it for a long time. when in reality it wasn't working because Of their faulty equipment. After some back and forth the manager agreed to remove it. Save your money and time and go elsewhere.Not worth the wait and inside is tiny. Front security was really nice though. But never again.Also looked at their health code violations on here and eek. Glad I didn't order food."
12/25/2021,5 star rating,"My friend and I headed here after eating at Ricardo's on Xmas Eve. HH happened to be the closest hookah bar and we trekked about thirty mins to this spot. We were seated quickly and handed a drink/hookah menu. We got the bubblegum which was good but eventually the owner and his friend came over and changed our hookah to a blueberry mint blend I think and it was amazing. The music and vibes are great at the place, the employees were also very cool as well. I will def be visiting this spot if I'm in the area."
10/10/2021,3 star rating,"The music will have you bumpin' just enough to look passed the unwelcoming and a bit harsh customer service of the staff! Their menu is limited so if you're looking for brunch or an actual meal, this may not be the spot for you. The food/appetizers were not as good as I had hoped to be honest. My friends had the shrimp tacos because they don't eat meat and that was the only real option for them. They didn't like it at all and mentioned that it was very bland. They ended up not even finishing it. However, I will say that the French fries were pretty good. Hot and fresh, just how I like it! I'd definitely recommend getting the hookah with the ice hose. The regular one wasnt as good."
6/27/2021,1 star rating,This place is insane it's Sunday and after waiting in line for about 40 minutes while I watched a 4 top a 2 top and a 3 top available!! We finally got seated only for the server to walk past us 3 times . I'm currently here and we've been sitting for about 12 minutes she has not taken our order or brought us any water . Shes taken so long that I was able to go to the deli and grab a bottle of water ( check photo ) before our water finally came to the table . This is horrible! I am a general manager at a restaurant and I don't know wtf is going on here but you need to hire new employees ASAP I don't think you guys understand the concept of turning tables over or guest service . As I finish this I'm still waiting for a server to find the time to take my order
10/28/2021,1 star rating,"This place is horrible. I'm not even going to waste time writing another review. I'll just post the screenshots from the review I previously wrote and the disgusting response I got from the general manager who I see was a little calmer in here with her response. Save your time and your money on their wack reservation policy and just go to Ricardos Steakhouse in Harlem. I believe they have hookah. But if not ,The food is great and their customer service is an example of how Harlem Hookah should operate."
5/2/2022,1 star rating,I recently went on Saturday before the busy rush. Our waitress took our order and never came back to table. We had to ask Hookah to get her to order more food. I wasn't given napkins with my food. Also had to ask.  Food was ordered as well as 2 Hookahs . After 2hours we're up we were told to be ready to leave as they had people waiting. We asked for manager and ... low and be hood our Waite was the manager. We were told because it was so busy is there reason for lack of service. That's never an excuse. An apology ... not needed but some kinda of compensation should have been made. I told 2 other friends about experience and they said it's alway like that . They really don't care when it's busy they do the bare minimum
3/26/2022,1 star rating,"I came to this establishment in the middle of the early evening on 3/26/2022 for a party of 15  which was empty by the way the staff was completely overwhelmed and decided not to serve us before this occurred a party next to us was so gracious to move to a more private setting and we decided to pay their tab as a sign of gratitude and send a round of drinks at this time we were ask to leave without ordering anything and paying a total of $200 for another table so the establishment wouldn't lose money as it was N the empty side nevertheless I personally have frequent this place and never have received such service the only two people that seemed to care about the business and not losing profit was the young gentleman with the dreads and the security officer everyone else SMH , we also tipped the waitress that didn't want to accommodate us"
12/23/2021,5 star rating,came here for happy hour every wednesday and thursday 6-12am the atmosphere is so much better super chill and no ones here so definitely come if you just want to smoke hookah alone or with a friend is warm and quiet rather than the loud crazy atmosphere during the summer or weekends you will find either no one or 1 or 2 people besides hookah is $35 rather than $65 and up.
6/26/2021,4 star rating,"When I found out that I this lounge was black owned, I was excited to patronize it. Overall it was lit vibe, good music and a cute atmosphere. Cons: We didn't have a reservation so we had to wait like 45 minutes to be seated, we were a party of 5. Once we were seated around midnight, they only had select food options available, crab cakes, sliders and fries. All food options were okay but the sauce that came with the crab cakes was good.Pros: Hookah was nice and strong, we had mango mint. The drinks?? The henny punch tasted like straight alcohol so we loved it lol. Sophia our server was so sweet and even though it was packed in there she was attentive to our table.Overall, this is a great spot for hookah, drinks and good vibes. Would definitely come again"
2/21/2022,5 star rating,Best hookah spot... the food is amazing right along with the hookah.. i don't drink so i can't tell you about the drinks but over all a beautiful calm spot
1/8/2022,5 star rating,"Came here for the first time on Thursday January 6, 2022. It was a nice mature crowd, music was mellow where you could hear it and still have a conversation. The staff were very attentive and polite. Constantly checking on you. The food was decent, had to send wings back to be cooked well done but when it Came back, it was delicious. Spinach artichoke dip was tasty but tortillas were a bit salty. Chicken quesadilla were good. Drinks were just right, not too strong. I had one rum punch and one henny punch and I felt nice but not drunk/intoxicated. No hangovers the next day. The hookah was strong and it lasted a long time. Hookah was refilled once totaling $35. For 3 people with 2 orders of Buffalo wings, 2 orders of spinach artichoke dip, one order of chicken quesadilla, 3 drinks, the total bill was $145 plus $35 for hookah. COVID cards and Id are checked at the door18% gratuity includedI will return soon!!!!!"
8/28/2021,1 star rating,"Made a reservation that my sister PAID for and they gave up my sisters table because we were 10mins late and they have a 15min grace period. Then the owner was not letting us come in. Like common it's my sisters birthday. Not only did she cry but then he got  ""his"" people's inside who took OUR table and refused to speak to us cause he was too busy smoking hookah with them. Listen, just know that if you reserve a table they might just give it up. After almost an hour we get a table. The owner also gave us stank faces. And the owner is busy in her getting high off the hookah with his customers wattttccchhh outtttt! They unprofessional af in there. Not to mention they took forever to give us a waitress. Not the mention they also couldn't give us a refund for the reservation we paid for if we decided to leave before them taking forever to seat us."
12/13/2021,5 star rating,"I love coming to Harlem hookah, it's like family away from home. My girls Justiana and Sophia be holding it down, my fave bartenders Kelvin and Q always makes the best drinks. Couldn't think of a more welcoming place in my fave borough ."
9/12/2021,4 star rating,"Definitely overpriced hookah, but if you're looking for a place in Harlem with good music, cocktails, and aesthetic, go for it. The wings are lit"
12/3/2021,5 star rating,Q is always the best bartender. He is extremely attentive and diligent. Holds great conversation with each customer while making each customer in the establishment feel as they are the only person around. He is extremely professional and gives great drink recommendations every time.
2/24/2022,5 star rating,Food was amazing drinks were great hookah was fire! The owner so happened to be there while we were there and he was such a pleasure. Very personable very humble. Loved the company. 10/10 would recommend
6/18/2021,1 star rating,"I am really disappointed. I have been wanting to come check this place out only to receive the most disrespectful attitude. I was told that I had to wait to come inside, fine. However, I observed a young man who identified as the owner's brother allowing a party enter and essentially skip the line. I spoke to him and let him know I was next, and he stated to me that he could do whatever he wanted because he was the owner's brother. I am surprised that during these hard times, a business would turn away paying customers."
11/12/2021,1 star rating,"I wish i can give this place a half of star. This place is very unprofessional. They have a bunch of notices on their website about you not receiving a refund for reservation cancellation but nothing on their website about bottle availability and they call you the day of your reservation to confirm if they can provide what was in your reservation notes. I had to cancel my birthday party after spending large amounts of money on set up for them to tell me ""oh i dont know why it says 2-4 reservation "" mean while everybody of my party of ten was supposed to buy bottles how in hell are you gonna finish a bottles of liquor in 2 hours? But never mind that because the host told me they dont even have the bottles on their list in the establishment I STRONGLY DO NOT RECOMMEND THIS HORRIBLE PLACE AND I DID NOT RECEIVE A REFUND FOR MY RESERVATION DEPOSIT EVEN AFTER I WAS INCONVENIEN!!!!!!!!"
7/22/2020,4 star rating,Food was ok. Hookah was good but my drink was the best! The staff was super friendly and the outdoor dining was convenient and social distanced. I would be back for more drinks
11/7/2020,4 star rating,"Expensive but worth it, the hookah is of very good quality and the drinks are strong and delicious. The food isn't anything special.  There is always a really long wait on weekends as it's a popular place, so I'd check them out earlier in the evening or during the week"
11/22/2020,3 star rating,"Let's start with thanks for accommodating a table of 8 during a pandemic. The waiter was great and made sure we had what was needed. Ordering food... You will get catfished, the picture of the shrimp and grits on the menu is not what you are about to receive, I was absolutely disappointed to the fullest. My group ordered eggs with their entrees but the eggs never came out and by the time we got a hold of the waiter they had already finished eating. If your short staffed admit it, it's a pandemic and we would of understood that better then given us the it will be out in 5 minutes. Drinks are good. Hookah was good."
6/10/2021,5 star rating,Yes Karla and Carissa  was  very nice  I enjoy my drinks and food and the Service and the hookah was on point
