date,rating,review
4/26/2022,5 star rating,"I never leave reviews and this is probably my first one. This place was great. Stopped in for something new only to find out they have been there for 8 years or so. Me, My boyfriend and his dad had brunch and it was excellent! Our waitress was sweet and attentive. The Chef, Donna, makes the best biscuits and the frittatas were amazing as well!  Would highly recommend this place for anyone wanting a solid breakfast/ brunch. We will definitely be back to try their other menus!"
5/28/2022,5 star rating,"This place is a block from our apartments and one of those ""we should stop in one day"" type places. It was my birthday weekend and we decided to finally stop in for brunch. Everything was perfect. I got the shrimp and grits and my partner got the pancakes. The shrimp and grits were a huge plate with sausage, biscuit and eggs. The pancakes came with eggs and turkey bacon and we each had tea and a juice. Everything was so flavorful and delicious. The pancakes especially were amazing so fluffy and light but tasty. I dont usually like pancakes but will prob order them next time, a few bites of my partners was not enough. The staff was very friendly without being in your face and the orange juice was fresh and delicious. All in all we both wanted to take our moms here the next time they come by, high praise indeed. :) we will def be back"
12/25/2021,1 star rating,"It kills me to give this spot a beyond low rating because I really wanted to love it but OMG, stay away until they get it together. I first walked in and there were zero customers which I thought would be cause for either a great service experience or just an overall poor experience, and it was the latter for me. The 'cook' was chilling at one of the tables until our order was taken by the hostess. She was very sweet but was beyond unorganized when other customers began to come in. The cook obviously didn't want to be there since it was Christmas Eve but hey, you chose to be employed, so do your job with a smile. I even overheard him complaining when other customers came in. I ordered the fish and grits, French toast and shrimp and grits. The fish was flavorless and soggy, the shrimp were undercooked and the French toast was hard as rocks. I have no problem with paying for what my food is worth but I feel like the food is extremely overpriced to be this crappy. Maybe if the 'cook' had a better attitude, my food would've tasted halfway decent. I use the word cook in quotations because he looked like some random man who threw on an apron and expected to deliver but failed. Please don't waste your money coming to this establishment."
6/20/2021,5 star rating,"Iight so boom. I was looking for a real homely restaurant to celebrate Fathers Day. My father and my grandmothers like authentic, homemade cooking. Nothing overly processed, just some good ol cooking from a chef in the back that you know you can trust. And let me tell you something, Home Sweet Harlem is just that.I had a reservation for a party of 5, which accommodated myself, my mother, father and two grandmothers (80 and 88 years old). Upon arrival a staff member asked if outdoor seating would be okay for us as it was currently all they had available. I normally don't mind outdoor seating especially when the weather was as beautiful as it was. But my grandmothers prefer A/C and comfortable indoor seating. However, as all the tables were full we would've had to wait 30-40 minutes for an indoor table to be full. Well guess what, not no more! As soon as I expressed my grandmothers wishes they quickly worked together to arrange for seating inside the restaurant. A restaurant and staff members that truly care about the comfort and safety of their patrons is an establishment I can respect.Now onto the food. When I tell you this food is made FRESH. Like, when we sat down our server Jen asked for patience as they just made a fresh batch of pancake mix and biscuit dough. Like hello?!! FRESH PEOPLE! The sangria? Made freshhhhh! The Bellini...FRESH PEACH PURÉE! Honestly it's so scarce to find restaurants in the city with good old southern, authentic, comfort food. Man oh man. We ordered some biscuits for the table and they were flaky, buttery, cheddary, and just delicious. We opted for the full brunch which is $24 per person and includes your entree (which is already stacked) and your selection of: Turkey Bacon, Turkey Sausage, or fresh Salmon Cake AND choose a Mimosa, Bellini, Michelada or Fresh Squeezed Orange or Mango Juice, too!! Like my goodness! The menu is everything you can imagine. Shrimp or fish and grits, pancakes, challah French toast, eggs, potatoes liiiikkkeee. Again. Fresh.And let me tell you about the fresh. Not only is it made to order but it is SEASONED!!! FLAVOR!!! Hot and ready and just my goodness. Let me tell you something. I recommend this place 10/10. Family oriented, girls meet up, date day. The vibes are here, the music is classic and the staff is lovely."
3/18/2022,4 star rating,I've been meaning to go to Home Sweet Harlem for a while now and it did not disappoint. It's very spacious & comfortable.  The service was great and the chef was super sweet.  I felt like I was eating at my aunty's.  I'll be back.
4/24/2022,5 star rating,The decor inside gave a true New York feeling! The food was amazinggggggg!!! I had the fish and grits and the texture of the fish was cooked perfectly ! The grits were not lumpy and the eggs were amazing!!! The chef was a joy and very delightful to interact with! The staff are so friendly and attentive I couldn't help but fall in love !!! I will definitely be back to this restaurant when I visit Harlem again and if I do say so myself those who are in Harlem visiting or even a resident should definitely try this place!!!!!!
5/7/2022,5 star rating,I went here with my three teenage kids and we have a great meal and great service. The menu for brunch was very tasty. And the coffee was incredible. I will definitely come back.
1/30/2021,3 star rating,"Gotta say I was expecting better from here based on reviews! Used to live near here in Harlem and thought it was very convenient so had to check it out!Had high hopes but this place is a bit pricey, service is really slow(but nice staff), and the food isn't much to rave about. I think I'd feel differently if the food was WOW but it wasn't one of those worth the wait spots. Really wanted to like this place but don't know if I really would recommend it to others and may stick to other spots in central harlem instead."
5/20/2022,1 star rating,I would advise to stay away from this place at all costs until they get it together unless you want to waste an hour of your morning. We sat for 40 minutes after waiting 15 minutes for water. There were three servers and about 5 tables sat. To me that math says that staff either doesn't know or doesn't care. I also walked up and politely asked to order about a half hour in and they assured me someone was coming over. Another 15 minutes later of being ignored we walked to dear mama manhattanville. Save yourself some time and start there instead.
2/24/2022,3 star rating,"We went for brunch.The menu was not up to date... it didn't have chicken and waffles on there but according to the server, they offered it. Also the menu had mimosaa and bellinis and sangrias as options but according to the server they didn't have their liquor license so no alcohol was allowed. So confusing. Overall, The server was friendly and jovial but he messed up our order a few times. Also it took over an hour for our food to come out and the appetizers didnt even come out before the main food.... Everything came out all at once. The food was good Though. The chicken was well seasoned and the French toast was decent. The fresh squeezed orange juice was good though could have been colder. The cook did come out from the back to apologize to us for the delay and for the waiter getting the orders wrong. That was a nice gesture."
