date,rating,review
6/1/2022,5 star rating,"HEYOOOOO the best soul food i've found so far, and i knew harlem would be the place. let me tell y'all --the food is amazing and the service was lovely. it's affordable and it will feed you for daaays. we got the fried catfish dinner--can i tell you this was seasoned!!!! wow i could eat that for days. esp paired with their hot sauuucee ooo it's amazing. the meals come w 2 sides and we got the mac&cheese and collared greens. it's everything you'd dream of. mac and cheese was cheeeesy and melty and baked. collared greens were salted and seasoned, not bitter at all! bbq zing wings--it's like a reeeeallly tangy bbq sauce, and it's addicting af. we almost got another batch! they're crispy and super saucy, they definitely don't shy away on portions. i cant recommend this place enough! it's worth the hike if you don't live in harlem!!"
2/6/2022,5 star rating,"The service & food was outstanding. We ordered the Crab Cake Plate with Cabbage & Mac. Lobster Fries, Shrimp w/ Wings, & One of their Juices. All of the food was fresh & delish. Large portions of food, worth the price. Cash Only so bring your Dinero."
6/1/2021,5 star rating,"Passed this spot while walking back to the brownstone I'm staying at and saw this guy holding a bowl full of big beautiful crab legs. I instantly went to Yelp lol. Saved it to view once out of the rain. Decided to eat dinner here tomorrow. First night in New York and I think I'm in love. Did the create of own fresh seafood boil. You take a bowl and pick your items YOURSELF. Jumbo Prawns, Scallops, Snow Crab Legs, Corn, Cabbage, and Brussel Sprouts in Old Bay and Garlic Butter. Also added a side of Mac N Cheese because the reviews highly suggested it. The peach cobbler was sold out. The wait was lengthy but it was crowded and you have to allow cooking time so no complaints there. The garlic butter is COOKED TO ORDER!!!! That alone speaks volumes. They have a sauce rack/area where you can fix your condiments to take with you so I took lemon juice, cajun seasoning, and hot sauce. The food was beautiful as she ladled the garlic butter on top. Once back inside I found the seasoning lacking a great bit for my liking so I added a good bit of Cajun seasoning and the hot sauce for spice. The prawns were over cooked and that made me very sad bcus of their price lol. But it's a risk when cooking it all together like that I know. The scallops were fine and the crab legs and corn were perfectly and fresh. The brussel sprouts were done and so was the cabbage. The Mac and cheese is definitely scratch made and you can tell. It's full of cheese and made just the way you love it from a good ole southern kitchen like my own lol. (Visiting from Alabama) I love the fact that you can pick your own seafood yourself and that it's steamed fresh. I just need more flavor and spice personally. Would definitely recommend and would definitely return to try more of the dishes I watch them prepare while waiting."
10/3/2021,5 star rating,"I ordered the loaded lobster fries online. The line to order in person can be very long. The loaded lobster fries are so good. The amount of lobster and shrimp you get is insane for the price. The only thing I wish they gave more of were actual fries. It wasn't an issue for me, I just made more fries at home to add to the batch. This is also a meal you can share. I normally eat a lot but it's definitely something I suggest sharing because it's a lot!"
11/12/2021,5 star rating,Everything is delishes ! Highly recommend Greens are especially good Also I went to the 2nd location near 116th.. cool hookah bar connected to it if you wanna sit down and eat maybe smoke some hookah and have some drinks
7/26/2021,5 star rating,"Video Review Here: vm.tiktok.com/ZMd7BN629I've been highlighting black owned NYC restaurants on my food vlog, and came across theinfatuation.com's list, where I found Lighthouse Fish Market. I'm officially a New Yorker, but a Maryland native at heart, which mostly means that I know and love good seafood. Maryland does seafood well! Here in NYC, I've had amazing seafood, ok seafood, and terrible seafood. It's always a toss up, and a risk, even. Today, when approaching Lighthouse, I just had a feeling. I had the feeling that they'd get it right....I walked in to find a line of people. Some of which, I could tell were regulars. They just had that ""I've been here before"" energy. It kinda excited me to see their excitement. I saw some of them walking out with their orders, which looked really good. I noticed that they only accept cash, so had to step out to go get some. Once I came back, I knew that I wanted a fish and shrimp and chips platter, but was unsure of which fish. I asked the cashier if she prefers the whiting or the catfish. She says she doesn't eat fish lol, but said that they're both quite popular. I went with the catfish, shrimp and chips. I placed my order, and waited maybe 20 minutes, which is fine. I saw them hand-battering the fish on sight, which honestly makes it worth the wait. When they're making your order fresh at these restaurants, it takes time. To me, it's totally worth it to have my food made to order. While I waited, I got a couple dipping containers, and loaded some with lemon juice, ketchup, hot sauce, and tarter sauce. Oh, yes....I was ready to go IN! Lol. So, I get my order, and I couldn't believe how much food it came with. It was huge! It was a big enough portion to feed at least 2 people. It cost me $20, which was amazing. I take my order to a bench nearby in Harlem, and I get down to business! People walked by and told me how good it looked lol. I was makin' the people hungry lol. I started eating the fish, and it was beyond fresh, crispy, and seasoned to PERFECTION! I wasn't expecting it, honestly. I mean, the flavors they developed were perfect. The same with the shrimp. Beyond crispy, fresh, and flavored nicely. Even the fries were nicely flavored. There's no extra salt necessary. They take care of that for you. I dipped the fish in the tarter sauce, and it was just perfection. I'm sorry that I haven't heard of this place sooner. It is extremely well done, black-owned, and produces some of New York's best seafood. My only minor critique would be cleanliness for the kitchen area. Otherwise, I had an amazing experience!"
5/29/2022,4 star rating,"First, I am going to state each time I visited both establishments the food has been excellent.  I truly applaud the owner for growing his business during these uncertain times we are living in.  However, I have a concern with why the establishment do not accept credit cards.  People come in to support this establishment but is required to utilize an ATM machine that charges $3 fee plus the bank fees.  We are living in times where people are using debit/credit cards.  Cash is rarely preferred due to safety concerns, etc.  Consideration to accept credit cards should be considered to improve the quality of service and it will show some care and concern from the owner."
7/23/2021,5 star rating,Harlem. Soulfood.Black Owned.Always Packed.Long Lines. Very Tasty & Flavorful.Order In Advance. I Will Always Support.
8/14/2018,4 star rating,Always Wanted To Come Here For Some Seafood.It Was Worth The Wait. The Food Very Flavorful. Tons Tasty Options. The Customer Line Was Out The Door. This Was Just A Monday Lol.  I Can Image What Fridays Look Like. Definitely Stopped On The Side Of The Road & Body My Whole Plate Of Food. Would Definitely Patronize This Restaurant.Good Job.
4/5/2021,2 star rating,"Food was good but the wait time is insane.  I ordered fish and chips,   I waited for more than one hour. You can not dine in, this is take out only.  I got in line, only to realize after standing in line for 15 minutes that there was a note on the cash register that says, accepting cash only....no debit or credit cards.  This sign should be placed on the door. By the time I saw this there was one person in front of me placing their order.  I got out the line, stepped outside to call my husband who ran a quick errand.  He had cash on him and brought it to me.  I got back in line and waited another ten minutes before I was next to place my order.  This place is super busy and the customers follow the mask rule, but they do not honor space requests at all because it's a bit difficult to do so due to spacing. I waited long enough to see employees openly arguing loudly in front of customers.  I was there long enough to see customers who had already waited over an hour argue with the staff because they were told there was a certain amount of an item available only to find that the product was prepared and given to someone else, requiring that they wait longer.  Overall the food was really good, fresh, chips nice and crunchy, and everything was seasoned appropriately BUT there are other restaurants where take out would be much quicker, with far less drama going on.   If we knew the wait would be this ridiculous we would have opted for an indoor dining experience at a sit down restaurant."
