date,rating,review
6/5/2022,5 star rating,"This was one delicious dinner we had at Melba's. I had no complaints maybe my bestie for not having rice and peas. Yo they even gave us oxtail gravy on the side and it was a lot. The fried chicken breast was juicy and flavorful. I loved the greens had a bit of sweetness. I loved their homemade hot sauce. The catfish was fried perfectly. Didn't care too much for the sauce that came with. The spring rolls were good it was made with cheese, collards, rice, and black eyed peas. I'll be back soon. There is also another room when you ener which I didn't get to film with a small bar. Their portions are big and filling."
6/3/2022,3 star rating,"Food:Mashed potatoes were cold. Both the sautéed spinach and the collard greens were extremely salty. The mac & cheese was also quite salty but would be tolerable if not accompanied by even saltier sides. A$AP yams were cloyingly sweet and not ""sticky"" at all, despite the description. Chicken and catfish were both great!Water is served in plastic cups, while cocktails were served in glasses. Why?Service:The manager was very friendly.  Everything else was a bit of a mess.  One server came to take our orders within a couple minutes of sitting down, before we had a chance to make decisions, and no one came back for about half an hour. After putting in our orders (different server), the drinks came out within a reasonable time but we waited another 40 minutes for the food to arrive. As a vegetarian, I won't be back, but Melba's is a Harlem institution and I'll continue to recommend it to non-veg friends."
5/17/2022,5 star rating,"Let me tell you something. I mean what I say and I say what I mean. Best soul food RESTAURANT in New York City. Hands down. No question. Find me a better one and we'll battle. Not a take out spot, not a mom & pop spot ( love them all btw) but if we're talking RESTAURANTS then Melba's takes the cake.You need a reservation here unless you don't mind waiting 30mins-1hr for a table. ESPECIALLY on a weekend. Black folks don't play bout our dining here so a reservation is HIGHLY recommended.Speaking of recommendations you can close your eyes and order blind and you'll enjoy everything. I've had the catfish, chicken, Mac & cheese, candied yams, collards, and a whole bunch of other sides I can't think of right now BUT LEMME ASSURE YOU ITS DAMN GOOD. Like, the servers almost don't have to check on you after the food is delivered. The table has syrup and hot sauce ready for you and the food is just made to perfection so once you have it, bliss mode activated.Just dine here, that's all I gotta say. Do it, enjoy it, love it."
6/4/2022,5 star rating,"I'm always watching The Food Network Channel. One time I was watching and Melba was one of the food judges. It showed her restaurant in Harlem N.Y. I knew instantly I wanted to visited her restaurant. So, glad I had the pleasure of visiting on last week. The staff was organized and very attentive. Small space with an outside patio. Nice music and energy flowing. Our server was nice. She had a nice Harlem Accent. I ordered the  2pc catfish fillet with greens and mac and cheese. Let me just say this is how soul food is cooked with perfection and good seasoning. We all ordered the Roc Berry LemonadeCocktail. There was no compliant at our table. This is another one of my favorite places to dine and eat in New York. If your ever in N.Y I highly recommend you stop by Melba's Restaurant. A small fun fact. I also have an aunt named Melba."
5/1/2022,4 star rating,"Can I have born, bred and buttered engraved on my resume please?Despite not having a reservation in the middle of lunch hour, we were seated pretty quickly. Ordered the signature chicken and waffles with sides of yams, collard greens, and mac and cheese. I won't lie, it did take a bit for our food to arrive but, I also think that's just a pandemic product (understaffing and whatnot). Our waitresses were trying their best!The food itself, was yummy. The waffles were soft and sweet, the chicken fried and well seasoned. The strawberry butter, wasn't too crazy about. Too much of it had like a strawberry candy sweetness to it. The yams were sugary, and the collard greens were nice bitter break from the richness.The mac and cheese though. Omg, probably one of the best mac and cheeses I have ever had. Cheesy with a considerable crust on top, and flavorful, most importantly. Honestly, I would just go back for a plate of that!"
5/26/2022,5 star rating,This is my second time dining at Melba's in four weeks. The food is still great y'all! I could not wait to order these sides again and I opted to order a different protein (fried wings). My first visit I ordered the same sides with short ribs (I salivate every time that I think about them)!  The Turkey meatloaf was gigantic and quite tasty too. I am a forever fan and will continue to patronize Melba's whenever I visit Harlem.
4/18/2022,4 star rating,"Came to NY for my bday weekend and my mother recommended Melba's. We went for lunch. It was not crowded which was nice, so we were seated right away. We had the spring rolls which were yummy. Not as flavorful without the sauce but definitely good. For lunch we had oxtails with rice and peas and macaroni and cheese, and the dry rub wings with collards, yams and spinach and cheese empanadas. I was a bit surprised to see empanadas on the menu. They tasted fine, no different from any other empanada. Everything was good! However, I was a little perplexed that my Mac was touching my oxtails, but they put the rice in its own bowl. I think it should have been the other way around. I am one of those people who hates their food to touch so it threw me off a bit. I still ate it though. I was not as excited about the Mac mainly because it had quite a bit of cheese. I love Mac and cheese (together and separately - LOL) but I was worried about how my stomach would react to so much cheese at once. Thankfully I was fine.  All the food was very flavorful and I would recommend trying any of it. I also had a glass of rum punch which gave me a nice buzz. Very tasty too!Lastly we had some pineapple coconut cake for dessert. Delicious! Definitely recommend, but don't come here if you are in a rush. Service was a bit slow. It seemed like they didn't have enough wait staff so lots of people in our section had to keep asking the busboys for someone to come to their tables. Our waitress was wonderful but you could tell she was overwhelmed. She had just about every table in our section except the two the bartender took on, and some tables outside. So bring patience and your appetite!"
6/12/2022,5 star rating,Really great fried chicken. Service was so pleasant and helpful. Sat outside on a Sunday afternoon and enjoyed people watching.
5/6/2022,5 star rating,"Now THIS is southern comfort in NYC! The best placeFor chicken and waffles. I'm a big sides girl so I had the Mac, the greens and a waffle on the side of myChicken. The food was delicious. We even got to meet Melba! She was so kind and took a photo with us. We felt so grateful that she took time out of her day to chat and take photos! You will definitely see celebrities here. The food is just AMAZING!"
3/3/2022,4 star rating,"Went to Melbas on a couples trip last weekend. I had a great time. The host was very sweet and upbeat. We sat down quickly and ordered. I got the dry wings which were old bay. I'm from MD, they were actually really good. But 5 wings is not enough for the price. I ordered fish and chips the fries seem as though they were fried in old oil, but the fish was delicious. My BF got the wings, mac and yams. He loved it mainly the yams, and said that it was big portions. Our server was sweet but kind of rushing not as attentive. But we saw she was working the bar as well so I know how that goes. Overall I will definitely be back. We were kind of sad the food was so short to get back to us. It's a nice vibe."
