date,rating,review
6/24/2017,5 star rating,"Incredible restaurant!! We ordered a traditional Senagalese chicken dish, Le Poulet Yassan, and the Kasbah Lamb Shank. Both were absolutely incredible - wish I could describe it more but you have to try these dishes yourselves. The chicken was well spiced and the lamb had a great sauce. These dishes are pricey but com in generous portions. Three of us split two dishes and it was the perfect amount of food. If you're looking for something different to drink, I'd recommend the French Ginger cocktail. It was tasty and definitely worth trying. We also got a free cheesecake which added to the good experience. I definitely need to come back here again!!"
5/27/2017,4 star rating,"I had dinner with party of 10 friends here. We loved the ambience and the fact that it closed at mid-night which gave us time to drink, chat and catch-up. Food-wise, I had the Le Poulet Tagine and replaced the couscous with rice. It was delicious! My only reservation was that we ordered the ""sweet plantains"" and it seemed like the rubbed syrup on the plantains . I like my plantains fried with no syrup. A friend ordered plantains and it didn't have syrup. I'm not sure if the offer 2 different types of plantains so beware. Lol. I also loved that they gave us separate checks without us having to ask for it!"
6/21/2016,4 star rating,"The Quick: Great brunch with standard and more eclectic options. Easily seated a group of 5 with no wait. Great indoor/outdoor option for summer.The Details:  overall we had a great experience at this restaurant. The staff was friendly, they kept our coffee mugs full, and did not rush us out. The scramble was the groups favorite with a side of lamb sausage, but everything we had was very tasty. We did not love the bloody Mary as it was I have a taste of tomato. But absolutely return.Pro tip: They have a phenomenal happy hour with drink and food specials if you're in the area. The Damage: Brunch for 5, with multiple sides and one drink was ~ $100 before tip."
4/7/2016,4 star rating,"Dinner for two on a Saturday night! This was the only place in our list of restaurants that had a table available so we decided to give it a try. It was a small restaurant but very cozy with great decor. It's a great place for a date! We ordered the crab cake special for appetizers. It was extremely tasty. They also put this cole slaw type thing on the bottom which complemented the crab cake. I was impressed. Only thing was the portion - there was only one serving, I think we each took like 3 small bites max. I wish it was a bigger portion. As for entree, I ordered the seafood linguine and my friend ordered the seafood risotto. They were both great. The risotto wasn't too soggy or too hard. My dish was too saucy and too bland for my taste. I was looking for pepper and salt but I didn't want to ruin the dish. We also got a free creme brulee for checking in via Yelp! But it was a disappointment. It was a pre-made refrigerated dessert, we did not like it at all. Overall, the experience was great! Our waitress was attentive and nice. I would come back!"
5/7/2016,4 star rating,"Came here for Saturday brunch. Interior was pretty standard bistro looking, waiter was very smily and friendly.We had the Lobster Benedict and Steak and Frites. The portion for both dishes are decent, not too much and not too little.Lobster Benedict was tasty. Great hollandaise sauce and lobster was succulent! Home fries was perfectly cooked.The steak came perfect medium-rare. The super peppery steak sauce was very delicious. Their fries is crispy and very yummy.We also got the free cheesecake from Yelp check-in. (You can choose Creme brûlée or cheesecake).I'm very interested in their dinner menu as well, will come back to try!-dinner review-We ordered Niokolokoba coz we kind of love their brunch steak. Same amazing peppery sauce and fries we love! But the sirloin was a bit tougher not the type of meat I love....Had the fish empanadas and fried chicken wing as the appetizer. The spicy sauce came with it was mind-blowing!"
11/22/2016,5 star rating,"As I was looking up places on Yelp that delivered, Ponty Bistro was one of the closest with a high rating and I was intrigued because they serve African food. I'm not entirely sure if the cuisine here engulfs many different countries or just features one culture, but either way Ponty Bistro was enough to make me deeply consider a foodie trip to Africa.So delivery. In New York. On a Friday night.But no joke, I got my food in a little under thirty minutes. And when it arrived, I think a chef actually delivered it (based on his attire). And they had a deal going where if you ordered over $35 or $40 you also got a free cheesecake. And being that they had so many tantalizing options, it was not hard to rack up a $40 bill.I ordered the Fataya (similar to an empanada), Three Cheese Gougere (a cheesy bread pastry), Moules Africana (mussels), Rosemary Potatoes, and of course the free Cheesecake. Everything, and I mean everything, was delicious. Both the gougere and mussels had a little kick, but it wasn't overwhelming. And the sauce the mussels were in was amazing for dipping the gougere and the potatoes. What really surprised me about the mussels was the amount, I ordered the appetizer size which is smaller than the entree, but it was still a lot of food. The Fataya were really delicious and I can't really describe the flavors inside other than to say I devoured them quickly.But the cheesecake. The CHEESECAKE! With the first bite the only thing that raced through my mind: Have I ever even had real cheesecake before? Honestly, I don't think they use cream cheese, I think they use mascarpone. This was the smoothest, most heavenly cheesecake I've ever had. I would absolutely put them as one of the top cheesecakes I've ever had.I don't know when I'll be back in NY, but I know when I am I'll be making it a tradition to eat at Ponty Bistro. The food was beautiful (even being served in plastic containers), flavorful, and sinfully good!"
2/7/2017,3 star rating,"Good food, bad price. I got the seafood risotto. It was quite delicious. the flavors and the little kick, and good amount of seafood. But it wasn't really worth $30 to me. why did i order it? i guess i felt the yolo calling me that day. My friend got the mussels which were really good. well cooked with a good aromaservice was nice but a little curt.i think on food alone, this place deserves a 4 or 4.5, but it's just unnecessarily expensive. maybe if i was richer i could rate it higher haha but $30 for a risotto hmmmm... i can get 4 burritos with that."
11/25/2016,5 star rating,"If there is any place to be impressed by service, this is it. There's no rush to leave, but the waiter seemed to know exactly when to step in and transition from course to course. My friend, a bit of a food snob, and I were impressed by the main courses!This is a fantastic place to celebrate or splurge on a nice meal. The attention to detail on plating and food flavors was rather fantastic. Relatively good prices on drinks! Was empty when we got in at 5:30, but more people showed up around 6. Music at a perfect level or loudness to make silences not awkward and not too loud as to disrupt conversation."
4/13/2014,2 star rating,"Open Letter to Ponty (Part One):Respect ALL of your customers. Do not participate in voucher programs if the end result is unfavorable to your business and it's future. I have to say that last night was quite an unexpected and unpleasant experience that my friend and I had dining at your establishment. Firstly, I'll start off with this: I first learned about your restaurant through Groupon a couple of years ago. You offered a three course meal with wine for a very reasonable price and the thought of trying African/French fusion was very intriguing to me. I was hooked. I loved the food, the ambience, the attentiveness and friendliness of the staff. Based on my initial visit, I returned; I returned quite a few times, thereafter. On several occasions, I brought my sister, a chef friend, my husband and his mother, many other friends on different nights and some other family members as well. On a few of these occasions, I used vouchers that you offered on the different social dining sites but more often than not, my guests and I paid full price for our meals because I felt your food and treatment of your patrons was that good.I consider myself a foodie and I work in the medical field, along with many other people from all walks of life and, when asked for my input on a good place to dine in the city, your establishment was the first I would recommend. I have written wonderful reviews and tips on Yelp about your food, staff and how amiable they have all ways been, each and every time I have visited. A few fellow Yelpers even decided to try you guys out after reading my review because of how much I raved about your food and my dining experiences. Last night however, made me see your restaurant in a different light. My sister and I purchased a few vouchers and realized that they would be expiring this week. Each voucher was worth $40 off the bill, along with a dessert. Each voucher cost $27. Essentially, the patron is getting $13 off the bill and a free dessert. This deal is a far cry from what you offered when your restaurant was doing much more poorly. I used my voucher for a dinner with my husband and mother-in-law on Sunday, returned again with my sister on Wednesday for another meal and then again yesterday with a new friend that I had wanted to bring to your establishment for quite some time but never got around to doing so. I live in Westchester, so you can understand the commute to Murray Hill is not an easy one. Between all three nights, I believe I spent about $300, not including our very generous tips for your staff or the cost of the vouchers. Considering that we only received thirteen dollars off of each meal and two complimentary desserts out of the three dinners, I think we supported your establishment plenty."
4/11/2014,2 star rating,"Open Letter to Ponty (PART II):Open Letter to Ponty:Now to talk about last night in more detail. I made reservations for my friend and I to enjoy your food and I raved about how much she would enjoy the evening for the entire drive downtown. We stood in the doorway with another group of patrons, waiting for the bustling dining room to empty some, so that we might get tables soon. After some time, we were seated and waited a little too long for our menus, considering the couple who arrived about fifteen minutes after us, waited for about ten more minutes, were seated and promptly given menus. Maybe I should have taken that as an omen but instead, I decided to graciously request a menu from what looked to be the only server you had on staff on such a busy night; another reason I let the menu mishap go.We ordered a bottle of wine, some appetizers and our entrees. We had some light conversation with the friendly gentlemen seated next to us. One of them was French and he was dining with a friend whom he brought to your establishment with the same intent that I had; to offer a delightfully new meal and experience to a colleague. The Frenchman inquired as to how I came across your restaurant and I began to explain that it all started with the voucher program.I told him that the cuisine sounded interesting and after trying the food, my sister and I were hooked. I was telling him that I visited the restaurant a few times earlier in the week. I was in the middle of explaining to him that my sister gifted me the voucher we were using for dinner because it was going to expire when you, Cisse, after overhearing what could only have been a portion of our conversation, we're prompted to attempt to embarrass and berate my friend and I by telling our dining neighbors that you don't make money from the voucher system. You proceeded to climb some imaginary restaurateur soapbox and explain how the voucher system doesn't help your business and how the companies harass you to utilize their program when it doesn't benefit you. You took it a step further to retrieve a receipt to show how little you make from the vouchers and explained how much your food costs. Side Note: About how much profit did you make from that bottle of Sancerre I purchased? It cost almost $40 on your menu but I am sure it probably cost less than $15 retail and you probably spent even less for it, wholesale.  You spoke in English but mostly French and I gather, from the reaction of our neighbors, that you were being a bit insulting. I really wish you would have spoken completely in English because then, maybe, I would have put you in your place right then and there. You spoke as if you were disgusted by patrons who use vouchers. You walked over to the four-top that were huddled alongside my friend and I while we waited for our tables upon arrival, and proclaimed that you are only in business because of them. That they have been dining with you from the beginning and they are the patrons that keep the heart of your establishment beating! This, I'm assuming, was to separate the voucher diners (us) with the originals (them). My question to you, then, is WHY ever participate in the voucher program in the first place? Why after your business picked up, did you continue to participate over and over again through more than one voucher company on several occasions over the years and sometimes, even participating on multiple sites simultaneously? It seems to me that your little rant and how you would like your business ethic to be, are a bit of a contradiction. I must say that you may have lost in your effort to try and make us look bad. I felt vindicated when the gentlemen seated next to us assured me that we had nothing to apologize for and again, if your establishment gets no no benefit from the voucher system, then you should not participate. Plain and simple. I am happy for your sake, Cisse, that you chose to verbally attack two women because had my husband been my dinnermate, I believe the night might have ended quite differently for you. Not to mention, the reason I stated earlier that I received two out of the three desserts is because once we received out check, we left. You turned a nice night sour and we weren't even able to full enjoy ourselves. You chastised us enough to leave our dessert and we won't be back to claim it. You obviously need it more that we do. Neither my or my husband's family will be dining with you. My friends will not be dining with you and I will be sure to pass this little experience on to my chef friend who I am sure will not be dining with you in the near or distant future. In the future, if Groupon or LivingSocial bully you into participating in their voucher programs, why not add to the fine print and ask that patrons who have utilized a voucher in your establishment in the past please not purchase another for use in the future. After doing so, let's see how many new followers you have, dining with yo"
