date,rating,review
5/8/2022,5 star rating,I had the chicken and oxtail. everything was so tender and delicious. i thought it was seasoned well and had lots of flavor. i highly recommend and the gentleman working was incredibly nice.
1/23/2022,5 star rating,"Stumbled upon this place in New York while visiting and it was by far one of our favorite meals! The jerk chicken is incredibly moist and delicious, the mac & cheese was amazing as well with the perfect amount of spice. Boubie is so nice and also made the whole experience incredible. The food here is so good we came back three times, we couldn't get enough!"
5/29/2022,2 star rating,"There are some restaurants you go to where you immediately know it will become a go-to for you; where the food is flavorful and the service is prompt and friendly. From the first bite, I knew this wasn't it. I ordered the oxtail and jerk chicken meals for take out. The order was ready when it was promised and the food was at least hot, but it was also very bland. The jerk chicken lacked spice (Which is a mystery to me with jerk) and the oxtail stew was the most unflavorful I've ever had. The chicken drumstick also had a few feathers at the base still. I can't figure out if the meat just wasn't marinaded long enough or if the spices were just lacking overall but everything went in the bin. The other issue I have is that the takeout prices through grughub are a bit higher than the dine in prices. I can only assume whatever fees are being charged to the merchant have just been added to that option so it's cheaper to go in and takeout than placing an order online. If you're looking to stop up gas and are on your last, the food with stop a gap. But if you're looking for the taste of home, go elsewhere to avoid serious disappointment."
2/6/2022,3 star rating,"I want to love this spot more but I feel a bit disappointed in the flavors here. The jerk chicken looks like it's got good char and it's tender and moist but oddly bland. The jerk sauce that was poured on was pretty one-note and didn't add much. Maybe I should've asked for extra hot sauce? I've just had so much better jerk chicken elsewhere that I can't really say this spot with fulfill a craving for jerk.Mac and cheese is VERY cheesy. It's rich and pretty good, but nothing particularly special. They were pretty generous with the portion of mac and cheese that I got. Staff are nice and quick.Pineapple salsa is great! It was nice to have a bit of that sweetness in the meal.It's definitely Chelsea Market prices, without the huge portions out in Brooklyn."
5/30/2022,3 star rating,Pricy but outstanding jerk chicken.  Other fixings are good when fresh. Price makes this a difficult choice except when you really want Jerk chicken!
3/14/2022,2 star rating,Satisfactory Jamaican food. It's a alright find within Chelsea market but you can find better within the city.
5/29/2022,1 star rating,$17 for this ? Maybe since it was ubereats they just send you scraps. Smh. Didn't even include the pineapple salsa it's suppose to come with. I would of rather starved than waste my money on this.
6/22/2021,5 star rating,It was excellent.Well seasoned.The chicken is juicy and moist.The pineapple sauce works beautifully.The prices are fair.The customer service was excellent.We'll be back.
11/24/2021,5 star rating,"I'm so glad that I was able to swing by and try this spot at chelsea market. The chicken was super flavorful and the portion was generous. I enjoyed the pineapple salad and the beef pattie as well. The worker was such a kind, jolly man. He joked around with everyone that stopped by to order. It made the entire experience so much better! If you're craving jamaican food and you're in the area - I definitely recommend stopping by and supporting this gem!"
5/27/2022,3 star rating,"I stumbled upon this place looking for somewhere to eat. I had the jerk chicken with peas and rice with oxtail gravy, the chicken leg wasn't bad, it had a good jerk flavor. The oxtail gravy was flavorful on my rice. I just have a problem paying the price but I understand considering the area ( high rent)."
