restaurant_name,total_num_reveiws,final_average,t0_reviewcount,t0_averagerating,t1_reviewcount,t1_averagerating,t2_reviewcount,t2_averagerating,t3_reviewcount,t3_averagerating,t4_reviewcount,t4_averagerating
lizzy j cafe,130,4.32,45,4.64,52,4.51,54,4.53,69,4.49,85,4.33
the park supper club,18,4.33,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0
peachs restaurant,443,3.56,415,3.54,418,3.54,419,3.53,419,3.54,426,3.55
aint she sweet cafe,279,4.18,238,4.18,239,4.18,242,4.18,243,4.19,257,4.2
majani restaurant,289,4.24,227,4.28,230,4.29,235,4.29,238,4.3,257,4.27
soule,426,3.81,291,4.0,295,3.99,299,4.0,311,4.01,334,3.95
batter and berries,2884,4.2,2440,4.19,2474,4.19,2482,4.19,2497,4.19,2570,4.2
andysunflower cafe,10,4.9,1,5.0,2,5.0,2,5.0,4,5.0,7,4.98
luellas southern kitchen,697,4.12,594,4.13,595,4.13,598,4.13,601,4.13,628,4.14
banis beets,24,4.46,8,4.32,9,4.34,9,4.38,10,4.4,12,4.47
the burger point,656,3.98,589,3.95,591,3.95,593,3.96,600,3.96,615,3.95
i cant believe its not meat,232,3.96,87,3.77,90,3.78,95,3.76,106,3.8,155,3.88
