restaurant_name,total_num_reveiws,final_average,t0_reviewcount,t0_averagerating,t1_reviewcount,t1_averagerating,t2_reviewcount,t2_averagerating,t3_reviewcount,t3_averagerating,t4_reviewcount,t4_averagerating
detroit vegan soul,396,3.96,387,3.96,388,3.96,390,3.95,392,3.96,394,3.96
the block,271,3.78,240,3.69,240,3.69,240,3.7,240,3.7,242,3.7
the jamaican pot,347,4.1,289,4.17,296,4.14,300,4.13,305,4.11,324,4.11
yum village,155,4.3,67,4.6,77,4.49,80,4.47,84,4.44,98,4.46
good cakes and bakes,100,4.13,70,4.12,72,4.13,73,4.15,76,4.12,87,4.11
dime store,1576,4.42,1409,4.41,1424,4.42,1427,4.42,1428,4.42,1441,4.42
the narrow way cafe and shop,64,4.86,42,4.79,42,4.79,42,4.79,44,4.8,61,4.85
house of pure vin,30,4.73,24,4.84,24,4.84,25,4.84,25,4.84,26,4.83
fusion flare kitchen and cocktails,35,4.43,24,4.5,24,4.51,24,4.52,26,4.54,29,4.55
le culture cafe,232,3.37,178,3.51,189,3.52,191,3.51,191,3.5,200,3.46
berts marketplace,189,2.98,160,3.1,161,3.1,162,3.09,162,3.09,168,3.08
savannah blue,401,4.16,349,4.2,356,4.19,359,4.19,360,4.19,369,4.2
detroit is the new black,10,3.8,7,3.89,7,3.89,7,3.9,7,3.91,7,3.94
baobab fare,124,4.82,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0
coop caribbean fusion,45,3.42,26,3.26,27,3.22,27,3.27,28,3.29,35,3.31
ima,531,4.37,451,4.41,457,4.4,458,4.41,458,4.41,471,4.41
they say restaurant,151,3.49,129,3.46,130,3.45,130,3.46,130,3.46,135,3.44
detroit soul,51,4.18,29,4.17,31,4.2,32,4.24,34,4.22,43,4.17
trap vegan,28,4.29,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0
central kitchen and bar,401,3.68,354,3.65,355,3.65,355,3.65,355,3.65,362,3.66
floods bar and grille,143,3.32,128,3.39,128,3.38,128,3.37,130,3.35,133,3.32
ivy kitchen and cocktails,105,3.19,11,4.26,25,3.48,26,3.39,26,3.4,36,3.42
sloppy chops,47,3.09,1,4.0,1,3.54,5,3.48,7,3.32,15,3.31
sweet potato sensations,138,4.5,97,4.49,97,4.49,97,4.49,98,4.49,109,4.5
norma g caribbean cuisine,136,4.16,79,4.29,83,4.22,85,4.21,87,4.23,101,4.16
kuzzos chicken and waffles,706,3.27,619,3.38,622,3.37,627,3.36,634,3.35,649,3.33
city wings,117,4.09,107,4.12,107,4.12,108,4.12,108,4.12,110,4.11
bakers keyboard lounge,205,3.79,186,3.92,188,3.92,189,3.91,189,3.9,192,3.86
joe louis southern kitchen,66,3.3,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0
detroit sip,17,4.94,13,4.93,13,4.93,13,4.93,14,4.93,14,4.93
