restaurant_name,total_num_reveiws,final_average,t0_reviewcount,t0_averagerating,t1_reviewcount,t1_averagerating,t2_reviewcount,t2_averagerating,t3_reviewcount,t3_averagerating,t4_reviewcount,t4_averagerating
kingston,160,3.64,153,3.65,153,3.65,153,3.64,153,3.63,155,3.65
lolos seafood shack,811,4.04,684,4.14,692,4.13,698,4.13,707,4.12,742,4.09
the edge harlem,690,4.13,575,4.15,589,4.16,589,4.16,591,4.16,618,4.15
blvd bistro,813,3.98,510,3.9,528,3.89,542,3.89,544,3.9,602,3.93
tings jamaican jerk chicken,71,3.77,37,3.84,38,3.8,38,3.74,42,3.74,44,3.76
famous fish market,240,3.94,201,4.01,202,4.02,205,4.01,208,3.98,221,3.97
accra,137,3.93,109,3.94,113,3.98,114,3.99,116,4.0,121,3.94
home sweet harlem,519,3.73,460,3.78,465,3.76,467,3.75,467,3.75,479,3.69
reverence,20,3.95,15,3.61,15,3.62,15,3.65,15,3.67,16,3.72
lee lees baked goods,191,4.47,158,4.46,159,4.46,161,4.47,163,4.47,169,4.46
mintons playhouse,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5
lighthouse fish market,291,3.44,233,3.58,236,3.57,245,3.54,249,3.52,266,3.48
seasoned vegan,770,4.23,120,3.62,120,3.62,120,3.62,120,3.62,120,3.62
ponty bistro,492,3.86,492,3.86,492,3.86,492,3.86,492,3.86,492,3.86
melbas,1494,3.86,1101,3.82,1118,3.83,1131,3.84,1136,3.84,1203,3.85
field trip,9,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0
harlem hookah,386,2.97,334,2.96,337,2.96,337,2.95,337,2.95,353,2.94
awash,485,3.93,423,3.89,425,3.89,428,3.89,434,3.9,451,3.93
